 u,U -> m,M
x-axis: "Mass{p3+p4}&"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.315000E+02 3.232829E-04 +/-  9.108327E-07
4.325000E+02 3.216350E-04 +/-  9.064815E-07
4.335000E+02 3.175976E-04 +/-  9.037800E-07
4.345000E+02 3.147275E-04 +/-  8.949416E-07
4.355000E+02 3.124207E-04 +/-  8.871712E-07
4.365000E+02 3.083524E-04 +/-  8.812737E-07
4.375000E+02 3.058752E-04 +/-  8.735144E-07
4.385000E+02 3.032375E-04 +/-  8.658038E-07
4.395000E+02 2.998009E-04 +/-  8.648398E-07
4.405000E+02 2.976080E-04 +/-  8.590188E-07
4.415000E+02 2.940940E-04 +/-  8.495216E-07
4.425000E+02 2.916986E-04 +/-  8.434609E-07
4.435000E+02 2.883887E-04 +/-  8.367299E-07
4.445000E+02 2.858249E-04 +/-  8.308595E-07
4.455000E+02 2.840468E-04 +/-  8.241140E-07
4.465000E+02 2.808429E-04 +/-  8.244263E-07
4.475000E+02 2.775502E-04 +/-  8.159510E-07
4.485000E+02 2.769042E-04 +/-  8.103757E-07
4.495000E+02 2.727170E-04 +/-  8.021094E-07
4.505000E+02 2.700564E-04 +/-  7.964928E-07
4.515000E+02 2.693643E-04 +/-  7.952732E-07
4.525000E+02 2.643632E-04 +/-  7.822590E-07
4.535000E+02 2.632293E-04 +/-  7.841329E-07
4.545000E+02 2.603425E-04 +/-  7.786322E-07
4.555000E+02 2.579455E-04 +/-  7.704975E-07
4.565000E+02 2.568982E-04 +/-  7.657460E-07
4.575000E+02 2.538505E-04 +/-  7.612318E-07
4.585000E+02 2.505957E-04 +/-  7.563226E-07
4.595000E+02 2.502017E-04 +/-  7.515527E-07
4.605000E+02 2.469934E-04 +/-  7.446042E-07
4.615000E+02 2.444589E-04 +/-  7.427967E-07
4.625000E+02 2.410081E-04 +/-  7.366391E-07
4.635000E+02 2.395418E-04 +/-  7.297015E-07
4.645000E+02 2.393956E-04 +/-  7.257046E-07
4.655000E+02 2.359928E-04 +/-  7.240564E-07
4.665000E+02 2.337088E-04 +/-  7.180420E-07
4.675000E+02 2.306437E-04 +/-  7.084661E-07
4.685000E+02 2.293777E-04 +/-  7.056646E-07
4.695000E+02 2.273381E-04 +/-  7.029623E-07
4.705000E+02 2.257019E-04 +/-  7.007091E-07
4.715000E+02 2.231668E-04 +/-  6.931583E-07
4.725000E+02 2.212676E-04 +/-  6.876497E-07
4.735000E+02 2.190110E-04 +/-  6.842804E-07
4.745000E+02 2.173911E-04 +/-  6.818580E-07
4.755000E+02 2.163911E-04 +/-  6.761288E-07
4.765000E+02 2.141122E-04 +/-  6.691139E-07
4.775000E+02 2.113839E-04 +/-  6.659255E-07
4.785000E+02 2.103052E-04 +/-  6.616331E-07
4.795000E+02 2.076142E-04 +/-  6.596532E-07
4.805000E+02 2.069474E-04 +/-  6.571277E-07
4.815000E+02 2.039239E-04 +/-  6.490804E-07
4.825000E+02 2.022258E-04 +/-  6.435396E-07
4.835000E+02 2.010986E-04 +/-  6.441969E-07
4.845000E+02 1.998775E-04 +/-  6.388720E-07
4.855000E+02 1.969641E-04 +/-  6.302768E-07
4.865000E+02 1.960130E-04 +/-  6.300480E-07
4.875000E+02 1.934722E-04 +/-  6.233636E-07
4.885000E+02 1.931406E-04 +/-  6.232060E-07
4.895000E+02 1.912191E-04 +/-  6.226768E-07
4.905000E+02 1.886583E-04 +/-  6.147620E-07
4.915000E+02 1.873853E-04 +/-  6.099731E-07
4.925000E+02 1.853460E-04 +/-  6.036645E-07
4.935000E+02 1.843208E-04 +/-  6.052488E-07
4.945000E+02 1.828380E-04 +/-  5.986943E-07
4.955000E+02 1.809291E-04 +/-  5.946413E-07
4.965000E+02 1.791461E-04 +/-  5.933808E-07
4.975000E+02 1.782357E-04 +/-  5.892405E-07
4.985000E+02 1.763555E-04 +/-  5.833552E-07
