 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
8.690000E+01 9.668274E+00 +/-  3.781818E-01
8.750000E+01 1.020769E+01 +/-  4.014835E-01
8.810000E+01 9.714646E+00 +/-  3.559706E-01
8.870000E+01 9.809282E+00 +/-  3.934545E-01
8.930000E+01 9.489320E+00 +/-  3.620205E-01
8.990000E+01 9.113361E+00 +/-  3.694370E-01
9.050000E+01 8.974382E+00 +/-  3.413170E-01
9.110000E+01 8.866006E+00 +/-  3.417446E-01
9.170000E+01 8.577299E+00 +/-  3.221004E-01
9.230000E+01 8.043190E+00 +/-  3.117150E-01
9.290000E+01 8.095199E+00 +/-  3.073835E-01
9.350000E+01 7.886142E+00 +/-  3.053665E-01
9.410000E+01 8.265350E+00 +/-  3.244151E-01
9.470000E+01 8.230039E+00 +/-  2.989804E-01
9.530000E+01 7.157793E+00 +/-  2.831101E-01
9.590000E+01 7.228781E+00 +/-  2.744440E-01
9.650000E+01 7.420530E+00 +/-  2.871181E-01
9.710000E+01 7.022705E+00 +/-  2.630398E-01
9.770000E+01 6.583874E+00 +/-  2.422854E-01
9.830000E+01 6.309505E+00 +/-  2.427944E-01
9.890000E+01 6.959209E+00 +/-  2.585104E-01
9.950000E+01 6.472867E+00 +/-  2.540227E-01
1.001000E+02 5.974468E+00 +/-  2.265871E-01
1.007000E+02 6.197024E+00 +/-  2.287774E-01
1.013000E+02 5.737554E+00 +/-  2.188486E-01
1.019000E+02 5.601221E+00 +/-  2.248890E-01
1.025000E+02 5.170524E+00 +/-  1.967819E-01
1.031000E+02 5.623924E+00 +/-  2.303790E-01
1.037000E+02 5.010071E+00 +/-  2.065009E-01
1.043000E+02 5.179530E+00 +/-  2.074348E-01
1.049000E+02 5.567376E+00 +/-  2.460091E-01
1.055000E+02 4.885909E+00 +/-  1.894698E-01
1.061000E+02 4.954675E+00 +/-  2.010325E-01
1.067000E+02 4.604129E+00 +/-  1.964898E-01
