 u,U -> G,G
x-axis: "Mass{p3+p4}$"  from 1000.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.001667E+03 -2.489357E-02 +/-  7.323274E-05
1.005000E+03 -2.447852E-02 +/-  7.192981E-05
1.008333E+03 -2.425145E-02 +/-  7.091753E-05
1.011667E+03 -2.365256E-02 +/-  6.936353E-05
1.015000E+03 -2.341159E-02 +/-  6.843214E-05
1.018333E+03 -2.307938E-02 +/-  6.730630E-05
1.021667E+03 -2.276788E-02 +/-  6.624427E-05
1.025000E+03 -2.222420E-02 +/-  6.481511E-05
1.028333E+03 -2.213692E-02 +/-  6.412558E-05
1.031667E+03 -2.167331E-02 +/-  6.285803E-05
1.035000E+03 -2.132760E-02 +/-  6.177682E-05
1.038333E+03 -2.104641E-02 +/-  6.085046E-05
1.041667E+03 -2.069645E-02 +/-  5.975388E-05
1.045000E+03 -2.043394E-02 +/-  5.889417E-05
1.048333E+03 -2.007330E-02 +/-  5.780068E-05
1.051667E+03 -1.989461E-02 +/-  5.707439E-05
1.055000E+03 -1.946404E-02 +/-  5.587474E-05
1.058333E+03 -1.923220E-02 +/-  5.509628E-05
1.061667E+03 -1.895815E-02 +/-  5.420563E-05
1.065000E+03 -1.865328E-02 +/-  5.329126E-05
1.068333E+03 -1.840809E-02 +/-  5.248783E-05
1.071667E+03 -1.812595E-02 +/-  5.160640E-05
1.075000E+03 -1.783178E-02 +/-  5.074052E-05
1.078333E+03 -1.765018E-02 +/-  5.004715E-05
1.081667E+03 -1.734176E-02 +/-  4.916427E-05
1.085000E+03 -1.711673E-02 +/-  4.843318E-05
1.088333E+03 -1.684219E-02 +/-  4.760201E-05
1.091667E+03 -1.661191E-02 +/-  4.687821E-05
1.095000E+03 -1.635582E-02 +/-  4.610355E-05
1.098333E+03 -1.614135E-02 +/-  4.541134E-05
1.101667E+03 -1.591305E-02 +/-  4.468605E-05
1.105000E+03 -1.570270E-02 +/-  4.403607E-05
1.108333E+03 -1.536708E-02 +/-  4.314862E-05
1.111667E+03 -1.528082E-02 +/-  4.270733E-05
1.115000E+03 -1.501890E-02 +/-  4.197178E-05
1.118333E+03 -1.481422E-02 +/-  4.131108E-05
1.121667E+03 -1.461338E-02 +/-  4.069412E-05
1.125000E+03 -1.438372E-02 +/-  4.002257E-05
1.128333E+03 -1.420063E-02 +/-  3.943565E-05
1.131667E+03 -1.397184E-02 +/-  3.878419E-05
1.135000E+03 -1.383512E-02 +/-  3.828205E-05
1.138333E+03 -1.360049E-02 +/-  3.761439E-05
1.141667E+03 -1.340103E-02 +/-  3.704101E-05
1.145000E+03 -1.322899E-02 +/-  3.648265E-05
1.148333E+03 -1.306186E-02 +/-  3.595971E-05
1.151667E+03 -1.284718E-02 +/-  3.537375E-05
1.155000E+03 -1.272381E-02 +/-  3.491349E-05
1.158333E+03 -1.251790E-02 +/-  3.431636E-05
1.161667E+03 -1.232342E-02 +/-  3.379829E-05
1.165000E+03 -1.218392E-02 +/-  3.330424E-05
1.168333E+03 -1.201669E-02 +/-  3.281927E-05
1.171667E+03 -1.182127E-02 +/-  3.227316E-05
1.175000E+03 -1.169665E-02 +/-  3.186502E-05
1.178333E+03 -1.153170E-02 +/-  3.135675E-05
1.181667E+03 -1.136149E-02 +/-  3.087641E-05
1.185000E+03 -1.122347E-02 +/-  3.044362E-05
1.188333E+03 -1.106998E-02 +/-  2.999139E-05
1.191667E+03 -1.092042E-02 +/-  2.954371E-05
1.195000E+03 -1.076677E-02 +/-  2.910139E-05
1.198333E+03 -1.063414E-02 +/-  2.868787E-05
1.201667E+03 -1.049472E-02 +/-  2.827277E-05
1.205000E+03 -1.033361E-02 +/-  2.782566E-05
1.208333E+03 -1.021813E-02 +/-  2.745147E-05
1.211667E+03 -1.006326E-02 +/-  2.702398E-05
1.215000E+03 -9.937648E-03 +/-  2.664466E-05
1.218333E+03 -9.816847E-03 +/-  2.627092E-05
1.221667E+03 -9.670461E-03 +/-  2.586722E-05
1.225000E+03 -9.551424E-03 +/-  2.550236E-05
1.228333E+03 -9.438403E-03 +/-  2.515513E-05
1.231667E+03 -9.306821E-03 +/-  2.478843E-05
1.235000E+03 -9.172569E-03 +/-  2.439957E-05
1.238333E+03 -9.061500E-03 +/-  2.407210E-05
1.241667E+03 -8.956929E-03 +/-  2.375051E-05
1.245000E+03 -8.826595E-03 +/-  2.338500E-05
1.248333E+03 -8.713022E-03 +/-  2.305619E-05
1.251667E+03 -8.600988E-03 +/-  2.272957E-05
1.255000E+03 -8.493758E-03 +/-  2.241270E-05
1.258333E+03 -8.380428E-03 +/-  2.208872E-05
1.261667E+03 -8.271296E-03 +/-  2.176761E-05
1.265000E+03 -8.159891E-03 +/-  2.146326E-05
1.268333E+03 -8.066362E-03 +/-  2.118396E-05
1.271667E+03 -7.948988E-03 +/-  2.085455E-05
1.275000E+03 -7.860754E-03 +/-  2.058909E-05
1.278333E+03 -7.772150E-03 +/-  2.031091E-05
1.281667E+03 -7.643756E-03 +/-  1.998416E-05
1.285000E+03 -7.566800E-03 +/-  1.973977E-05
1.288333E+03 -7.467378E-03 +/-  1.945986E-05
1.291667E+03 -7.373263E-03 +/-  1.919520E-05
1.295000E+03 -7.291880E-03 +/-  1.893518E-05
1.298333E+03 -7.175878E-03 +/-  1.864900E-05
1.301667E+03 -7.098308E-03 +/-  1.840433E-05
1.305000E+03 -7.024712E-03 +/-  1.817885E-05
1.308333E+03 -6.915240E-03 +/-  1.789324E-05
1.311667E+03 -6.827108E-03 +/-  1.764969E-05
1.315000E+03 -6.747392E-03 +/-  1.741181E-05
1.318333E+03 -6.669479E-03 +/-  1.718627E-05
1.321667E+03 -6.580122E-03 +/-  1.694154E-05
1.325000E+03 -6.487227E-03 +/-  1.669139E-05
1.328333E+03 -6.444008E-03 +/-  1.652538E-05
1.331667E+03 -6.334517E-03 +/-  1.625720E-05
1.335000E+03 -6.265361E-03 +/-  1.604499E-05
1.338333E+03 -6.189697E-03 +/-  1.583159E-05
1.341667E+03 -6.096105E-03 +/-  1.559482E-05
1.345000E+03 -6.043267E-03 +/-  1.541759E-05
1.348333E+03 -5.958638E-03 +/-  1.519946E-05
1.351667E+03 -5.890403E-03 +/-  1.499771E-05
1.355000E+03 -5.812514E-03 +/-  1.479102E-05
1.358333E+03 -5.751926E-03 +/-  1.460662E-05
1.361667E+03 -5.687420E-03 +/-  1.441394E-05
1.365000E+03 -5.603830E-03 +/-  1.421014E-05
1.368333E+03 -5.524569E-03 +/-  1.400574E-05
1.371667E+03 -5.478031E-03 +/-  1.384030E-05
1.375000E+03 -5.409751E-03 +/-  1.366613E-05
1.378333E+03 -5.350314E-03 +/-  1.348714E-05
1.381667E+03 -5.280655E-03 +/-  1.330257E-05
1.385000E+03 -5.210280E-03 +/-  1.312123E-05
1.388333E+03 -5.154331E-03 +/-  1.294891E-05
1.391667E+03 -5.100374E-03 +/-  1.279832E-05
1.395000E+03 -5.025671E-03 +/-  1.261262E-05
1.398333E+03 -4.969993E-03 +/-  1.244917E-05
1.401667E+03 -4.907025E-03 +/-  1.228376E-05
1.405000E+03 -4.857786E-03 +/-  1.213553E-05
1.408333E+03 -4.796541E-03 +/-  1.197614E-05
1.411667E+03 -4.738509E-03 +/-  1.181735E-05
1.415000E+03 -4.680768E-03 +/-  1.166123E-05
1.418333E+03 -4.628344E-03 +/-  1.151665E-05
1.421667E+03 -4.578742E-03 +/-  1.137475E-05
1.425000E+03 -4.520282E-03 +/-  1.121811E-05
1.428333E+03 -4.463553E-03 +/-  1.107128E-05
1.431667E+03 -4.426169E-03 +/-  1.095309E-05
1.435000E+03 -4.354866E-03 +/-  1.078266E-05
1.438333E+03 -4.320133E-03 +/-  1.066463E-05
