 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 9.810257E-09 +/-  2.386439E-11
1.521500E+03 9.779029E-09 +/-  2.380649E-11
1.522500E+03 9.762746E-09 +/-  2.374670E-11
1.523500E+03 9.654744E-09 +/-  2.351728E-11
1.524500E+03 9.644365E-09 +/-  2.349892E-11
1.525500E+03 9.602196E-09 +/-  2.339328E-11
1.526500E+03 9.534690E-09 +/-  2.321848E-11
1.527500E+03 9.521252E-09 +/-  2.325294E-11
1.528500E+03 9.456657E-09 +/-  2.309887E-11
1.529500E+03 9.443714E-09 +/-  2.305163E-11
1.530500E+03 9.358632E-09 +/-  2.288101E-11
1.531500E+03 9.344470E-09 +/-  2.288939E-11
1.532500E+03 9.328518E-09 +/-  2.289396E-11
1.533500E+03 9.233353E-09 +/-  2.270018E-11
1.534500E+03 9.215683E-09 +/-  2.264472E-11
1.535500E+03 9.162675E-09 +/-  2.248009E-11
1.536500E+03 9.103138E-09 +/-  2.238411E-11
1.537500E+03 9.126468E-09 +/-  2.250964E-11
1.538500E+03 9.040914E-09 +/-  2.229118E-11
1.539500E+03 8.988348E-09 +/-  2.214511E-11
1.540500E+03 8.956535E-09 +/-  2.215753E-11
1.541500E+03 8.928498E-09 +/-  2.206770E-11
1.542500E+03 8.900745E-09 +/-  2.203226E-11
1.543500E+03 8.831292E-09 +/-  2.189926E-11
1.544500E+03 8.796338E-09 +/-  2.182631E-11
1.545500E+03 8.784817E-09 +/-  2.185007E-11
1.546500E+03 8.696594E-09 +/-  2.162228E-11
1.547500E+03 8.674814E-09 +/-  2.158455E-11
1.548500E+03 8.665690E-09 +/-  2.155088E-11
1.549500E+03 8.585250E-09 +/-  2.144091E-11
1.550500E+03 8.572241E-09 +/-  2.137609E-11
1.551500E+03 8.527428E-09 +/-  2.126169E-11
1.552500E+03 8.491150E-09 +/-  2.119701E-11
