 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
8.690000E+01 2.628982E+01 +/-  1.705717E-01
8.750000E+01 3.438032E+01 +/-  2.225523E-01
8.810000E+01 4.706001E+01 +/-  3.051147E-01
8.870000E+01 6.690232E+01 +/-  4.177581E-01
8.930000E+01 1.005313E+02 +/-  6.322032E-01
8.990000E+01 1.606674E+02 +/-  1.011770E+00
9.050000E+01 2.510628E+02 +/-  1.513837E+00
9.110000E+01 3.249376E+02 +/-  2.013390E+00
9.170000E+01 2.845509E+02 +/-  1.817822E+00
9.230000E+01 1.829225E+02 +/-  1.163619E+00
9.290000E+01 1.126875E+02 +/-  7.124032E-01
9.350000E+01 7.179332E+01 +/-  4.460525E-01
9.410000E+01 4.917773E+01 +/-  3.091531E-01
9.470000E+01 3.512969E+01 +/-  2.187933E-01
9.530000E+01 2.603555E+01 +/-  1.592667E-01
9.590000E+01 1.990095E+01 +/-  1.215780E-01
9.650000E+01 1.577384E+01 +/-  9.724332E-02
9.710000E+01 1.281151E+01 +/-  7.978236E-02
9.770000E+01 1.048367E+01 +/-  6.570336E-02
9.830000E+01 8.757183E+00 +/-  5.393549E-02
9.890000E+01 7.509942E+00 +/-  4.804041E-02
9.950000E+01 6.435661E+00 +/-  4.124285E-02
1.001000E+02 5.613287E+00 +/-  3.683964E-02
1.007000E+02 4.852761E+00 +/-  3.230888E-02
1.013000E+02 4.262723E+00 +/-  2.784071E-02
1.019000E+02 3.801575E+00 +/-  2.503386E-02
1.025000E+02 3.415095E+00 +/-  2.263417E-02
1.031000E+02 3.053654E+00 +/-  1.984859E-02
1.037000E+02 2.749898E+00 +/-  1.813110E-02
1.043000E+02 2.500255E+00 +/-  1.691244E-02
1.049000E+02 2.274354E+00 +/-  1.655077E-02
1.055000E+02 2.078911E+00 +/-  1.570068E-02
1.061000E+02 1.887794E+00 +/-  1.399629E-02
1.067000E+02 1.741653E+00 +/-  1.300013E-02
1.073000E+02 1.605382E+00 +/-  1.199954E-02
1.079000E+02 1.461431E+00 +/-  1.079179E-02
1.085000E+02 1.383261E+00 +/-  1.016131E-02
1.091000E+02 1.272801E+00 +/-  9.416679E-03
1.097000E+02 1.187119E+00 +/-  8.774408E-03
1.103000E+02 1.112893E+00 +/-  8.103138E-03
1.109000E+02 1.030933E+00 +/-  7.619164E-03
1.115000E+02 9.642556E-01 +/-  7.034906E-03
1.121000E+02 9.088404E-01 +/-  6.723486E-03
1.127000E+02 8.574338E-01 +/-  6.200168E-03
1.133000E+02 7.985178E-01 +/-  5.732867E-03
1.139000E+02 7.562435E-01 +/-  6.116967E-03
1.145000E+02 7.006091E-01 +/-  5.708416E-03
1.151000E+02 6.726898E-01 +/-  5.491891E-03
1.157000E+02 6.400237E-01 +/-  5.200742E-03
1.163000E+02 6.000121E-01 +/-  4.895494E-03
1.169000E+02 5.747291E-01 +/-  4.662039E-03
1.175000E+02 5.416213E-01 +/-  4.325796E-03
1.181000E+02 5.162056E-01 +/-  4.152164E-03
1.187000E+02 4.849968E-01 +/-  3.889859E-03
1.193000E+02 4.706550E-01 +/-  3.785977E-03
1.199000E+02 4.434384E-01 +/-  3.565297E-03
1.205000E+02 4.250082E-01 +/-  3.553756E-03
1.211000E+02 4.042445E-01 +/-  3.336827E-03
1.217000E+02 3.889624E-01 +/-  3.249811E-03
1.223000E+02 3.748921E-01 +/-  3.105331E-03
1.229000E+02 3.547607E-01 +/-  2.936380E-03
1.235000E+02 3.473140E-01 +/-  7.699572E-03
