 u,U -> m,M
x-axis: "Mass{p3+p4}"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 3.380548E-07 +/-  8.387024E-10
1.521500E+03 3.383221E-07 +/-  8.406181E-10
1.522500E+03 3.359621E-07 +/-  8.337568E-10
1.523500E+03 3.354382E-07 +/-  8.325482E-10
1.524500E+03 3.346055E-07 +/-  8.312000E-10
1.525500E+03 3.331710E-07 +/-  8.292402E-10
1.526500E+03 3.328815E-07 +/-  8.265225E-10
1.527500E+03 3.296892E-07 +/-  8.188960E-10
1.528500E+03 3.307683E-07 +/-  8.238550E-10
1.529500E+03 3.277418E-07 +/-  8.146861E-10
1.530500E+03 3.274142E-07 +/-  8.147330E-10
1.531500E+03 3.267107E-07 +/-  8.136306E-10
1.532500E+03 3.243910E-07 +/-  8.101737E-10
1.533500E+03 3.243143E-07 +/-  8.112031E-10
1.534500E+03 3.235768E-07 +/-  8.080065E-10
1.535500E+03 3.229084E-07 +/-  8.069537E-10
1.536500E+03 3.204016E-07 +/-  8.037912E-10
1.537500E+03 3.189002E-07 +/-  7.980786E-10
1.538500E+03 3.194791E-07 +/-  8.011133E-10
1.539500E+03 3.185416E-07 +/-  7.977300E-10
1.540500E+03 3.166796E-07 +/-  7.962564E-10
1.541500E+03 3.148745E-07 +/-  7.919043E-10
1.542500E+03 3.150421E-07 +/-  7.911804E-10
1.543500E+03 3.142934E-07 +/-  7.890881E-10
1.544500E+03 3.118723E-07 +/-  7.861582E-10
1.545500E+03 3.114673E-07 +/-  7.857449E-10
1.546500E+03 3.103183E-07 +/-  7.816019E-10
1.547500E+03 3.092025E-07 +/-  7.792059E-10
1.548500E+03 3.091359E-07 +/-  7.809842E-10
1.549500E+03 3.062738E-07 +/-  7.754826E-10
1.550500E+03 3.070655E-07 +/-  7.753054E-10
1.551500E+03 3.053272E-07 +/-  7.733109E-10
1.552500E+03 3.040341E-07 +/-  7.705465E-10
1.553500E+03 3.035963E-07 +/-  7.699363E-10
1.554500E+03 3.015663E-07 +/-  7.652114E-10
1.555500E+03 3.016187E-07 +/-  7.659818E-10
1.556500E+03 3.000095E-07 +/-  7.612016E-10
1.557500E+03 2.992504E-07 +/-  7.623533E-10
1.558500E+03 2.976689E-07 +/-  7.589788E-10
1.559500E+03 2.976178E-07 +/-  7.567959E-10
1.560500E+03 2.967338E-07 +/-  7.554803E-10
1.561500E+03 2.950506E-07 +/-  7.528581E-10
1.562500E+03 2.949387E-07 +/-  7.522059E-10
1.563500E+03 2.931058E-07 +/-  7.494430E-10
1.564500E+03 2.918062E-07 +/-  7.461279E-10
1.565500E+03 2.913635E-07 +/-  7.443360E-10
1.566500E+03 2.905633E-07 +/-  7.441793E-10
1.567500E+03 2.900061E-07 +/-  7.432651E-10
1.568500E+03 2.885105E-07 +/-  7.392786E-10
1.569500E+03 2.867789E-07 +/-  7.373836E-10
1.570500E+03 2.868550E-07 +/-  7.362863E-10
1.571500E+03 2.868009E-07 +/-  7.368843E-10
1.572500E+03 2.843140E-07 +/-  7.325125E-10
1.573500E+03 2.832120E-07 +/-  7.302000E-10
1.574500E+03 2.831949E-07 +/-  7.284044E-10
1.575500E+03 2.819340E-07 +/-  7.272596E-10
1.576500E+03 2.817075E-07 +/-  7.259325E-10
1.577500E+03 2.794001E-07 +/-  7.225601E-10
1.578500E+03 2.797780E-07 +/-  7.230160E-10
1.579500E+03 2.780014E-07 +/-  7.190741E-10
1.580500E+03 2.768982E-07 +/-  7.172891E-10
1.581500E+03 2.771346E-07 +/-  7.181763E-10
1.582500E+03 2.757274E-07 +/-  7.150724E-10
1.583500E+03 2.746513E-07 +/-  7.117420E-10
1.584500E+03 2.726247E-07 +/-  7.090654E-10
1.585500E+03 2.732751E-07 +/-  7.094710E-10
1.586500E+03 2.729450E-07 +/-  7.086332E-10
1.587500E+03 2.704541E-07 +/-  7.058967E-10
1.588500E+03 2.698079E-07 +/-  7.022373E-10
1.589500E+03 2.696163E-07 +/-  7.032557E-10
1.590500E+03 2.686793E-07 +/-  6.999761E-10
1.591500E+03 2.674906E-07 +/-  6.991610E-10
1.592500E+03 2.664840E-07 +/-  6.963439E-10
1.593500E+03 2.661817E-07 +/-  6.958579E-10
1.594500E+03 2.638692E-07 +/-  6.918976E-10
1.595500E+03 2.646336E-07 +/-  6.923177E-10
1.596500E+03 2.632280E-07 +/-  6.899639E-10
1.597500E+03 2.627463E-07 +/-  6.897400E-10
1.598500E+03 2.610954E-07 +/-  6.857867E-10
1.599500E+03 2.611426E-07 +/-  6.865259E-10
1.600500E+03 2.595920E-07 +/-  6.823782E-10
1.601500E+03 2.583691E-07 +/-  6.813997E-10
1.602500E+03 2.585668E-07 +/-  6.800784E-10
1.603500E+03 2.573760E-07 +/-  6.791973E-10
1.604500E+03 2.564728E-07 +/-  6.764699E-10
1.605500E+03 2.556471E-07 +/-  6.749278E-10
1.606500E+03 2.541010E-07 +/-  6.726112E-10
1.607500E+03 2.544569E-07 +/-  6.720484E-10
1.608500E+03 2.534000E-07 +/-  6.704920E-10
1.609500E+03 2.515618E-07 +/-  6.677053E-10
1.610500E+03 2.513134E-07 +/-  6.664877E-10
1.611500E+03 2.515472E-07 +/-  6.673103E-10
1.612500E+03 2.489882E-07 +/-  6.617353E-10
1.613500E+03 2.495927E-07 +/-  6.614645E-10
1.614500E+03 2.479554E-07 +/-  6.612379E-10
1.615500E+03 2.471822E-07 +/-  6.580089E-10
1.616500E+03 2.469398E-07 +/-  6.579012E-10
1.617500E+03 2.451318E-07 +/-  6.539268E-10
1.618500E+03 2.456737E-07 +/-  6.543056E-10
1.619500E+03 2.446146E-07 +/-  6.525775E-10
1.620500E+03 2.427025E-07 +/-  6.509413E-10
1.621500E+03 2.426797E-07 +/-  6.488980E-10
1.622500E+03 2.429730E-07 +/-  6.492985E-10
1.623500E+03 2.401005E-07 +/-  6.435975E-10
1.624500E+03 2.399806E-07 +/-  6.442147E-10
1.625500E+03 2.402448E-07 +/-  6.443953E-10
1.626500E+03 2.384907E-07 +/-  6.410662E-10
