 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.285000E+02 -1.012782E+01 +/-  2.868803E-02
4.295000E+02 -1.003074E+01 +/-  2.855920E-02
4.305000E+02 -9.867628E+00 +/-  2.808322E-02
4.315000E+02 -9.812377E+00 +/-  2.792834E-02
4.325000E+02 -9.676043E+00 +/-  2.780650E-02
4.335000E+02 -9.539032E+00 +/-  2.742669E-02
4.345000E+02 -9.433859E+00 +/-  2.728661E-02
4.355000E+02 -9.341023E+00 +/-  2.700990E-02
4.365000E+02 -9.209248E+00 +/-  2.677548E-02
4.375000E+02 -9.081279E+00 +/-  2.642207E-02
4.385000E+02 -8.992290E+00 +/-  2.619515E-02
4.395000E+02 -8.918767E+00 +/-  2.617797E-02
4.405000E+02 -8.763858E+00 +/-  2.576701E-02
4.415000E+02 -8.705007E+00 +/-  2.570789E-02
4.425000E+02 -8.554184E+00 +/-  2.531024E-02
4.435000E+02 -8.487180E+00 +/-  2.527976E-02
4.445000E+02 -8.385261E+00 +/-  2.493018E-02
4.455000E+02 -8.296369E+00 +/-  2.473606E-02
4.465000E+02 -8.166973E+00 +/-  2.449121E-02
4.475000E+02 -8.091054E+00 +/-  2.437048E-02
4.485000E+02 -7.957007E+00 +/-  2.408962E-02
4.495000E+02 -7.915367E+00 +/-  2.397164E-02
4.505000E+02 -7.828884E+00 +/-  2.370168E-02
4.515000E+02 -7.740828E+00 +/-  2.364219E-02
4.525000E+02 -7.627132E+00 +/-  2.335551E-02
4.535000E+02 -7.507570E+00 +/-  2.307165E-02
4.545000E+02 -7.454611E+00 +/-  2.282658E-02
4.555000E+02 -7.401189E+00 +/-  2.284431E-02
4.565000E+02 -7.274542E+00 +/-  2.255646E-02
4.575000E+02 -7.206944E+00 +/-  2.244126E-02
4.585000E+02 -7.100875E+00 +/-  2.211900E-02
4.595000E+02 -7.022094E+00 +/-  2.194503E-02
4.605000E+02 -6.967151E+00 +/-  2.197486E-02
4.615000E+02 -6.888087E+00 +/-  2.170559E-02
4.625000E+02 -6.820601E+00 +/-  2.144458E-02
4.635000E+02 -6.709469E+00 +/-  2.111640E-02
4.645000E+02 -6.652425E+00 +/-  2.108565E-02
4.655000E+02 -6.544609E+00 +/-  2.093929E-02
4.665000E+02 -6.516770E+00 +/-  2.086993E-02
4.675000E+02 -6.442716E+00 +/-  2.062132E-02
4.685000E+02 -6.376243E+00 +/-  2.046876E-02
4.695000E+02 -6.283057E+00 +/-  2.037062E-02
4.705000E+02 -6.177783E+00 +/-  2.013364E-02
4.715000E+02 -6.170198E+00 +/-  1.998788E-02
4.725000E+02 -6.031581E+00 +/-  1.962102E-02
4.735000E+02 -6.002349E+00 +/-  1.945391E-02
4.745000E+02 -5.934424E+00 +/-  1.929291E-02
4.755000E+02 -5.898156E+00 +/-  1.954306E-02
4.765000E+02 -5.815841E+00 +/-  1.938513E-02
4.775000E+02 -5.761844E+00 +/-  1.917382E-02
4.785000E+02 -5.679427E+00 +/-  1.891036E-02
4.795000E+02 -5.615577E+00 +/-  1.869440E-02
4.805000E+02 -5.561305E+00 +/-  1.874899E-02
4.815000E+02 -5.498303E+00 +/-  1.853630E-02
4.825000E+02 -5.425413E+00 +/-  1.827577E-02
4.835000E+02 -5.386454E+00 +/-  1.809306E-02
4.845000E+02 -5.309828E+00 +/-  1.789994E-02
4.855000E+02 -5.245115E+00 +/-  1.777019E-02
4.865000E+02 -5.210369E+00 +/-  1.788510E-02
4.875000E+02 -5.160652E+00 +/-  1.784614E-02
4.885000E+02 -5.052629E+00 +/-  1.753582E-02
4.895000E+02 -5.050447E+00 +/-  1.742729E-02
4.905000E+02 -4.998037E+00 +/-  1.722365E-02
4.915000E+02 -4.921021E+00 +/-  1.696900E-02
4.925000E+02 -4.862109E+00 +/-  1.703698E-02
4.935000E+02 -4.829344E+00 +/-  1.695998E-02
4.945000E+02 -4.777987E+00 +/-  1.675372E-02
4.955000E+02 -4.734187E+00 +/-  1.658007E-02
4.965000E+02 -4.668268E+00 +/-  1.635745E-02
4.975000E+02 -4.585048E+00 +/-  1.626264E-02
4.985000E+02 -4.582760E+00 +/-  1.618792E-02
4.995000E+02 -4.519449E+00 +/-  1.601685E-02
5.005000E+02 -4.480412E+00 +/-  1.614546E-02
5.015000E+02 -4.418575E+00 +/-  1.592891E-02
5.025000E+02 -4.408648E+00 +/-  1.586535E-02
5.035000E+02 -4.315109E+00 +/-  1.558726E-02
5.045000E+02 -4.289061E+00 +/-  1.544841E-02
5.055000E+02 -4.235472E+00 +/-  1.536417E-02
5.065000E+02 -4.208578E+00 +/-  1.540616E-02
5.075000E+02 -4.138653E+00 +/-  1.519189E-02
5.085000E+02 -4.130615E+00 +/-  1.507592E-02
5.095000E+02 -4.062513E+00 +/-  1.493589E-02
5.105000E+02 -4.033287E+00 +/-  1.490876E-02
5.115000E+02 -3.974894E+00 +/-  1.474614E-02
5.125000E+02 -3.922534E+00 +/-  1.458210E-02
5.135000E+02 -3.906517E+00 +/-  1.444530E-02
5.145000E+02 -3.874845E+00 +/-  1.430714E-02
5.155000E+02 -3.818744E+00 +/-  1.435203E-02
5.165000E+02 -3.771192E+00 +/-  1.429822E-02
5.175000E+02 -3.737656E+00 +/-  1.415084E-02
5.185000E+02 -3.716722E+00 +/-  1.402921E-02
5.195000E+02 -3.646620E+00 +/-  1.379494E-02
5.205000E+02 -3.628597E+00 +/-  1.368649E-02
5.215000E+02 -3.599730E+00 +/-  1.383241E-02
5.225000E+02 -3.558877E+00 +/-  1.374524E-02
5.235000E+02 -3.530379E+00 +/-  1.371363E-02
5.245000E+02 -3.490422E+00 +/-  1.363087E-02
5.255000E+02 -3.424420E+00 +/-  1.341559E-02
5.265000E+02 -3.407446E+00 +/-  1.329720E-02
5.275000E+02 -3.355914E+00 +/-  1.312203E-02
5.285000E+02 -3.362797E+00 +/-  1.305641E-02
5.295000E+02 -3.286179E+00 +/-  1.283250E-02
5.305000E+02 -3.286496E+00 +/-  1.275430E-02
5.315000E+02 -3.249165E+00 +/-  1.266086E-02
5.325000E+02 -3.204519E+00 +/-  1.248305E-02
5.335000E+02 -3.189238E+00 +/-  1.253352E-02
5.345000E+02 -3.118200E+00 +/-  1.257454E-02
5.355000E+02 -3.109583E+00 +/-  1.247855E-02
5.365000E+02 -3.106354E+00 +/-  1.242702E-02
5.375000E+02 -3.035780E+00 +/-  1.219383E-02
5.385000E+02 -3.016065E+00 +/-  1.212087E-02
5.395000E+02 -3.000333E+00 +/-  1.238618E-02
5.405000E+02 -2.962334E+00 +/-  1.237663E-02
5.415000E+02 -2.938385E+00 +/-  1.228463E-02
5.425000E+02 -2.883625E+00 +/-  1.210129E-02
5.435000E+02 -2.896611E+00 +/-  1.204649E-02
5.445000E+02 -2.831411E+00 +/-  1.184459E-02
5.455000E+02 -2.812192E+00 +/-  1.173359E-02
5.465000E+02 -2.795438E+00 +/-  1.164323E-02
5.475000E+02 -2.759850E+00 +/-  1.148814E-02
5.485000E+02 -2.726440E+00 +/-  1.134212E-02
5.495000E+02 -2.693256E+00 +/-  1.120127E-02
5.505000E+02 -2.703900E+00 +/-  1.118241E-02
5.515000E+02 -2.644124E+00 +/-  1.101134E-02
5.525000E+02 -2.642094E+00 +/-  1.095554E-02
5.535000E+02 -2.603464E+00 +/-  1.081949E-02
5.545000E+02 -2.572295E+00 +/-  1.068226E-02
5.555000E+02 -2.571051E+00 +/-  1.063712E-02
5.565000E+02 -2.522903E+00 +/-  1.098149E-02
5.575000E+02 -2.498938E+00 +/-  1.094317E-02
5.585000E+02 -2.474324E+00 +/-  1.081719E-02
5.595000E+02 -2.458798E+00 +/-  1.070590E-02
5.605000E+02 -2.425038E+00 +/-  1.058672E-02
5.615000E+02 -2.406136E+00 +/-  1.064591E-02
5.625000E+02 -2.393468E+00 +/-  1.075943E-02
5.635000E+02 -2.367632E+00 +/-  1.062715E-02
5.645000E+02 -2.333947E+00 +/-  1.049905E-02
5.655000E+02 -2.317389E+00 +/-  1.039919E-02
5.665000E+02 -2.289539E+00 +/-  1.027308E-02
5.675000E+02 -2.263946E+00 +/-  1.015832E-02
5.685000E+02 -2.260795E+00 +/-  1.009937E-02
5.695000E+02 -2.244094E+00 +/-  1.001382E-02
5.705000E+02 -2.198241E+00 +/-  9.833077E-03
5.715000E+02 -2.204779E+00 +/-  9.812728E-03
5.725000E+02 -2.176902E+00 +/-  9.692021E-03
5.735000E+02 -2.135376E+00 +/-  9.551868E-03
5.745000E+02 -2.102057E+00 +/-  9.442260E-03
5.755000E+02 -2.090156E+00 +/-  9.500818E-03
5.765000E+02 -2.094445E+00 +/-  9.472938E-03
5.775000E+02 -2.071570E+00 +/-  9.374406E-03
5.785000E+02 -2.047548E+00 +/-  9.244753E-03
