 d,D -> m,M
x-axis: "Mass{p3+p4}"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.220500E+03 7.789852E-07 +/-  1.905160E-09
1.221500E+03 7.752762E-07 +/-  1.895836E-09
1.222500E+03 7.739878E-07 +/-  1.887176E-09
1.223500E+03 7.703144E-07 +/-  1.884567E-09
1.224500E+03 7.659514E-07 +/-  1.875607E-09
1.225500E+03 7.647807E-07 +/-  1.870108E-09
1.226500E+03 7.607578E-07 +/-  1.859555E-09
1.227500E+03 7.585488E-07 +/-  1.858043E-09
1.228500E+03 7.540142E-07 +/-  1.848598E-09
1.229500E+03 7.517566E-07 +/-  1.843251E-09
1.230500E+03 7.474864E-07 +/-  1.833114E-09
1.231500E+03 7.456573E-07 +/-  1.834365E-09
1.232500E+03 7.436552E-07 +/-  1.831325E-09
1.233500E+03 7.396383E-07 +/-  1.818484E-09
1.234500E+03 7.361361E-07 +/-  1.813673E-09
1.235500E+03 7.344798E-07 +/-  1.812844E-09
1.236500E+03 7.302017E-07 +/-  1.800209E-09
1.237500E+03 7.282896E-07 +/-  1.801077E-09
1.238500E+03 7.269731E-07 +/-  1.797036E-09
1.239500E+03 7.205540E-07 +/-  1.782130E-09
1.240500E+03 7.182469E-07 +/-  1.779939E-09
1.241500E+03 7.174948E-07 +/-  1.776673E-09
1.242500E+03 7.136482E-07 +/-  1.770153E-09
1.243500E+03 7.106939E-07 +/-  1.767653E-09
1.244500E+03 7.094508E-07 +/-  1.760136E-09
1.245500E+03 7.046392E-07 +/-  1.753318E-09
1.246500E+03 7.029074E-07 +/-  1.751599E-09
1.247500E+03 6.982079E-07 +/-  1.743817E-09
1.248500E+03 6.972113E-07 +/-  1.739988E-09
1.249500E+03 6.942254E-07 +/-  1.729021E-09
1.250500E+03 6.906222E-07 +/-  1.728691E-09
1.251500E+03 6.912204E-07 +/-  1.728874E-09
1.252500E+03 6.842740E-07 +/-  1.715969E-09
1.253500E+03 6.833896E-07 +/-  1.709617E-09
1.254500E+03 6.795040E-07 +/-  1.703655E-09
1.255500E+03 6.781610E-07 +/-  1.704641E-09
1.256500E+03 6.762121E-07 +/-  1.698361E-09
1.257500E+03 6.717755E-07 +/-  1.686713E-09
1.258500E+03 6.697943E-07 +/-  1.689387E-09
1.259500E+03 6.686168E-07 +/-  1.680435E-09
1.260500E+03 6.640935E-07 +/-  1.678240E-09
1.261500E+03 6.640730E-07 +/-  1.676302E-09
1.262500E+03 6.573958E-07 +/-  1.663878E-09
1.263500E+03 6.572757E-07 +/-  1.663260E-09
1.264500E+03 6.543335E-07 +/-  1.656651E-09
1.265500E+03 6.526660E-07 +/-  1.654575E-09
1.266500E+03 6.490922E-07 +/-  1.646558E-09
1.267500E+03 6.462974E-07 +/-  1.639605E-09
1.268500E+03 6.439189E-07 +/-  1.638448E-09
1.269500E+03 6.411991E-07 +/-  1.632428E-09
1.270500E+03 6.407090E-07 +/-  1.631318E-09
1.271500E+03 6.376151E-07 +/-  1.624553E-09
1.272500E+03 6.335404E-07 +/-  1.615634E-09
1.273500E+03 6.316013E-07 +/-  1.610195E-09
1.274500E+03 6.282192E-07 +/-  1.605335E-09
1.275500E+03 6.272994E-07 +/-  1.605689E-09
1.276500E+03 6.253653E-07 +/-  1.599723E-09
1.277500E+03 6.225775E-07 +/-  1.597057E-09
1.278500E+03 6.204796E-07 +/-  1.589761E-09
1.279500E+03 6.165676E-07 +/-  1.583805E-09
1.280500E+03 6.137254E-07 +/-  1.577587E-09
1.281500E+03 6.131447E-07 +/-  1.579558E-09
1.282500E+03 6.080902E-07 +/-  1.565186E-09
1.283500E+03 6.090323E-07 +/-  1.572389E-09
1.284500E+03 6.053385E-07 +/-  1.560437E-09
1.285500E+03 6.031206E-07 +/-  1.558868E-09
1.286500E+03 6.010903E-07 +/-  1.554712E-09
1.287500E+03 5.976544E-07 +/-  1.545223E-09
1.288500E+03 5.974464E-07 +/-  1.546055E-09
1.289500E+03 5.951324E-07 +/-  1.540865E-09
1.290500E+03 5.914740E-07 +/-  1.537340E-09
1.291500E+03 5.879933E-07 +/-  1.527135E-09
1.292500E+03 5.856929E-07 +/-  1.521904E-09
1.293500E+03 5.852132E-07 +/-  1.523415E-09
1.294500E+03 5.834138E-07 +/-  1.517858E-09
1.295500E+03 5.805742E-07 +/-  1.514065E-09
1.296500E+03 5.772041E-07 +/-  1.505713E-09
1.297500E+03 5.757536E-07 +/-  1.504740E-09
1.298500E+03 5.746535E-07 +/-  1.500800E-09
1.299500E+03 5.717921E-07 +/-  1.495633E-09
1.300500E+03 5.677686E-07 +/-  1.489656E-09
1.301500E+03 5.675595E-07 +/-  1.486368E-09
1.302500E+03 5.652930E-07 +/-  1.483472E-09
1.303500E+03 5.639175E-07 +/-  1.478665E-09
1.304500E+03 5.592954E-07 +/-  1.470305E-09
1.305500E+03 5.585850E-07 +/-  1.471671E-09
1.306500E+03 5.554744E-07 +/-  1.464846E-09
1.307500E+03 5.556905E-07 +/-  1.463970E-09
1.308500E+03 5.518619E-07 +/-  1.454487E-09
1.309500E+03 5.486536E-07 +/-  1.450662E-09
1.310500E+03 5.467733E-07 +/-  1.448966E-09
1.311500E+03 5.475572E-07 +/-  1.447083E-09
1.312500E+03 5.443668E-07 +/-  1.443522E-09
1.313500E+03 5.412689E-07 +/-  1.434080E-09
1.314500E+03 5.397270E-07 +/-  1.430093E-09
1.315500E+03 5.381659E-07 +/-  1.431860E-09
1.316500E+03 5.347063E-07 +/-  1.425640E-09
1.317500E+03 5.349342E-07 +/-  1.420984E-09
1.318500E+03 5.307017E-07 +/-  1.414828E-09
1.319500E+03 5.298239E-07 +/-  1.413028E-09
1.320500E+03 5.276139E-07 +/-  1.408217E-09
1.321500E+03 5.255717E-07 +/-  1.405853E-09
1.322500E+03 5.240801E-07 +/-  1.402036E-09
1.323500E+03 5.223837E-07 +/-  1.399101E-09
1.324500E+03 5.184997E-07 +/-  1.389858E-09
1.325500E+03 5.181283E-07 +/-  1.390213E-09
1.326500E+03 5.154841E-07 +/-  1.384020E-09
1.327500E+03 5.126621E-07 +/-  1.379046E-09
1.328500E+03 5.122626E-07 +/-  1.379221E-09
1.329500E+03 5.099107E-07 +/-  1.373898E-09
1.330500E+03 5.086736E-07 +/-  1.369623E-09
1.331500E+03 5.065963E-07 +/-  1.365088E-09
1.332500E+03 5.047522E-07 +/-  1.364346E-09
1.333500E+03 4.995728E-07 +/-  1.353954E-09
1.334500E+03 5.024313E-07 +/-  1.358118E-09
1.335500E+03 4.990587E-07 +/-  1.350811E-09
1.336500E+03 4.952305E-07 +/-  1.344561E-09
1.337500E+03 4.949513E-07 +/-  1.344787E-09
1.338500E+03 4.938768E-07 +/-  1.342436E-09
1.339500E+03 4.904318E-07 +/-  1.333268E-09
1.340500E+03 4.904726E-07 +/-  1.334360E-09
1.341500E+03 4.869140E-07 +/-  1.325092E-09
1.342500E+03 4.864987E-07 +/-  1.328077E-09
1.343500E+03 4.838053E-07 +/-  1.320665E-09
1.344500E+03 4.813894E-07 +/-  1.317195E-09
1.345500E+03 4.805683E-07 +/-  1.314862E-09
1.346500E+03 4.771237E-07 +/-  1.308657E-09
1.347500E+03 4.770730E-07 +/-  1.305982E-09
1.348500E+03 4.747598E-07 +/-  1.303264E-09
1.349500E+03 4.741085E-07 +/-  1.302186E-09
1.350500E+03 4.707651E-07 +/-  1.294411E-09
1.351500E+03 4.696472E-07 +/-  1.292589E-09
1.352500E+03 4.670989E-07 +/-  1.288319E-09
1.353500E+03 4.669323E-07 +/-  1.285953E-09
1.354500E+03 4.648012E-07 +/-  1.282332E-09
1.355500E+03 4.615713E-07 +/-  1.276696E-09
1.356500E+03 4.611936E-07 +/-  1.275082E-09
1.357500E+03 4.600241E-07 +/-  1.272892E-09
1.358500E+03 4.566171E-07 +/-  1.266682E-09
1.359500E+03 4.552037E-07 +/-  1.263414E-09
1.360500E+03 4.551068E-07 +/-  1.262559E-09
1.361500E+03 4.518291E-07 +/-  1.257952E-09
1.362500E+03 4.505835E-07 +/-  1.253322E-09
1.363500E+03 4.489075E-07 +/-  1.250356E-09
1.364500E+03 4.477529E-07 +/-  1.246690E-09
1.365500E+03 4.462718E-07 +/-  1.244674E-09
1.366500E+03 4.445308E-07 +/-  1.242569E-09
1.367500E+03 4.434498E-07 +/-  1.240576E-09
1.368500E+03 4.395164E-07 +/-  1.230947E-09
1.369500E+03 4.392487E-07 +/-  1.229981E-09
1.370500E+03 4.383496E-07 +/-  1.229511E-09
1.371500E+03 4.363702E-07 +/-  1.222915E-09
1.372500E+03 4.336872E-07 +/-  1.220436E-09
1.373500E+03 4.332500E-07 +/-  1.219283E-09
1.374500E+03 4.314893E-07 +/-  1.214294E-09
1.375500E+03 4.291603E-07 +/-  1.210516E-09
1.376500E+03 4.291005E-07 +/-  1.209840E-09
1.377500E+03 4.260985E-07 +/-  1.203522E-09
1.378500E+03 4.255174E-07 +/-  1.201916E-09
1.379500E+03 4.238340E-07 +/-  1.199986E-09
1.380500E+03 4.213370E-07 +/-  1.195070E-09
1.381500E+03 4.218195E-07 +/-  1.195287E-09
1.382500E+03 4.159399E-07 +/-  1.182693E-09
1.383500E+03 4.180409E-07 +/-  1.187421E-09
1.384500E+03 4.173098E-07 +/-  1.183527E-09
1.385500E+03 4.145232E-07 +/-  1.180150E-09
1.386500E+03 4.115454E-07 +/-  1.175302E-09
1.387500E+03 4.114088E-07 +/-  1.173498E-09
1.388500E+03 4.102618E-07 +/-  1.171649E-09
1.389500E+03 4.090815E-07 +/-  1.167289E-09
1.390500E+03 4.067745E-07 +/-  1.163936E-09
1.391500E+03 4.058783E-07 +/-  1.159640E-09
1.392500E+03 4.017816E-07 +/-  1.155242E-09
1.393500E+03 4.017186E-07 +/-  1.154837E-09
1.394500E+03 4.022668E-07 +/-  1.154755E-09
1.395500E+03 3.982387E-07 +/-  1.147769E-09
