 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 20.000000 to 320.000000 N_bins= 300
1.005000E+02 3.953737E+00 +/-  2.911476E-02
1.015000E+02 6.974108E+00 +/-  3.695371E-02
1.025000E+02 8.752943E+00 +/-  4.023011E-02
1.035000E+02 9.945484E+00 +/-  4.096740E-02
1.045000E+02 1.082112E+01 +/-  4.149903E-02
1.055000E+02 1.146768E+01 +/-  4.166050E-02
1.065000E+02 1.202582E+01 +/-  4.212136E-02
1.075000E+02 1.241830E+01 +/-  4.188991E-02
1.085000E+02 1.267984E+01 +/-  4.140060E-02
1.095000E+02 1.296722E+01 +/-  4.163659E-02
1.105000E+02 1.301459E+01 +/-  4.014291E-02
1.115000E+02 1.317645E+01 +/-  4.010787E-02
1.125000E+02 1.319942E+01 +/-  3.917032E-02
1.135000E+02 1.319724E+01 +/-  3.864284E-02
1.145000E+02 1.319317E+01 +/-  3.787262E-02
1.155000E+02 1.314721E+01 +/-  3.722517E-02
1.165000E+02 1.302271E+01 +/-  3.641315E-02
1.175000E+02 1.296104E+01 +/-  3.570568E-02
1.185000E+02 1.285227E+01 +/-  3.503416E-02
1.195000E+02 1.267452E+01 +/-  3.391529E-02
1.205000E+02 1.256114E+01 +/-  3.348894E-02
1.215000E+02 1.244058E+01 +/-  3.323506E-02
1.225000E+02 1.225663E+01 +/-  3.259357E-02
1.235000E+02 1.208009E+01 +/-  3.181179E-02
1.245000E+02 1.193525E+01 +/-  3.113762E-02
1.255000E+02 1.169473E+01 +/-  3.026162E-02
1.265000E+02 1.155178E+01 +/-  2.966723E-02
1.275000E+02 1.134777E+01 +/-  2.891928E-02
1.285000E+02 1.120782E+01 +/-  2.858447E-02
1.295000E+02 1.098929E+01 +/-  2.795834E-02
1.305000E+02 1.078660E+01 +/-  2.743278E-02
1.315000E+02 1.060564E+01 +/-  2.696959E-02
1.325000E+02 1.040276E+01 +/-  2.630651E-02
1.335000E+02 1.025630E+01 +/-  2.583368E-02
1.345000E+02 1.006931E+01 +/-  2.519672E-02
1.355000E+02 9.814437E+00 +/-  2.452359E-02
1.365000E+02 9.682525E+00 +/-  2.430103E-02
1.375000E+02 9.484244E+00 +/-  2.373377E-02
1.385000E+02 9.325895E+00 +/-  2.344825E-02
1.395000E+02 9.126002E+00 +/-  2.286440E-02
1.405000E+02 8.948848E+00 +/-  2.241971E-02
1.415000E+02 8.790151E+00 +/-  2.195207E-02
1.425000E+02 8.620345E+00 +/-  2.147035E-02
1.435000E+02 8.443427E+00 +/-  2.094512E-02
1.445000E+02 8.261676E+00 +/-  2.059869E-02
1.455000E+02 8.112263E+00 +/-  2.058978E-02
1.465000E+02 7.952865E+00 +/-  2.002511E-02
1.475000E+02 7.801794E+00 +/-  1.966405E-02
1.485000E+02 7.659139E+00 +/-  1.933107E-02
1.495000E+02 7.476330E+00 +/-  1.877602E-02
1.505000E+02 7.317922E+00 +/-  1.841602E-02
1.515000E+02 7.191756E+00 +/-  1.814906E-02
1.525000E+02 7.060773E+00 +/-  1.796067E-02
1.535000E+02 6.901434E+00 +/-  1.759791E-02
1.545000E+02 6.767915E+00 +/-  1.726314E-02
1.555000E+02 6.647487E+00 +/-  1.699312E-02
1.565000E+02 6.483749E+00 +/-  1.665962E-02
1.575000E+02 6.389102E+00 +/-  1.636947E-02
1.585000E+02 6.256111E+00 +/-  1.605900E-02
1.595000E+02 6.106317E+00 +/-  1.572130E-02
1.605000E+02 6.006380E+00 +/-  1.555529E-02
1.615000E+02 5.881613E+00 +/-  1.522533E-02
1.625000E+02 5.760602E+00 +/-  1.496854E-02
1.635000E+02 5.639535E+00 +/-  1.471264E-02
1.645000E+02 5.539144E+00 +/-  1.464754E-02
1.655000E+02 5.428508E+00 +/-  1.437258E-02
1.665000E+02 5.315050E+00 +/-  1.412294E-02
1.675000E+02 5.227269E+00 +/-  1.391224E-02
1.685000E+02 5.106352E+00 +/-  1.364891E-02
1.695000E+02 5.025683E+00 +/-  1.350798E-02
1.705000E+02 4.890867E+00 +/-  1.324715E-02
1.715000E+02 4.819124E+00 +/-  1.302904E-02
1.725000E+02 4.719480E+00 +/-  1.280257E-02
1.735000E+02 4.643407E+00 +/-  1.264674E-02
1.745000E+02 4.545395E+00 +/-  1.251162E-02
1.755000E+02 4.450840E+00 +/-  1.224881E-02
1.765000E+02 4.368712E+00 +/-  1.206735E-02
1.775000E+02 4.270294E+00 +/-  1.186610E-02
1.785000E+02 4.202423E+00 +/-  1.170252E-02
1.795000E+02 4.137749E+00 +/-  1.164378E-02
1.805000E+02 4.028353E+00 +/-  1.136846E-02
1.815000E+02 3.971620E+00 +/-  1.121513E-02
1.825000E+02 3.888979E+00 +/-  1.106358E-02
1.835000E+02 3.815208E+00 +/-  1.085770E-02
1.845000E+02 3.730614E+00 +/-  1.077363E-02
1.855000E+02 3.678528E+00 +/-  1.061860E-02
1.865000E+02 3.596481E+00 +/-  1.043520E-02
1.875000E+02 3.531536E+00 +/-  1.030675E-02
1.885000E+02 3.476084E+00 +/-  1.012779E-02
1.895000E+02 3.410557E+00 +/-  1.002828E-02
1.905000E+02 3.340452E+00 +/-  9.883922E-03
1.915000E+02 3.291901E+00 +/-  9.803372E-03
1.925000E+02 3.203167E+00 +/-  9.547401E-03
1.935000E+02 3.159584E+00 +/-  9.493177E-03
1.945000E+02 3.088648E+00 +/-  9.282455E-03
1.955000E+02 3.047327E+00 +/-  9.235909E-03
1.965000E+02 3.007210E+00 +/-  9.157467E-03
1.975000E+02 2.928532E+00 +/-  9.023442E-03
1.985000E+02 2.884593E+00 +/-  8.864798E-03
1.995000E+02 2.816326E+00 +/-  8.740413E-03
2.005000E+02 2.796155E+00 +/-  8.662739E-03
2.015000E+02 2.723425E+00 +/-  8.480677E-03
2.025000E+02 2.666340E+00 +/-  8.455881E-03
2.035000E+02 2.636858E+00 +/-  8.393704E-03
2.045000E+02 2.584562E+00 +/-  8.268935E-03
2.055000E+02 2.548236E+00 +/-  8.159644E-03
2.065000E+02 2.484661E+00 +/-  8.017918E-03
2.075000E+02 2.450813E+00 +/-  7.959081E-03
2.085000E+02 2.404796E+00 +/-  7.849780E-03
2.095000E+02 2.367863E+00 +/-  7.753121E-03
2.105000E+02 2.325161E+00 +/-  7.740153E-03
2.115000E+02 2.282526E+00 +/-  7.662771E-03
2.125000E+02 2.249210E+00 +/-  7.525616E-03
2.135000E+02 2.202832E+00 +/-  7.394990E-03
2.145000E+02 2.157444E+00 +/-  7.318362E-03
2.155000E+02 2.138848E+00 +/-  7.321225E-03
2.165000E+02 2.092505E+00 +/-  7.153380E-03
2.175000E+02 2.061531E+00 +/-  7.053986E-03
2.185000E+02 2.024342E+00 +/-  7.023873E-03
2.195000E+02 1.974562E+00 +/-  6.964452E-03
2.205000E+02 1.954880E+00 +/-  6.881331E-03
2.215000E+02 1.933517E+00 +/-  6.806122E-03
2.225000E+02 1.890329E+00 +/-  6.677436E-03
2.235000E+02 1.851924E+00 +/-  6.637969E-03
2.245000E+02 1.826931E+00 +/-  6.564189E-03
2.255000E+02 1.791606E+00 +/-  6.429498E-03
2.265000E+02 1.775692E+00 +/-  6.355421E-03
2.275000E+02 1.736484E+00 +/-  6.297714E-03
2.285000E+02 1.706837E+00 +/-  6.341239E-03
2.295000E+02 1.680727E+00 +/-  6.266429E-03
2.305000E+02 1.649737E+00 +/-  6.171961E-03
2.315000E+02 1.624379E+00 +/-  6.054453E-03
2.325000E+02 1.597450E+00 +/-  5.940615E-03
2.335000E+02 1.580357E+00 +/-  5.962384E-03
2.345000E+02 1.555150E+00 +/-  5.942085E-03
2.355000E+02 1.521949E+00 +/-  5.788594E-03
2.365000E+02 1.499528E+00 +/-  5.736705E-03
2.375000E+02 1.471072E+00 +/-  5.710660E-03
2.385000E+02 1.444150E+00 +/-  5.598333E-03
2.395000E+02 1.433539E+00 +/-  5.588785E-03
2.405000E+02 1.410997E+00 +/-  5.600615E-03
2.415000E+02 1.385419E+00 +/-  5.496153E-03
2.425000E+02 1.357203E+00 +/-  5.403145E-03
2.435000E+02 1.339320E+00 +/-  5.314976E-03
2.445000E+02 1.323396E+00 +/-  5.255592E-03
2.455000E+02 1.301103E+00 +/-  5.280638E-03
2.465000E+02 1.285251E+00 +/-  5.236168E-03
2.475000E+02 1.257748E+00 +/-  5.184094E-03
2.485000E+02 1.240018E+00 +/-  5.096331E-03
2.495000E+02 1.218506E+00 +/-  4.995022E-03
2.505000E+02 1.192711E+00 +/-  4.941153E-03
2.515000E+02 1.186488E+00 +/-  4.869541E-03
2.525000E+02 1.170243E+00 +/-  4.802086E-03
2.535000E+02 1.146124E+00 +/-  4.846898E-03
2.545000E+02 1.125044E+00 +/-  4.803085E-03
2.555000E+02 1.112797E+00 +/-  4.741699E-03
2.565000E+02 1.098613E+00 +/-  4.639591E-03
2.575000E+02 1.082535E+00 +/-  4.612046E-03
2.585000E+02 1.059950E+00 +/-  4.649898E-03
2.595000E+02 1.054701E+00 +/-  4.739627E-03
2.605000E+02 1.032846E+00 +/-  4.663897E-03
2.615000E+02 1.011279E+00 +/-  4.504507E-03
2.625000E+02 1.000146E+00 +/-  4.471512E-03
2.635000E+02 9.927852E-01 +/-  4.448306E-03
2.645000E+02 9.708165E-01 +/-  4.329088E-03
2.655000E+02 9.638236E-01 +/-  4.294457E-03
2.665000E+02 9.394228E-01 +/-  4.198071E-03
2.675000E+02 9.315378E-01 +/-  4.152859E-03
2.685000E+02 9.152705E-01 +/-  4.049574E-03
2.695000E+02 9.050112E-01 +/-  4.053497E-03
2.705000E+02 8.904484E-01 +/-  4.069383E-03
2.715000E+02 8.717707E-01 +/-  4.096194E-03
2.725000E+02 8.699757E-01 +/-  4.103784E-03
2.735000E+02 8.568594E-01 +/-  4.069113E-03
2.745000E+02 8.404123E-01 +/-  3.957860E-03
2.755000E+02 8.283287E-01 +/-  4.035531E-03
2.765000E+02 8.145204E-01 +/-  3.978799E-03
2.775000E+02 8.089866E-01 +/-  3.956705E-03
2.785000E+02 7.957981E-01 +/-  3.886277E-03
2.795000E+02 7.788819E-01 +/-  3.798554E-03
2.805000E+02 7.774661E-01 +/-  3.820766E-03
2.815000E+02 7.643975E-01 +/-  3.718582E-03
2.825000E+02 7.497507E-01 +/-  3.658852E-03
2.835000E+02 7.398479E-01 +/-  3.580716E-03
2.845000E+02 7.291888E-01 +/-  3.530338E-03
2.855000E+02 7.151095E-01 +/-  3.463906E-03
2.865000E+02 7.159071E-01 +/-  3.554926E-03
2.875000E+02 6.982199E-01 +/-  3.456513E-03
2.885000E+02 6.936398E-01 +/-  3.405645E-03
2.895000E+02 6.823382E-01 +/-  3.381265E-03
2.905000E+02 6.738562E-01 +/-  3.318155E-03
2.915000E+02 6.577610E-01 +/-  3.221127E-03
2.925000E+02 6.577903E-01 +/-  3.350049E-03
2.935000E+02 6.427153E-01 +/-  3.312508E-03
2.945000E+02 6.359843E-01 +/-  3.279035E-03
2.955000E+02 6.301606E-01 +/-  3.279874E-03
2.965000E+02 6.225114E-01 +/-  3.341473E-03
2.975000E+02 6.146697E-01 +/-  3.290116E-03
2.985000E+02 6.077877E-01 +/-  3.249776E-03
2.995000E+02 5.988699E-01 +/-  3.201738E-03
3.005000E+02 5.843724E-01 +/-  3.126261E-03
3.015000E+02 5.818978E-01 +/-  3.071634E-03
3.025000E+02 5.661512E-01 +/-  3.063004E-03
3.035000E+02 5.643422E-01 +/-  3.039110E-03
3.045000E+02 5.624485E-01 +/-  3.024794E-03
3.055000E+02 5.484073E-01 +/-  2.950488E-03
3.065000E+02 5.441385E-01 +/-  2.944809E-03
3.075000E+02 5.379793E-01 +/-  2.894731E-03
3.085000E+02 5.288430E-01 +/-  2.850469E-03
3.095000E+02 5.208363E-01 +/-  2.775210E-03
3.105000E+02 5.109887E-01 +/-  2.736278E-03
3.115000E+02 5.057086E-01 +/-  2.714189E-03
3.125000E+02 5.043567E-01 +/-  2.707128E-03
3.135000E+02 4.955854E-01 +/-  2.650429E-03
3.145000E+02 4.880777E-01 +/-  2.605380E-03
3.155000E+02 4.798312E-01 +/-  2.533812E-03
3.165000E+02 4.786911E-01 +/-  2.571347E-03
3.175000E+02 4.727909E-01 +/-  2.527743E-03
3.185000E+02 4.676823E-01 +/-  2.487556E-03
3.195000E+02 4.610948E-01 +/-  2.461225E-03
