 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.984000E+02 3.601877E-03 +/-  1.819804E-05
2.000000E+02 3.475217E-03 +/-  1.738138E-05
2.016000E+02 3.362482E-03 +/-  1.689771E-05
2.032000E+02 3.234448E-03 +/-  1.630783E-05
2.048000E+02 3.099745E-03 +/-  1.607002E-05
2.064000E+02 3.001422E-03 +/-  1.564944E-05
2.080000E+02 2.886715E-03 +/-  1.513207E-05
2.096000E+02 2.768325E-03 +/-  1.445604E-05
2.112000E+02 2.701406E-03 +/-  1.413488E-05
2.128000E+02 2.617197E-03 +/-  1.358544E-05
2.144000E+02 2.506776E-03 +/-  1.335196E-05
2.160000E+02 2.426897E-03 +/-  1.332856E-05
2.176000E+02 2.331693E-03 +/-  1.330001E-05
2.192000E+02 2.276273E-03 +/-  1.344703E-05
2.208000E+02 2.191315E-03 +/-  1.286439E-05
2.224000E+02 2.111830E-03 +/-  1.267128E-05
2.240000E+02 2.068185E-03 +/-  1.271869E-05
2.256000E+02 1.991471E-03 +/-  1.244989E-05
2.272000E+02 1.931474E-03 +/-  1.196004E-05
2.288000E+02 1.862372E-03 +/-  1.145801E-05
2.304000E+02 1.817886E-03 +/-  1.120863E-05
2.320000E+02 1.755911E-03 +/-  1.080034E-05
2.336000E+02 1.704914E-03 +/-  1.041681E-05
2.352000E+02 1.647116E-03 +/-  1.002379E-05
2.368000E+02 1.594432E-03 +/-  9.755751E-06
2.384000E+02 1.550759E-03 +/-  9.444098E-06
2.400000E+02 1.491450E-03 +/-  9.258305E-06
2.416000E+02 1.462952E-03 +/-  9.542335E-06
2.432000E+02 1.416646E-03 +/-  9.295004E-06
2.448000E+02 1.369151E-03 +/-  8.942072E-06
2.464000E+02 1.347569E-03 +/-  8.860250E-06
2.480000E+02 1.296743E-03 +/-  8.871418E-06
2.496000E+02 1.248125E-03 +/-  8.455677E-06
2.512000E+02 1.225682E-03 +/-  8.659436E-06
2.528000E+02 1.186009E-03 +/-  9.190883E-06
2.544000E+02 1.164213E-03 +/-  9.138204E-06
2.560000E+02 1.135212E-03 +/-  9.033187E-06
2.576000E+02 1.087484E-03 +/-  8.484322E-06
2.592000E+02 1.079145E-03 +/-  8.532606E-06
2.608000E+02 1.026839E-03 +/-  8.032471E-06
2.624000E+02 1.003615E-03 +/-  7.780089E-06
2.640000E+02 9.817689E-04 +/-  7.703030E-06
2.656000E+02 9.673117E-04 +/-  7.543045E-06
2.672000E+02 9.241592E-04 +/-  7.230762E-06
2.688000E+02 9.061318E-04 +/-  6.972349E-06
2.704000E+02 8.821123E-04 +/-  6.771165E-06
2.720000E+02 8.578733E-04 +/-  6.661798E-06
2.736000E+02 8.302662E-04 +/-  6.432838E-06
2.752000E+02 8.184826E-04 +/-  6.308647E-06
2.768000E+02 7.896009E-04 +/-  5.974650E-06
2.784000E+02 7.794526E-04 +/-  6.010692E-06
2.800000E+02 7.509864E-04 +/-  6.617472E-06
2.816000E+02 7.424873E-04 +/-  6.584696E-06
2.832000E+02 7.232171E-04 +/-  6.472315E-06
2.848000E+02 7.054905E-04 +/-  6.258976E-06
2.864000E+02 6.867532E-04 +/-  6.216225E-06
