 s,S -> m,M
x-axis: "Mass{p3+p4}$"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.031500E+03 1.649851E-07 +/-  4.491883E-10
1.032500E+03 1.641292E-07 +/-  4.461958E-10
1.033500E+03 1.623406E-07 +/-  4.438816E-10
1.034500E+03 1.627121E-07 +/-  4.430718E-10
1.035500E+03 1.605875E-07 +/-  4.393311E-10
1.036500E+03 1.605398E-07 +/-  4.398230E-10
1.037500E+03 1.591265E-07 +/-  4.372229E-10
1.038500E+03 1.586837E-07 +/-  4.361855E-10
1.039500E+03 1.575685E-07 +/-  4.334099E-10
1.040500E+03 1.560370E-07 +/-  4.294213E-10
1.041500E+03 1.565460E-07 +/-  4.310981E-10
1.042500E+03 1.548091E-07 +/-  4.289890E-10
1.043500E+03 1.543327E-07 +/-  4.271574E-10
1.044500E+03 1.530553E-07 +/-  4.242119E-10
1.045500E+03 1.522278E-07 +/-  4.222449E-10
1.046500E+03 1.517990E-07 +/-  4.212096E-10
1.047500E+03 1.514264E-07 +/-  4.209809E-10
1.048500E+03 1.495013E-07 +/-  4.172693E-10
1.049500E+03 1.495073E-07 +/-  4.175084E-10
1.050500E+03 1.479345E-07 +/-  4.137974E-10
1.051500E+03 1.473695E-07 +/-  4.126455E-10
1.052500E+03 1.469804E-07 +/-  4.112628E-10
1.053500E+03 1.461984E-07 +/-  4.098174E-10
1.054500E+03 1.448876E-07 +/-  4.075454E-10
1.055500E+03 1.442887E-07 +/-  4.075638E-10
1.056500E+03 1.433764E-07 +/-  4.043687E-10
1.057500E+03 1.434919E-07 +/-  4.043722E-10
1.058500E+03 1.415714E-07 +/-  4.001995E-10
1.059500E+03 1.413922E-07 +/-  3.995019E-10
1.060500E+03 1.400256E-07 +/-  3.981508E-10
1.061500E+03 1.401341E-07 +/-  3.986463E-10
1.062500E+03 1.390318E-07 +/-  3.955628E-10
1.063500E+03 1.381189E-07 +/-  3.934520E-10
1.064500E+03 1.374885E-07 +/-  3.921727E-10
1.065500E+03 1.371406E-07 +/-  3.904930E-10
1.066500E+03 1.358723E-07 +/-  3.889641E-10
1.067500E+03 1.353170E-07 +/-  3.872983E-10
1.068500E+03 1.343382E-07 +/-  3.870691E-10
1.069500E+03 1.335960E-07 +/-  3.842438E-10
1.070500E+03 1.334231E-07 +/-  3.837094E-10
1.071500E+03 1.324943E-07 +/-  3.813388E-10
1.072500E+03 1.313622E-07 +/-  3.780192E-10
1.073500E+03 1.307860E-07 +/-  3.789053E-10
1.074500E+03 1.302641E-07 +/-  3.777833E-10
1.075500E+03 1.299014E-07 +/-  3.767312E-10
1.076500E+03 1.291174E-07 +/-  3.749102E-10
1.077500E+03 1.275676E-07 +/-  3.714845E-10
1.078500E+03 1.275645E-07 +/-  3.707049E-10
1.079500E+03 1.269737E-07 +/-  3.687188E-10
1.080500E+03 1.260267E-07 +/-  3.687091E-10
1.081500E+03 1.253053E-07 +/-  3.673670E-10
1.082500E+03 1.248185E-07 +/-  3.662295E-10
1.083500E+03 1.239751E-07 +/-  3.643181E-10
1.084500E+03 1.236020E-07 +/-  3.630808E-10
1.085500E+03 1.230068E-07 +/-  3.611503E-10
1.086500E+03 1.220251E-07 +/-  3.583043E-10
1.087500E+03 1.212656E-07 +/-  3.581396E-10
1.088500E+03 1.209232E-07 +/-  3.573210E-10
1.089500E+03 1.207297E-07 +/-  3.577166E-10
1.090500E+03 1.197841E-07 +/-  3.558924E-10
1.091500E+03 1.188635E-07 +/-  3.528345E-10
1.092500E+03 1.179285E-07 +/-  3.505500E-10
1.093500E+03 1.177140E-07 +/-  3.494153E-10
1.094500E+03 1.171626E-07 +/-  3.483076E-10
1.095500E+03 1.165886E-07 +/-  3.484855E-10
1.096500E+03 1.161381E-07 +/-  3.469544E-10
1.097500E+03 1.147843E-07 +/-  3.457728E-10
1.098500E+03 1.145765E-07 +/-  3.441684E-10
1.099500E+03 1.137990E-07 +/-  3.422200E-10
1.100500E+03 1.137791E-07 +/-  3.409131E-10
1.101500E+03 1.126045E-07 +/-  3.379935E-10
1.102500E+03 1.121974E-07 +/-  3.384519E-10
1.103500E+03 1.118872E-07 +/-  3.378242E-10
1.104500E+03 1.110644E-07 +/-  3.367506E-10
1.105500E+03 1.108338E-07 +/-  3.370400E-10
1.106500E+03 1.098381E-07 +/-  3.341053E-10
1.107500E+03 1.087040E-07 +/-  3.309923E-10
1.108500E+03 1.086925E-07 +/-  3.305140E-10
1.109500E+03 1.089267E-07 +/-  3.298415E-10
1.110500E+03 1.074068E-07 +/-  3.275671E-10
1.111500E+03 1.066438E-07 +/-  3.271864E-10
1.112500E+03 1.066083E-07 +/-  3.273453E-10
1.113500E+03 1.057191E-07 +/-  3.258467E-10
1.114500E+03 1.055709E-07 +/-  3.246152E-10
1.115500E+03 1.049611E-07 +/-  3.226172E-10
1.116500E+03 1.039040E-07 +/-  3.200511E-10
1.117500E+03 1.039475E-07 +/-  3.191118E-10
1.118500E+03 1.032898E-07 +/-  3.182020E-10
1.119500E+03 1.030070E-07 +/-  3.189291E-10
1.120500E+03 1.020346E-07 +/-  3.165647E-10
1.121500E+03 1.014156E-07 +/-  3.159723E-10
1.122500E+03 1.009842E-07 +/-  3.149227E-10
1.123500E+03 1.005087E-07 +/-  3.133009E-10
1.124500E+03 1.000742E-07 +/-  3.114868E-10
1.125500E+03 9.954119E-08 +/-  3.097560E-10
1.126500E+03 9.904682E-08 +/-  3.087557E-10
1.127500E+03 9.851016E-08 +/-  3.084649E-10
1.128500E+03 9.758683E-08 +/-  3.070351E-10
1.129500E+03 9.807417E-08 +/-  3.077313E-10
1.130500E+03 9.661823E-08 +/-  3.058253E-10
1.131500E+03 9.609148E-08 +/-  3.042231E-10
1.132500E+03 9.622587E-08 +/-  3.036982E-10
1.133500E+03 9.561766E-08 +/-  3.019369E-10
1.134500E+03 9.503686E-08 +/-  3.001847E-10
1.135500E+03 9.445169E-08 +/-  2.993899E-10
1.136500E+03 9.419321E-08 +/-  2.988204E-10
1.137500E+03 9.355164E-08 +/-  2.970557E-10
1.138500E+03 9.271277E-08 +/-  2.962251E-10
1.139500E+03 9.262402E-08 +/-  2.961937E-10
1.140500E+03 9.204045E-08 +/-  2.947348E-10
1.141500E+03 9.133860E-08 +/-  2.931160E-10
1.142500E+03 9.132631E-08 +/-  2.927210E-10
1.143500E+03 9.084664E-08 +/-  2.911293E-10
1.144500E+03 9.043085E-08 +/-  2.899483E-10
1.145500E+03 8.986800E-08 +/-  2.893088E-10
1.146500E+03 8.891632E-08 +/-  2.866587E-10
1.147500E+03 8.869414E-08 +/-  2.859633E-10
1.148500E+03 8.844692E-08 +/-  2.859874E-10
1.149500E+03 8.825428E-08 +/-  2.860778E-10
1.150500E+03 8.713620E-08 +/-  2.842473E-10
1.151500E+03 8.707878E-08 +/-  2.835201E-10
1.152500E+03 8.667860E-08 +/-  2.821525E-10
1.153500E+03 8.599919E-08 +/-  2.801997E-10
1.154500E+03 8.596820E-08 +/-  2.804563E-10
1.155500E+03 8.492252E-08 +/-  2.779951E-10
1.156500E+03 8.517087E-08 +/-  2.775349E-10
1.157500E+03 8.456729E-08 +/-  2.757460E-10
1.158500E+03 8.429182E-08 +/-  2.764183E-10
1.159500E+03 8.334406E-08 +/-  2.748670E-10
1.160500E+03 8.312609E-08 +/-  2.750494E-10
1.161500E+03 8.302618E-08 +/-  2.739804E-10
1.162500E+03 8.194540E-08 +/-  2.713567E-10
1.163500E+03 8.186755E-08 +/-  2.706050E-10
1.164500E+03 8.155161E-08 +/-  2.703543E-10
1.165500E+03 8.116746E-08 +/-  2.690034E-10
1.166500E+03 8.067843E-08 +/-  2.676632E-10
1.167500E+03 8.005526E-08 +/-  2.662219E-10
1.168500E+03 7.975076E-08 +/-  2.649406E-10
1.169500E+03 7.970704E-08 +/-  2.657466E-10
1.170500E+03 7.881718E-08 +/-  2.644316E-10
1.171500E+03 7.887713E-08 +/-  2.648976E-10
1.172500E+03 7.844040E-08 +/-  2.631000E-10
1.173500E+03 7.788550E-08 +/-  2.615053E-10
1.174500E+03 7.746835E-08 +/-  2.610462E-10
1.175500E+03 7.736452E-08 +/-  2.609191E-10
1.176500E+03 7.678168E-08 +/-  2.592421E-10
1.177500E+03 7.582733E-08 +/-  2.568378E-10
1.178500E+03 7.582257E-08 +/-  2.561118E-10
1.179500E+03 7.574448E-08 +/-  2.553681E-10
1.180500E+03 7.529682E-08 +/-  2.540678E-10
1.181500E+03 7.482254E-08 +/-  2.544042E-10
1.182500E+03 7.429475E-08 +/-  2.541904E-10
1.183500E+03 7.456380E-08 +/-  2.543798E-10
1.184500E+03 7.340942E-08 +/-  2.517198E-10
1.185500E+03 7.336978E-08 +/-  2.524348E-10
1.186500E+03 7.267317E-08 +/-  2.504454E-10
1.187500E+03 7.267078E-08 +/-  2.498139E-10
1.188500E+03 7.284755E-08 +/-  2.494116E-10
1.189500E+03 7.146048E-08 +/-  2.461653E-10
1.190500E+03 7.160843E-08 +/-  2.457323E-10
1.191500E+03 7.104353E-08 +/-  2.440222E-10
1.192500E+03 7.064463E-08 +/-  2.428214E-10
1.193500E+03 7.048982E-08 +/-  2.442228E-10
1.194500E+03 7.020308E-08 +/-  2.448955E-10
1.195500E+03 6.985120E-08 +/-  2.434991E-10
1.196500E+03 6.925511E-08 +/-  2.427362E-10
1.197500E+03 6.940192E-08 +/-  2.426818E-10
1.198500E+03 6.859881E-08 +/-  2.404428E-10
1.199500E+03 6.833436E-08 +/-  2.395570E-10
1.200500E+03 6.796899E-08 +/-  2.379511E-10
1.201500E+03 6.792119E-08 +/-  2.374589E-10
1.202500E+03 6.736677E-08 +/-  2.361739E-10
1.203500E+03 6.706990E-08 +/-  2.349160E-10
1.204500E+03 6.666931E-08 +/-  2.335280E-10
1.205500E+03 6.627960E-08 +/-  2.321885E-10
1.206500E+03 6.601927E-08 +/-  2.329271E-10
1.207500E+03 6.599489E-08 +/-  2.335600E-10
1.208500E+03 6.554068E-08 +/-  2.328998E-10
1.209500E+03 6.522322E-08 +/-  2.317362E-10
1.210500E+03 6.456067E-08 +/-  2.300974E-10
1.211500E+03 6.444430E-08 +/-  2.293333E-10
1.212500E+03 6.398364E-08 +/-  2.278842E-10
1.213500E+03 6.362308E-08 +/-  2.266950E-10
1.214500E+03 6.378717E-08 +/-  2.263540E-10
1.215500E+03 6.352625E-08 +/-  2.252598E-10
1.216500E+03 6.293263E-08 +/-  2.235104E-10
1.217500E+03 6.242447E-08 +/-  2.220635E-10
1.218500E+03 6.275641E-08 +/-  2.219657E-10
1.219500E+03 6.161933E-08 +/-  2.192154E-10
