 d,D -> G,G
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
5.570000E+01 0.000000E+00 +/-  0.000000E+00
5.630000E+01 0.000000E+00 +/-  0.000000E+00
5.690000E+01 0.000000E+00 +/-  0.000000E+00
5.750000E+01 0.000000E+00 +/-  0.000000E+00
5.810000E+01 0.000000E+00 +/-  0.000000E+00
5.870000E+01 0.000000E+00 +/-  0.000000E+00
5.930000E+01 0.000000E+00 +/-  0.000000E+00
5.990000E+01 0.000000E+00 +/-  0.000000E+00
6.050000E+01 0.000000E+00 +/-  0.000000E+00
6.110000E+01 0.000000E+00 +/-  0.000000E+00
6.170000E+01 0.000000E+00 +/-  0.000000E+00
6.230000E+01 0.000000E+00 +/-  0.000000E+00
6.290000E+01 0.000000E+00 +/-  0.000000E+00
6.350000E+01 0.000000E+00 +/-  0.000000E+00
6.410000E+01 0.000000E+00 +/-  0.000000E+00
6.470000E+01 0.000000E+00 +/-  0.000000E+00
6.530000E+01 0.000000E+00 +/-  0.000000E+00
6.590000E+01 0.000000E+00 +/-  0.000000E+00
6.650000E+01 0.000000E+00 +/-  0.000000E+00
6.710000E+01 0.000000E+00 +/-  0.000000E+00
6.770000E+01 0.000000E+00 +/-  0.000000E+00
6.830000E+01 0.000000E+00 +/-  0.000000E+00
6.890000E+01 0.000000E+00 +/-  0.000000E+00
6.950000E+01 0.000000E+00 +/-  0.000000E+00
7.010000E+01 0.000000E+00 +/-  0.000000E+00
7.070000E+01 0.000000E+00 +/-  0.000000E+00
7.130000E+01 0.000000E+00 +/-  0.000000E+00
7.190000E+01 0.000000E+00 +/-  0.000000E+00
7.250000E+01 0.000000E+00 +/-  0.000000E+00
7.310000E+01 0.000000E+00 +/-  0.000000E+00
7.370000E+01 0.000000E+00 +/-  0.000000E+00
7.430000E+01 0.000000E+00 +/-  0.000000E+00
7.490000E+01 0.000000E+00 +/-  0.000000E+00
7.550000E+01 0.000000E+00 +/-  0.000000E+00
7.610000E+01 0.000000E+00 +/-  0.000000E+00
7.670000E+01 0.000000E+00 +/-  0.000000E+00
7.730000E+01 0.000000E+00 +/-  0.000000E+00
7.790000E+01 0.000000E+00 +/-  0.000000E+00
7.850000E+01 0.000000E+00 +/-  0.000000E+00
7.910000E+01 0.000000E+00 +/-  0.000000E+00
7.970000E+01 0.000000E+00 +/-  0.000000E+00
8.030000E+01 0.000000E+00 +/-  0.000000E+00
8.090000E+01 0.000000E+00 +/-  0.000000E+00
8.150000E+01 0.000000E+00 +/-  0.000000E+00
8.210000E+01 0.000000E+00 +/-  0.000000E+00
8.270000E+01 0.000000E+00 +/-  0.000000E+00
8.330000E+01 0.000000E+00 +/-  0.000000E+00
8.390000E+01 0.000000E+00 +/-  0.000000E+00
8.450000E+01 0.000000E+00 +/-  0.000000E+00
8.510000E+01 0.000000E+00 +/-  0.000000E+00
8.570000E+01 0.000000E+00 +/-  0.000000E+00
8.630000E+01 0.000000E+00 +/-  0.000000E+00
8.690000E+01 0.000000E+00 +/-  0.000000E+00
8.750000E+01 0.000000E+00 +/-  0.000000E+00
8.810000E+01 0.000000E+00 +/-  0.000000E+00
8.870000E+01 0.000000E+00 +/-  0.000000E+00
8.930000E+01 0.000000E+00 +/-  0.000000E+00
8.990000E+01 0.000000E+00 +/-  0.000000E+00
9.050000E+01 0.000000E+00 +/-  0.000000E+00
9.110000E+01 0.000000E+00 +/-  0.000000E+00
9.170000E+01 0.000000E+00 +/-  0.000000E+00
9.230000E+01 0.000000E+00 +/-  0.000000E+00
9.290000E+01 0.000000E+00 +/-  0.000000E+00
9.350000E+01 0.000000E+00 +/-  0.000000E+00
9.410000E+01 0.000000E+00 +/-  0.000000E+00
9.470000E+01 0.000000E+00 +/-  0.000000E+00
9.530000E+01 0.000000E+00 +/-  0.000000E+00
9.590000E+01 0.000000E+00 +/-  0.000000E+00
9.650000E+01 0.000000E+00 +/-  0.000000E+00
9.710000E+01 0.000000E+00 +/-  0.000000E+00
9.770000E+01 0.000000E+00 +/-  0.000000E+00
9.830000E+01 0.000000E+00 +/-  0.000000E+00
9.890000E+01 0.000000E+00 +/-  0.000000E+00
9.950000E+01 0.000000E+00 +/-  0.000000E+00
1.001000E+02 -1.180092E+01 +/-  1.792742E-01
1.007000E+02 -3.368601E+01 +/-  2.999811E-01
1.013000E+02 -4.518331E+01 +/-  3.428387E-01
1.019000E+02 -5.341044E+01 +/-  3.678716E-01
1.025000E+02 -5.867403E+01 +/-  3.794815E-01
1.031000E+02 -6.422387E+01 +/-  3.919053E-01
1.037000E+02 -6.813322E+01 +/-  3.977346E-01
1.043000E+02 -7.171450E+01 +/-  4.022892E-01
1.049000E+02 -7.479561E+01 +/-  4.054671E-01
1.055000E+02 -7.687376E+01 +/-  4.055853E-01
1.061000E+02 -7.845382E+01 +/-  4.038733E-01
1.067000E+02 -8.052129E+01 +/-  4.036918E-01
1.073000E+02 -8.169270E+01 +/-  4.011502E-01
1.079000E+02 -8.365844E+01 +/-  4.004655E-01
1.085000E+02 -8.377633E+01 +/-  3.955521E-01
1.091000E+02 -8.446877E+01 +/-  3.915651E-01
1.097000E+02 -8.508186E+01 +/-  3.881794E-01
1.103000E+02 -8.588903E+01 +/-  3.846381E-01
1.109000E+02 -8.547032E+01 +/-  3.788227E-01
1.115000E+02 -8.573493E+01 +/-  3.744588E-01
1.121000E+02 -8.603594E+01 +/-  3.699219E-01
1.127000E+02 -8.576891E+01 +/-  3.650403E-01
1.133000E+02 -8.571298E+01 +/-  3.600972E-01
1.139000E+02 -8.589652E+01 +/-  3.559373E-01
1.145000E+02 -8.515828E+01 +/-  3.497280E-01
1.151000E+02 -8.455229E+01 +/-  3.441121E-01
1.157000E+02 -8.443337E+01 +/-  3.394231E-01
1.163000E+02 -8.430500E+01 +/-  3.352854E-01
1.169000E+02 -8.335294E+01 +/-  3.290432E-01
1.175000E+02 -8.290418E+01 +/-  3.239986E-01
1.181000E+02 -8.261521E+01 +/-  3.196948E-01
1.187000E+02 -8.165138E+01 +/-  3.138085E-01
1.193000E+02 -8.087623E+01 +/-  3.081316E-01
1.199000E+02 -8.071002E+01 +/-  3.043705E-01
1.205000E+02 -7.985458E+01 +/-  2.991962E-01
1.211000E+02 -7.877309E+01 +/-  2.933748E-01
1.217000E+02 -7.877265E+01 +/-  2.898762E-01
1.223000E+02 -7.746085E+01 +/-  2.839584E-01
1.229000E+02 -7.686018E+01 +/-  2.796346E-01
1.235000E+02 -7.607508E+01 +/-  2.748189E-01
1.241000E+02 -7.551113E+01 +/-  2.707348E-01
1.247000E+02 -7.457600E+01 +/-  2.656899E-01
1.253000E+02 -7.362192E+01 +/-  2.608309E-01
1.259000E+02 -7.297394E+01 +/-  2.567631E-01
1.265000E+02 -7.209876E+01 +/-  2.523228E-01
1.271000E+02 -7.135485E+01 +/-  2.479811E-01
1.277000E+02 -7.061464E+01 +/-  2.438700E-01
1.283000E+02 -6.981728E+01 +/-  2.398574E-01
1.289000E+02 -6.902633E+01 +/-  2.357148E-01
1.295000E+02 -6.820762E+01 +/-  2.316650E-01
1.301000E+02 -6.731045E+01 +/-  2.275486E-01
1.307000E+02 -6.674408E+01 +/-  2.239966E-01
1.313000E+02 -6.572461E+01 +/-  2.197126E-01
1.319000E+02 -6.512543E+01 +/-  2.163364E-01
1.325000E+02 -6.426864E+01 +/-  2.124852E-01
1.331000E+02 -6.355426E+01 +/-  2.090132E-01
1.337000E+02 -6.270127E+01 +/-  2.053045E-01
1.343000E+02 -6.172543E+01 +/-  2.014712E-01
1.349000E+02 -6.126586E+01 +/-  1.984724E-01
1.355000E+02 -6.041286E+01 +/-  1.950093E-01
1.361000E+02 -5.971808E+01 +/-  1.918012E-01
1.367000E+02 -5.898260E+01 +/-  1.884800E-01
1.373000E+02 -5.809681E+01 +/-  1.851407E-01
1.379000E+02 -5.748585E+01 +/-  1.820967E-01
1.385000E+02 -5.680730E+01 +/-  1.791310E-01
1.391000E+02 -5.593417E+01 +/-  1.757759E-01
1.397000E+02 -5.532265E+01 +/-  1.730886E-01
1.403000E+02 -5.453749E+01 +/-  1.700132E-01
1.409000E+02 -5.391866E+01 +/-  1.672722E-01
1.415000E+02 -5.321948E+01 +/-  1.644351E-01
1.421000E+02 -5.250397E+01 +/-  1.616188E-01
1.427000E+02 -5.190825E+01 +/-  1.589786E-01
1.433000E+02 -5.124224E+01 +/-  1.564316E-01
1.439000E+02 -5.051220E+01 +/-  1.536553E-01
1.445000E+02 -4.990151E+01 +/-  1.511596E-01
1.451000E+02 -4.929426E+01 +/-  1.487123E-01
1.457000E+02 -4.869337E+01 +/-  1.463340E-01
1.463000E+02 -4.794300E+01 +/-  1.436336E-01
1.469000E+02 -4.728385E+01 +/-  1.412567E-01
1.475000E+02 -4.682463E+01 +/-  1.391640E-01
1.481000E+02 -4.604611E+01 +/-  1.366091E-01
1.487000E+02 -4.570537E+01 +/-  1.348031E-01
1.493000E+02 -4.497282E+01 +/-  1.323336E-01
1.499000E+02 -4.430152E+01 +/-  1.300521E-01
1.505000E+02 -4.396601E+01 +/-  1.282422E-01
1.511000E+02 -4.323956E+01 +/-  1.259557E-01
1.517000E+02 -4.271418E+01 +/-  1.239492E-01
1.523000E+02 -4.210859E+01 +/-  1.218874E-01
1.529000E+02 -4.169145E+01 +/-  1.201010E-01
1.535000E+02 -4.104760E+01 +/-  1.180275E-01
1.541000E+02 -4.050952E+01 +/-  1.161114E-01
1.547000E+02 -4.003737E+01 +/-  1.142668E-01
1.553000E+02 -3.956768E+01 +/-  1.125818E-01
1.559000E+02 -3.900112E+01 +/-  1.106680E-01
1.565000E+02 -3.856177E+01 +/-  1.090231E-01
1.571000E+02 -3.796927E+01 +/-  1.071299E-01
1.577000E+02 -3.749330E+01 +/-  1.054426E-01
1.583000E+02 -3.707491E+01 +/-  1.038855E-01
1.589000E+02 -3.657091E+01 +/-  1.022104E-01
1.595000E+02 -3.603789E+01 +/-  1.005021E-01
1.601000E+02 -3.560648E+01 +/-  9.897700E-02
1.607000E+02 -3.519560E+01 +/-  9.747146E-02
1.613000E+02 -3.472490E+01 +/-  9.595065E-02
1.619000E+02 -3.432838E+01 +/-  9.449303E-02
1.625000E+02 -3.380653E+01 +/-  9.292117E-02
1.631000E+02 -3.350421E+01 +/-  9.167317E-02
1.637000E+02 -3.304734E+01 +/-  9.020476E-02
1.643000E+02 -3.253353E+01 +/-  8.869271E-02
1.649000E+02 -3.213118E+01 +/-  8.732005E-02
1.655000E+02 -3.180147E+01 +/-  8.611087E-02
1.661000E+02 -3.138929E+01 +/-  8.478395E-02
1.667000E+02 -3.096179E+01 +/-  8.345293E-02
1.673000E+02 -3.057696E+01 +/-  8.217284E-02
1.679000E+02 -3.028320E+01 +/-  8.107668E-02
1.685000E+02 -2.975987E+01 +/-  7.962835E-02
1.691000E+02 -2.946431E+01 +/-  7.856137E-02
1.697000E+02 -2.906086E+01 +/-  7.730428E-02
1.703000E+02 -2.877720E+01 +/-  7.627033E-02
1.709000E+02 -2.834116E+01 +/-  7.501436E-02
1.715000E+02 -2.799165E+01 +/-  7.388403E-02
1.721000E+02 -2.767133E+01 +/-  7.285480E-02
1.727000E+02 -2.726041E+01 +/-  7.164919E-02
1.733000E+02 -2.701725E+01 +/-  7.074242E-02
1.739000E+02 -2.668941E+01 +/-  6.972303E-02
1.745000E+02 -2.633175E+01 +/-  6.860553E-02
1.751000E+02 -2.599337E+01 +/-  6.760098E-02
1.757000E+02 -2.566352E+01 +/-  6.662272E-02
1.763000E+02 -2.535949E+01 +/-  6.563939E-02
1.769000E+02 -2.506783E+01 +/-  6.470338E-02
1.775000E+02 -2.471764E+01 +/-  6.372209E-02
1.781000E+02 -2.449463E+01 +/-  6.289337E-02
1.787000E+02 -2.411470E+01 +/-  6.187417E-02
1.793000E+02 -2.389024E+01 +/-  6.109841E-02
1.799000E+02 -2.354632E+01 +/-  6.010912E-02
1.805000E+02 -2.332036E+01 +/-  5.936666E-02
1.811000E+02 -2.301208E+01 +/-  5.845645E-02
1.817000E+02 -2.268335E+01 +/-  5.757084E-02
1.823000E+02 -2.247189E+01 +/-  5.680150E-02
1.829000E+02 -2.218065E+01 +/-  5.598955E-02
1.835000E+02 -2.192434E+01 +/-  5.522340E-02
1.841000E+02 -2.169996E+01 +/-  5.446901E-02
1.847000E+02 -2.135034E+01 +/-  5.358776E-02
1.853000E+02 -2.113391E+01 +/-  5.289180E-02
1.859000E+02 -2.091358E+01 +/-  5.219317E-02
1.865000E+02 -2.062987E+01 +/-  5.141002E-02
1.871000E+02 -2.041246E+01 +/-  5.073731E-02
1.877000E+02 -2.015198E+01 +/-  5.000650E-02
1.883000E+02 -1.991054E+01 +/-  4.929968E-02
1.889000E+02 -1.969980E+01 +/-  4.865242E-02
1.895000E+02 -1.947711E+01 +/-  4.799851E-02
1.901000E+02 -1.920933E+01 +/-  4.727688E-02
1.907000E+02 -1.900318E+01 +/-  4.666254E-02
1.913000E+02 -1.879536E+01 +/-  4.604505E-02
1.919000E+02 -1.853135E+01 +/-  4.534550E-02
1.925000E+02 -1.835732E+01 +/-  4.478322E-02
1.931000E+02 -1.813094E+01 +/-  4.416621E-02
1.937000E+02 -1.792655E+01 +/-  4.356638E-02
1.943000E+02 -1.772501E+01 +/-  4.300053E-02
1.949000E+02 -1.751178E+01 +/-  4.240177E-02
1.955000E+02 -1.731455E+01 +/-  4.183302E-02
1.961000E+02 -1.710611E+01 +/-  4.126070E-02
1.967000E+02 -1.691375E+01 +/-  4.072750E-02
1.973000E+02 -1.673236E+01 +/-  4.018497E-02
1.979000E+02 -1.653315E+01 +/-  3.964651E-02
1.985000E+02 -1.633085E+01 +/-  3.910660E-02
1.991000E+02 -1.617667E+01 +/-  3.861690E-02
1.997000E+02 -1.598344E+01 +/-  3.810151E-02
