 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 -1.457088E-01 +/-  3.328818E-04
9.215000E+02 -1.452216E-01 +/-  3.315174E-04
9.225000E+02 -1.438200E-01 +/-  3.284054E-04
9.235000E+02 -1.435106E-01 +/-  3.269763E-04
9.245000E+02 -1.420003E-01 +/-  3.244175E-04
9.255000E+02 -1.413454E-01 +/-  3.227101E-04
9.265000E+02 -1.402858E-01 +/-  3.210946E-04
9.275000E+02 -1.395809E-01 +/-  3.199655E-04
9.285000E+02 -1.385282E-01 +/-  3.180455E-04
9.295000E+02 -1.376873E-01 +/-  3.162518E-04
9.305000E+02 -1.367651E-01 +/-  3.140518E-04
9.315000E+02 -1.360351E-01 +/-  3.127243E-04
9.325000E+02 -1.349338E-01 +/-  3.108682E-04
9.335000E+02 -1.345574E-01 +/-  3.092548E-04
9.345000E+02 -1.331818E-01 +/-  3.074961E-04
9.355000E+02 -1.325041E-01 +/-  3.072939E-04
9.365000E+02 -1.317132E-01 +/-  3.058874E-04
9.375000E+02 -1.310272E-01 +/-  3.038373E-04
9.385000E+02 -1.301085E-01 +/-  3.022766E-04
9.395000E+02 -1.292352E-01 +/-  3.000033E-04
9.405000E+02 -1.280300E-01 +/-  2.973226E-04
9.415000E+02 -1.277692E-01 +/-  2.979538E-04
9.425000E+02 -1.268812E-01 +/-  2.965104E-04
9.435000E+02 -1.257412E-01 +/-  2.939813E-04
9.445000E+02 -1.252868E-01 +/-  2.937772E-04
9.455000E+02 -1.241454E-01 +/-  2.914547E-04
9.465000E+02 -1.238062E-01 +/-  2.906039E-04
9.475000E+02 -1.228102E-01 +/-  2.889637E-04
9.485000E+02 -1.221344E-01 +/-  2.872940E-04
9.495000E+02 -1.212716E-01 +/-  2.861828E-04
9.505000E+02 -1.205423E-01 +/-  2.842971E-04
9.515000E+02 -1.197990E-01 +/-  2.833690E-04
9.525000E+02 -1.190678E-01 +/-  2.819035E-04
9.535000E+02 -1.183606E-01 +/-  2.803371E-04
9.545000E+02 -1.172328E-01 +/-  2.789605E-04
9.555000E+02 -1.168015E-01 +/-  2.780138E-04
9.565000E+02 -1.161500E-01 +/-  2.761528E-04
9.575000E+02 -1.154247E-01 +/-  2.752795E-04
9.585000E+02 -1.145840E-01 +/-  2.736453E-04
9.595000E+02 -1.139112E-01 +/-  2.722332E-04
9.605000E+02 -1.131032E-01 +/-  2.706269E-04
9.615000E+02 -1.127182E-01 +/-  2.700816E-04
9.625000E+02 -1.118016E-01 +/-  2.684146E-04
9.635000E+02 -1.111027E-01 +/-  2.674100E-04
9.645000E+02 -1.103543E-01 +/-  2.657196E-04
9.655000E+02 -1.096011E-01 +/-  2.646513E-04
9.665000E+02 -1.093255E-01 +/-  2.642787E-04
9.675000E+02 -1.083200E-01 +/-  2.618566E-04
9.685000E+02 -1.076788E-01 +/-  2.607528E-04
9.695000E+02 -1.070634E-01 +/-  2.596194E-04
9.705000E+02 -1.063490E-01 +/-  2.580673E-04
9.715000E+02 -1.056436E-01 +/-  2.570212E-04
9.725000E+02 -1.051952E-01 +/-  2.560090E-04
9.735000E+02 -1.043909E-01 +/-  2.545296E-04
9.745000E+02 -1.037600E-01 +/-  2.534779E-04
9.755000E+02 -1.030861E-01 +/-  2.521070E-04
9.765000E+02 -1.022655E-01 +/-  2.507998E-04
9.775000E+02 -1.021996E-01 +/-  2.507185E-04
9.785000E+02 -1.014229E-01 +/-  2.489630E-04
9.795000E+02 -1.005953E-01 +/-  2.480531E-04
9.805000E+02 -1.000115E-01 +/-  2.466618E-04
9.815000E+02 -9.933953E-02 +/-  2.454707E-04
9.825000E+02 -9.881540E-02 +/-  2.443143E-04
9.835000E+02 -9.829559E-02 +/-  2.425266E-04
9.845000E+02 -9.750028E-02 +/-  2.422380E-04
9.855000E+02 -9.707003E-02 +/-  2.412787E-04
9.865000E+02 -9.650516E-02 +/-  2.399367E-04
9.875000E+02 -9.568322E-02 +/-  2.378149E-04
9.885000E+02 -9.537458E-02 +/-  2.377468E-04
9.895000E+02 -9.463176E-02 +/-  2.365614E-04
9.905000E+02 -9.412044E-02 +/-  2.355715E-04
9.915000E+02 -9.341108E-02 +/-  2.336779E-04
9.925000E+02 -9.314184E-02 +/-  2.331378E-04
9.935000E+02 -9.244843E-02 +/-  2.326898E-04
9.945000E+02 -9.173588E-02 +/-  2.313418E-04
9.955000E+02 -9.125358E-02 +/-  2.303040E-04
9.965000E+02 -9.063872E-02 +/-  2.285110E-04
9.975000E+02 -9.012189E-02 +/-  2.278404E-04
9.985000E+02 -8.975635E-02 +/-  2.274538E-04
9.995000E+02 -8.920482E-02 +/-  2.265079E-04
1.000500E+03 -8.861033E-02 +/-  2.249565E-04
1.001500E+03 -8.813061E-02 +/-  2.234658E-04
1.002500E+03 -8.753350E-02 +/-  2.230144E-04
1.003500E+03 -8.667967E-02 +/-  2.218287E-04
1.004500E+03 -8.660076E-02 +/-  2.212485E-04
1.005500E+03 -8.583970E-02 +/-  2.193234E-04
1.006500E+03 -8.549892E-02 +/-  2.186804E-04
1.007500E+03 -8.485626E-02 +/-  2.180384E-04
1.008500E+03 -8.464707E-02 +/-  2.174193E-04
1.009500E+03 -8.382086E-02 +/-  2.160223E-04
1.010500E+03 -8.329628E-02 +/-  2.144711E-04
1.011500E+03 -8.291611E-02 +/-  2.140605E-04
1.012500E+03 -8.252133E-02 +/-  2.131886E-04
1.013500E+03 -8.188250E-02 +/-  2.122213E-04
1.014500E+03 -8.134226E-02 +/-  2.111158E-04
1.015500E+03 -8.099127E-02 +/-  2.101019E-04
1.016500E+03 -8.032354E-02 +/-  2.090629E-04
1.017500E+03 -8.016576E-02 +/-  2.089692E-04
1.018500E+03 -7.943843E-02 +/-  2.072452E-04
1.019500E+03 -7.888690E-02 +/-  2.063476E-04
1.020500E+03 -7.858678E-02 +/-  2.055617E-04
1.021500E+03 -7.801193E-02 +/-  2.044734E-04
1.022500E+03 -7.780525E-02 +/-  2.044650E-04
1.023500E+03 -7.716062E-02 +/-  2.030019E-04
1.024500E+03 -7.666488E-02 +/-  2.021255E-04
1.025500E+03 -7.619455E-02 +/-  2.009914E-04
1.026500E+03 -7.563951E-02 +/-  1.998944E-04
1.027500E+03 -7.537489E-02 +/-  1.997247E-04
1.028500E+03 -7.517748E-02 +/-  1.993866E-04
1.029500E+03 -7.446958E-02 +/-  1.979299E-04
1.030500E+03 -7.398335E-02 +/-  1.966327E-04
1.031500E+03 -7.365809E-02 +/-  1.957952E-04
1.032500E+03 -7.315114E-02 +/-  1.952126E-04
1.033500E+03 -7.267470E-02 +/-  1.946329E-04
1.034500E+03 -7.239366E-02 +/-  1.939265E-04
1.035500E+03 -7.176723E-02 +/-  1.923798E-04
1.036500E+03 -7.170272E-02 +/-  1.919808E-04
1.037500E+03 -7.085316E-02 +/-  1.902503E-04
1.038500E+03 -7.071500E-02 +/-  1.905797E-04
1.039500E+03 -7.022962E-02 +/-  1.897641E-04
