 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.984000E+02 1.086612E-02 +/-  4.381615E-05
2.000000E+02 1.054965E-02 +/-  4.310644E-05
2.016000E+02 1.017028E-02 +/-  4.139997E-05
2.032000E+02 9.878040E-03 +/-  4.020779E-05
2.048000E+02 9.546341E-03 +/-  3.944105E-05
2.064000E+02 9.232428E-03 +/-  3.890456E-05
2.080000E+02 9.017699E-03 +/-  3.864334E-05
2.096000E+02 8.712394E-03 +/-  3.728064E-05
2.112000E+02 8.453469E-03 +/-  3.602747E-05
2.128000E+02 8.209799E-03 +/-  3.547357E-05
2.144000E+02 7.917836E-03 +/-  3.433205E-05
2.160000E+02 7.773480E-03 +/-  3.424984E-05
2.176000E+02 7.493163E-03 +/-  3.309741E-05
2.192000E+02 7.293315E-03 +/-  3.240214E-05
2.208000E+02 7.080880E-03 +/-  3.281587E-05
2.224000E+02 6.835927E-03 +/-  3.170377E-05
2.240000E+02 6.674142E-03 +/-  3.098352E-05
2.256000E+02 6.495414E-03 +/-  3.008531E-05
2.272000E+02 6.315865E-03 +/-  2.950675E-05
2.288000E+02 6.136690E-03 +/-  2.864696E-05
2.304000E+02 5.973535E-03 +/-  2.868841E-05
2.320000E+02 5.755419E-03 +/-  2.755101E-05
2.336000E+02 5.636924E-03 +/-  2.673581E-05
2.352000E+02 5.524695E-03 +/-  2.639036E-05
2.368000E+02 5.373644E-03 +/-  2.629462E-05
2.384000E+02 5.156795E-03 +/-  2.650126E-05
2.400000E+02 5.047616E-03 +/-  2.588317E-05
2.416000E+02 4.899857E-03 +/-  2.517489E-05
2.432000E+02 4.760117E-03 +/-  2.451993E-05
2.448000E+02 4.696257E-03 +/-  2.414490E-05
2.464000E+02 4.547950E-03 +/-  2.367973E-05
2.480000E+02 4.450087E-03 +/-  2.369841E-05
2.496000E+02 4.333284E-03 +/-  2.276145E-05
2.512000E+02 4.187583E-03 +/-  2.198728E-05
2.528000E+02 4.094883E-03 +/-  2.142563E-05
2.544000E+02 4.000481E-03 +/-  2.100384E-05
2.560000E+02 3.853826E-03 +/-  2.021575E-05
2.576000E+02 3.797594E-03 +/-  2.006511E-05
2.592000E+02 3.709218E-03 +/-  2.042609E-05
2.608000E+02 3.657812E-03 +/-  2.010655E-05
2.624000E+02 3.490307E-03 +/-  2.037058E-05
2.640000E+02 3.431652E-03 +/-  1.987096E-05
2.656000E+02 3.336749E-03 +/-  1.944726E-05
2.672000E+02 3.282698E-03 +/-  1.954524E-05
2.688000E+02 3.170661E-03 +/-  1.896774E-05
2.704000E+02 3.096504E-03 +/-  1.846200E-05
2.720000E+02 3.053549E-03 +/-  1.818545E-05
2.736000E+02 2.959752E-03 +/-  1.746211E-05
2.752000E+02 2.919148E-03 +/-  1.738444E-05
2.768000E+02 2.862100E-03 +/-  1.709651E-05
2.784000E+02 2.771306E-03 +/-  1.645911E-05
2.800000E+02 2.703764E-03 +/-  1.598880E-05
2.816000E+02 2.617643E-03 +/-  1.540518E-05
2.832000E+02 2.582165E-03 +/-  1.535806E-05
2.848000E+02 2.524874E-03 +/-  1.481320E-05
2.864000E+02 2.437563E-03 +/-  1.539309E-05
2.880000E+02 2.402071E-03 +/-  1.502339E-05
2.896000E+02 2.350559E-03 +/-  1.498283E-05
2.912000E+02 2.303416E-03 +/-  1.493832E-05
2.928000E+02 2.249124E-03 +/-  1.458860E-05
2.944000E+02 2.204565E-03 +/-  1.427300E-05
2.960000E+02 2.164151E-03 +/-  1.406756E-05
2.976000E+02 2.086520E-03 +/-  1.349072E-05
2.992000E+02 2.071888E-03 +/-  1.449720E-05
3.008000E+02 2.000671E-03 +/-  1.446590E-05
3.024000E+02 1.978403E-03 +/-  1.427180E-05
3.040000E+02 1.953167E-03 +/-  1.406679E-05
3.056000E+02 1.873447E-03 +/-  1.327187E-05
3.072000E+02 1.869859E-03 +/-  1.346157E-05
3.088000E+02 1.793356E-03 +/-  1.284106E-05
3.104000E+02 1.772081E-03 +/-  1.249396E-05
3.120000E+02 1.730928E-03 +/-  1.244607E-05
3.136000E+02 1.692349E-03 +/-  1.218956E-05
3.152000E+02 1.662128E-03 +/-  1.193918E-05
3.168000E+02 1.608721E-03 +/-  1.141337E-05
3.184000E+02 1.578773E-03 +/-  1.121677E-05
3.200000E+02 1.552624E-03 +/-  1.123926E-05
3.216000E+02 1.535119E-03 +/-  1.125659E-05
3.232000E+02 1.535762E-03 +/-  1.118636E-05
3.248000E+02 1.454162E-03 +/-  1.052477E-05
3.264000E+02 1.430675E-03 +/-  1.036154E-05
3.280000E+02 1.405393E-03 +/-  1.106378E-05
3.296000E+02 1.381217E-03 +/-  1.085900E-05
3.312000E+02 1.351555E-03 +/-  1.051359E-05
3.328000E+02 1.344438E-03 +/-  1.059176E-05
3.344000E+02 1.296368E-03 +/-  1.019893E-05
3.360000E+02 1.280589E-03 +/-  1.005476E-05
3.376000E+02 1.244243E-03 +/-  9.815642E-06
3.392000E+02 1.219055E-03 +/-  9.481247E-06
3.408000E+02 1.194444E-03 +/-  9.175906E-06
3.424000E+02 1.190322E-03 +/-  9.235097E-06
3.440000E+02 1.153984E-03 +/-  8.983994E-06
3.456000E+02 1.132214E-03 +/-  8.755785E-06
3.472000E+02 1.116149E-03 +/-  8.730082E-06
3.488000E+02 1.096929E-03 +/-  8.446362E-06
3.504000E+02 1.078863E-03 +/-  8.373303E-06
3.520000E+02 1.052676E-03 +/-  8.077556E-06
3.536000E+02 1.049495E-03 +/-  8.290995E-06
3.552000E+02 1.007403E-03 +/-  7.975579E-06
3.568000E+02 9.785083E-04 +/-  7.750460E-06
3.584000E+02 9.889490E-04 +/-  7.787652E-06
