 d,D -> m,M
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.315000E+02 5.103894E-05 +/-  1.414058E-07
4.325000E+02 5.051711E-05 +/-  1.406568E-07
4.335000E+02 4.992953E-05 +/-  1.391476E-07
4.345000E+02 4.946070E-05 +/-  1.380370E-07
4.355000E+02 4.920673E-05 +/-  1.372658E-07
4.365000E+02 4.840151E-05 +/-  1.353264E-07
4.375000E+02 4.800262E-05 +/-  1.347421E-07
4.385000E+02 4.773582E-05 +/-  1.352531E-07
4.395000E+02 4.733198E-05 +/-  1.338134E-07
4.405000E+02 4.649717E-05 +/-  1.316938E-07
4.415000E+02 4.645022E-05 +/-  1.319316E-07
4.425000E+02 4.575355E-05 +/-  1.301368E-07
4.435000E+02 4.527540E-05 +/-  1.288852E-07
4.445000E+02 4.505275E-05 +/-  1.287109E-07
4.455000E+02 4.460189E-05 +/-  1.285956E-07
4.465000E+02 4.395588E-05 +/-  1.268715E-07
4.475000E+02 4.372331E-05 +/-  1.258875E-07
4.485000E+02 4.316710E-05 +/-  1.251062E-07
4.495000E+02 4.291832E-05 +/-  1.240868E-07
4.505000E+02 4.236361E-05 +/-  1.229268E-07
4.515000E+02 4.226607E-05 +/-  1.224354E-07
4.525000E+02 4.157581E-05 +/-  1.223888E-07
4.535000E+02 4.117050E-05 +/-  1.211572E-07
4.545000E+02 4.086950E-05 +/-  1.198224E-07
4.555000E+02 4.051260E-05 +/-  1.191603E-07
4.565000E+02 4.023570E-05 +/-  1.186342E-07
4.575000E+02 3.954574E-05 +/-  1.172296E-07
4.585000E+02 3.941111E-05 +/-  1.165510E-07
4.595000E+02 3.918729E-05 +/-  1.164010E-07
4.605000E+02 3.858641E-05 +/-  1.158521E-07
4.615000E+02 3.834792E-05 +/-  1.148935E-07
4.625000E+02 3.793610E-05 +/-  1.135643E-07
4.635000E+02 3.753175E-05 +/-  1.128672E-07
4.645000E+02 3.710063E-05 +/-  1.122670E-07
4.655000E+02 3.698311E-05 +/-  1.116920E-07
4.665000E+02 3.655442E-05 +/-  1.103446E-07
4.675000E+02 3.629298E-05 +/-  1.099986E-07
4.685000E+02 3.591815E-05 +/-  1.100034E-07
4.695000E+02 3.547005E-05 +/-  1.088041E-07
4.705000E+02 3.517987E-05 +/-  1.077896E-07
4.715000E+02 3.491107E-05 +/-  1.066975E-07
4.725000E+02 3.485826E-05 +/-  1.074288E-07
4.735000E+02 3.424194E-05 +/-  1.059466E-07
4.745000E+02 3.394278E-05 +/-  1.049156E-07
4.755000E+02 3.358785E-05 +/-  1.038240E-07
4.765000E+02 3.350116E-05 +/-  1.038578E-07
4.775000E+02 3.296604E-05 +/-  1.033245E-07
4.785000E+02 3.290347E-05 +/-  1.028953E-07
4.795000E+02 3.255923E-05 +/-  1.018691E-07
4.805000E+02 3.210303E-05 +/-  1.008822E-07
4.815000E+02 3.195503E-05 +/-  1.008044E-07
4.825000E+02 3.156740E-05 +/-  9.998076E-08
4.835000E+02 3.154008E-05 +/-  9.936325E-08
4.845000E+02 3.097007E-05 +/-  9.804833E-08
4.855000E+02 3.083581E-05 +/-  9.800101E-08
4.865000E+02 3.055738E-05 +/-  9.703192E-08
4.875000E+02 3.013674E-05 +/-  9.714805E-08
4.885000E+02 3.010048E-05 +/-  9.681903E-08
4.895000E+02 2.969247E-05 +/-  9.562747E-08
4.905000E+02 2.957004E-05 +/-  9.494934E-08
4.915000E+02 2.917839E-05 +/-  9.449935E-08
4.925000E+02 2.892234E-05 +/-  9.387824E-08
4.935000E+02 2.869168E-05 +/-  9.301612E-08
4.945000E+02 2.857831E-05 +/-  9.276335E-08
4.955000E+02 2.821963E-05 +/-  9.212443E-08
4.965000E+02 2.800400E-05 +/-  9.155496E-08
4.975000E+02 2.770406E-05 +/-  9.089678E-08
4.985000E+02 2.739954E-05 +/-  9.077596E-08
4.995000E+02 2.734692E-05 +/-  9.026313E-08
5.005000E+02 2.697036E-05 +/-  8.914207E-08
5.015000E+02 2.681844E-05 +/-  8.844626E-08
5.025000E+02 2.663805E-05 +/-  8.856081E-08
5.035000E+02 2.626802E-05 +/-  8.766129E-08
5.045000E+02 2.611078E-05 +/-  8.753606E-08
5.055000E+02 2.594561E-05 +/-  8.744308E-08
5.065000E+02 2.568685E-05 +/-  8.649582E-08
