 s,S -> m,M
x-axis: "Mass{p3+p4}&"  from 620.000000 to 920.000000 N_bins= 300
Diff. cross section [pb/GeV]
6.205000E+02 1.522835E-06 +/-  3.462197E-09
6.215000E+02 1.507252E-06 +/-  3.426594E-09
6.225000E+02 1.497878E-06 +/-  3.407160E-09
6.235000E+02 1.485046E-06 +/-  3.369380E-09
6.245000E+02 1.473369E-06 +/-  3.348433E-09
6.255000E+02 1.454727E-06 +/-  3.304932E-09
6.265000E+02 1.450221E-06 +/-  3.309900E-09
6.275000E+02 1.438224E-06 +/-  3.284514E-09
6.285000E+02 1.420092E-06 +/-  3.236736E-09
6.295000E+02 1.411946E-06 +/-  3.225470E-09
6.305000E+02 1.399716E-06 +/-  3.203389E-09
6.315000E+02 1.391180E-06 +/-  3.182078E-09
6.325000E+02 1.377898E-06 +/-  3.159502E-09
6.335000E+02 1.368175E-06 +/-  3.143586E-09
6.345000E+02 1.355463E-06 +/-  3.113422E-09
6.355000E+02 1.345743E-06 +/-  3.094115E-09
6.365000E+02 1.334504E-06 +/-  3.091175E-09
6.375000E+02 1.323239E-06 +/-  3.059259E-09
6.385000E+02 1.310977E-06 +/-  3.033975E-09
6.395000E+02 1.302833E-06 +/-  3.016907E-09
6.405000E+02 1.289662E-06 +/-  2.990309E-09
6.415000E+02 1.284128E-06 +/-  2.985863E-09
6.425000E+02 1.268880E-06 +/-  2.946083E-09
6.435000E+02 1.262897E-06 +/-  2.950053E-09
6.445000E+02 1.248483E-06 +/-  2.922187E-09
6.455000E+02 1.242387E-06 +/-  2.903748E-09
6.465000E+02 1.231884E-06 +/-  2.886916E-09
6.475000E+02 1.220100E-06 +/-  2.863760E-09
6.485000E+02 1.213310E-06 +/-  2.848176E-09
6.495000E+02 1.201760E-06 +/-  2.822932E-09
6.505000E+02 1.189837E-06 +/-  2.805053E-09
6.515000E+02 1.182903E-06 +/-  2.799787E-09
6.525000E+02 1.172717E-06 +/-  2.767510E-09
6.535000E+02 1.165872E-06 +/-  2.767525E-09
6.545000E+02 1.154334E-06 +/-  2.741256E-09
6.555000E+02 1.145487E-06 +/-  2.716797E-09
6.565000E+02 1.138004E-06 +/-  2.709441E-09
6.575000E+02 1.125087E-06 +/-  2.680165E-09
6.585000E+02 1.119371E-06 +/-  2.671039E-09
6.595000E+02 1.111595E-06 +/-  2.659591E-09
6.605000E+02 1.100850E-06 +/-  2.635102E-09
6.615000E+02 1.093170E-06 +/-  2.619635E-09
6.625000E+02 1.084896E-06 +/-  2.611031E-09
6.635000E+02 1.073367E-06 +/-  2.592175E-09
6.645000E+02 1.067758E-06 +/-  2.569565E-09
6.655000E+02 1.062273E-06 +/-  2.560915E-09
6.665000E+02 1.052546E-06 +/-  2.550563E-09
6.675000E+02 1.038516E-06 +/-  2.514726E-09
6.685000E+02 1.036440E-06 +/-  2.503588E-09
6.695000E+02 1.027447E-06 +/-  2.497107E-09
6.705000E+02 1.017443E-06 +/-  2.486447E-09
6.715000E+02 1.010136E-06 +/-  2.463051E-09
6.725000E+02 1.005001E-06 +/-  2.456123E-09
6.735000E+02 9.942794E-07 +/-  2.437264E-09
6.745000E+02 9.855245E-07 +/-  2.421301E-09
6.755000E+02 9.833779E-07 +/-  2.414454E-09
6.765000E+02 9.691566E-07 +/-  2.381667E-09
6.775000E+02 9.649663E-07 +/-  2.377052E-09
6.785000E+02 9.587737E-07 +/-  2.359907E-09
6.795000E+02 9.488358E-07 +/-  2.344850E-09
6.805000E+02 9.451564E-07 +/-  2.341950E-09
6.815000E+02 9.334593E-07 +/-  2.318704E-09
6.825000E+02 9.291978E-07 +/-  2.304179E-09
6.835000E+02 9.215204E-07 +/-  2.287201E-09
6.845000E+02 9.143543E-07 +/-  2.283269E-09
6.855000E+02 9.071447E-07 +/-  2.273058E-09
6.865000E+02 8.997397E-07 +/-  2.254104E-09
6.875000E+02 8.942571E-07 +/-  2.239705E-09
6.885000E+02 8.869287E-07 +/-  2.229393E-09
6.895000E+02 8.798219E-07 +/-  2.213108E-09
6.905000E+02 8.727946E-07 +/-  2.201942E-09
6.915000E+02 8.689700E-07 +/-  2.186183E-09
6.925000E+02 8.622634E-07 +/-  2.174388E-09
6.935000E+02 8.500342E-07 +/-  2.157151E-09
6.945000E+02 8.500679E-07 +/-  2.156190E-09
6.955000E+02 8.401239E-07 +/-  2.128538E-09
6.965000E+02 8.352042E-07 +/-  2.119682E-09
