 G,G -> u,U
x-axis: "Mass{p3+p4}]"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.005000E+02 -8.188619E+02 +/-  1.384273E+00
2.015000E+02 -7.265543E+02 +/-  1.339895E+00
2.025000E+02 -3.911017E+02 +/-  1.252585E+00
2.035000E+02 -3.828534E+02 +/-  1.221859E+00
2.045000E+02 -3.749085E+02 +/-  1.191814E+00
2.055000E+02 -3.658388E+02 +/-  1.161372E+00
2.065000E+02 -3.584703E+02 +/-  1.133067E+00
2.075000E+02 -3.506064E+02 +/-  1.104703E+00
2.085000E+02 -3.426989E+02 +/-  1.077868E+00
2.095000E+02 -3.355924E+02 +/-  1.051036E+00
2.105000E+02 -3.285246E+02 +/-  1.026122E+00
2.115000E+02 -3.208021E+02 +/-  9.997052E-01
2.125000E+02 -3.151233E+02 +/-  9.774806E-01
2.135000E+02 -3.069350E+02 +/-  9.515552E-01
2.145000E+02 -3.017649E+02 +/-  9.311417E-01
2.155000E+02 -2.947104E+02 +/-  9.074129E-01
2.165000E+02 -2.886666E+02 +/-  8.858524E-01
2.175000E+02 -2.835335E+02 +/-  8.668405E-01
2.185000E+02 -2.756316E+02 +/-  8.425801E-01
2.195000E+02 -2.711012E+02 +/-  8.248217E-01
2.205000E+02 -2.655139E+02 +/-  8.053362E-01
2.215000E+02 -2.584181E+02 +/-  7.844974E-01
2.225000E+02 -2.552627E+02 +/-  7.692551E-01
2.235000E+02 -2.488596E+02 +/-  7.495976E-01
2.245000E+02 -2.432963E+02 +/-  7.317901E-01
2.255000E+02 -2.387687E+02 +/-  7.150260E-01
2.265000E+02 -2.340350E+02 +/-  6.990978E-01
2.275000E+02 -2.297322E+02 +/-  6.839509E-01
2.285000E+02 -2.247682E+02 +/-  6.677907E-01
2.295000E+02 -2.198496E+02 +/-  6.519499E-01
2.305000E+02 -2.153697E+02 +/-  6.369272E-01
2.315000E+02 -2.118040E+02 +/-  6.240527E-01
2.325000E+02 -2.068588E+02 +/-  6.088226E-01
2.335000E+02 -2.027502E+02 +/-  5.950163E-01
2.345000E+02 -1.993802E+02 +/-  5.827551E-01
2.355000E+02 -1.941653E+02 +/-  5.681742E-01
2.365000E+02 -1.916650E+02 +/-  5.574035E-01
2.375000E+02 -1.879108E+02 +/-  5.451129E-01
2.385000E+02 -1.832284E+02 +/-  5.315726E-01
2.395000E+02 -1.801582E+02 +/-  5.207719E-01
2.405000E+02 -1.763614E+02 +/-  5.088456E-01
2.415000E+02 -1.733468E+02 +/-  4.982806E-01
2.425000E+02 -1.695632E+02 +/-  4.869060E-01
2.435000E+02 -1.663766E+02 +/-  4.766848E-01
2.445000E+02 -1.637826E+02 +/-  4.673365E-01
2.455000E+02 -1.599775E+02 +/-  4.561439E-01
2.465000E+02 -1.574469E+02 +/-  4.471328E-01
2.475000E+02 -1.539608E+02 +/-  4.368538E-01
2.485000E+02 -1.505259E+02 +/-  4.269691E-01
2.495000E+02 -1.490429E+02 +/-  4.199340E-01
2.505000E+02 -1.454149E+02 +/-  4.095548E-01
2.515000E+02 -1.426252E+02 +/-  4.010844E-01
2.525000E+02 -1.400450E+02 +/-  3.928415E-01
2.535000E+02 -1.375019E+02 +/-  3.846597E-01
2.545000E+02 -1.349239E+02 +/-  3.766612E-01
2.555000E+02 -1.324123E+02 +/-  3.688336E-01
2.565000E+02 -1.299860E+02 +/-  3.611760E-01
2.575000E+02 -1.277355E+02 +/-  3.541662E-01
2.585000E+02 -1.250783E+02 +/-  3.462655E-01
2.595000E+02 -1.231758E+02 +/-  3.397234E-01
2.605000E+02 -1.202658E+02 +/-  3.319186E-01
2.615000E+02 -1.185740E+02 +/-  3.257336E-01
2.625000E+02 -1.165974E+02 +/-  3.195283E-01
2.635000E+02 -1.139949E+02 +/-  3.123637E-01
2.645000E+02 -1.121635E+02 +/-  3.063634E-01
2.655000E+02 -1.100061E+02 +/-  2.999789E-01
2.665000E+02 -1.081989E+02 +/-  2.943350E-01
2.675000E+02 -1.059477E+02 +/-  2.878581E-01
2.685000E+02 -1.045723E+02 +/-  2.829537E-01
2.695000E+02 -1.024978E+02 +/-  2.770309E-01
2.705000E+02 -1.004037E+02 +/-  2.711026E-01
2.715000E+02 -9.889819E+01 +/-  2.661350E-01
2.725000E+02 -9.718258E+01 +/-  2.610589E-01
2.735000E+02 -9.527507E+01 +/-  2.556220E-01
2.745000E+02 -9.379334E+01 +/-  2.509512E-01
2.755000E+02 -9.187541E+01 +/-  2.454577E-01
2.765000E+02 -9.068993E+01 +/-  2.415266E-01
2.775000E+02 -8.880444E+01 +/-  2.363698E-01
2.785000E+02 -8.743832E+01 +/-  2.319368E-01
2.795000E+02 -8.564324E+01 +/-  2.272239E-01
2.805000E+02 -8.455546E+01 +/-  2.233074E-01
2.815000E+02 -8.277315E+01 +/-  2.186328E-01
2.825000E+02 -8.164232E+01 +/-  2.149089E-01
2.835000E+02 -8.013071E+01 +/-  2.106094E-01
2.845000E+02 -7.871402E+01 +/-  2.065527E-01
2.855000E+02 -7.742721E+01 +/-  2.026671E-01
2.865000E+02 -7.593329E+01 +/-  1.987528E-01
2.875000E+02 -7.466392E+01 +/-  1.949265E-01
2.885000E+02 -7.366675E+01 +/-  1.916894E-01
2.895000E+02 -7.216024E+01 +/-  1.877067E-01
2.905000E+02 -7.119618E+01 +/-  1.845013E-01
2.915000E+02 -6.984392E+01 +/-  1.809959E-01
2.925000E+02 -6.872558E+01 +/-  1.776281E-01
2.935000E+02 -6.751463E+01 +/-  1.742850E-01
2.945000E+02 -6.649705E+01 +/-  1.712248E-01
2.955000E+02 -6.528816E+01 +/-  1.679457E-01
2.965000E+02 -6.434013E+01 +/-  1.649852E-01
2.975000E+02 -6.334041E+01 +/-  1.620930E-01
2.985000E+02 -6.223994E+01 +/-  1.590821E-01
2.995000E+02 -6.109595E+01 +/-  1.560432E-01
3.005000E+02 -6.031663E+01 +/-  1.534778E-01
3.015000E+02 -5.897513E+01 +/-  1.502215E-01
3.025000E+02 -5.833916E+01 +/-  1.480173E-01
3.035000E+02 -5.743069E+01 +/-  1.453811E-01
3.045000E+02 -5.630134E+01 +/-  1.424791E-01
3.055000E+02 -5.548120E+01 +/-  1.400835E-01
3.065000E+02 -5.449869E+01 +/-  1.374678E-01
3.075000E+02 -5.383704E+01 +/-  1.353218E-01
3.085000E+02 -5.274193E+01 +/-  1.326132E-01
3.095000E+02 -5.216708E+01 +/-  1.306635E-01
3.105000E+02 -5.113483E+01 +/-  1.280379E-01
3.115000E+02 -5.030729E+01 +/-  1.257914E-01
3.125000E+02 -4.963507E+01 +/-  1.237710E-01
3.135000E+02 -4.879631E+01 +/-  1.215647E-01
3.145000E+02 -4.804482E+01 +/-  1.194289E-01
3.155000E+02 -4.730187E+01 +/-  1.173925E-01
3.165000E+02 -4.656257E+01 +/-  1.153542E-01
3.175000E+02 -4.583310E+01 +/-  1.133500E-01
3.185000E+02 -4.512516E+01 +/-  1.114413E-01
3.195000E+02 -4.446714E+01 +/-  1.095713E-01
3.205000E+02 -4.358754E+01 +/-  1.074431E-01
3.215000E+02 -4.314028E+01 +/-  1.059068E-01
3.225000E+02 -4.243148E+01 +/-  1.040938E-01
3.235000E+02 -4.167513E+01 +/-  1.021388E-01
3.245000E+02 -4.113227E+01 +/-  1.005514E-01
3.255000E+02 -4.046844E+01 +/-  9.882330E-02
3.265000E+02 -3.984166E+01 +/-  9.710861E-02
3.275000E+02 -3.924396E+01 +/-  9.552741E-02
3.285000E+02 -3.877117E+01 +/-  9.410334E-02
3.295000E+02 -3.794208E+01 +/-  9.217551E-02
3.305000E+02 -3.759807E+01 +/-  9.096284E-02
3.315000E+02 -3.692788E+01 +/-  8.930094E-02
3.325000E+02 -3.644842E+01 +/-  8.792251E-02
3.335000E+02 -3.579910E+01 +/-  8.635880E-02
3.345000E+02 -3.530476E+01 +/-  8.498089E-02
3.355000E+02 -3.479429E+01 +/-  8.357823E-02
3.365000E+02 -3.421757E+01 +/-  8.215613E-02
3.375000E+02 -3.374831E+01 +/-  8.085342E-02
3.385000E+02 -3.330246E+01 +/-  7.960759E-02
3.395000E+02 -3.279184E+01 +/-  7.828400E-02
3.405000E+02 -3.230812E+01 +/-  7.703712E-02
3.415000E+02 -3.185983E+01 +/-  7.582780E-02
3.425000E+02 -3.127671E+01 +/-  7.442075E-02
3.435000E+02 -3.098070E+01 +/-  7.344463E-02
3.445000E+02 -3.041038E+01 +/-  7.211073E-02
3.455000E+02 -2.998863E+01 +/-  7.097951E-02
3.465000E+02 -2.956784E+01 +/-  6.986867E-02
3.475000E+02 -2.914033E+01 +/-  6.875252E-02
3.485000E+02 -2.872770E+01 +/-  6.766494E-02
3.495000E+02 -2.832647E+01 +/-  6.661706E-02
3.505000E+02 -2.794812E+01 +/-  6.560551E-02
3.515000E+02 -2.748792E+01 +/-  6.449404E-02
3.525000E+02 -2.710099E+01 +/-  6.347690E-02
3.535000E+02 -2.677212E+01 +/-  6.254275E-02
3.545000E+02 -2.633952E+01 +/-  6.153197E-02
3.555000E+02 -2.595762E+01 +/-  6.054117E-02
3.565000E+02 -2.560255E+01 +/-  5.961511E-02
3.575000E+02 -2.526704E+01 +/-  5.873405E-02
3.585000E+02 -2.492262E+01 +/-  5.783130E-02
3.595000E+02 -2.450827E+01 +/-  5.683402E-02
3.605000E+02 -2.418886E+01 +/-  5.600835E-02
3.615000E+02 -2.388435E+01 +/-  5.517585E-02
3.625000E+02 -2.348650E+01 +/-  5.426620E-02
3.635000E+02 -2.322997E+01 +/-  5.351337E-02
3.645000E+02 -2.288782E+01 +/-  5.267795E-02
3.655000E+02 -2.257483E+01 +/-  5.186519E-02
3.665000E+02 -2.225007E+01 +/-  5.107915E-02
3.675000E+02 -2.196529E+01 +/-  5.033226E-02
3.685000E+02 -2.161788E+01 +/-  4.949285E-02
3.695000E+02 -2.135630E+01 +/-  4.880713E-02
3.705000E+02 -2.107148E+01 +/-  4.807911E-02
3.715000E+02 -2.076701E+01 +/-  4.732150E-02
3.725000E+02 -2.046019E+01 +/-  4.661005E-02
3.735000E+02 -2.022432E+01 +/-  4.595497E-02
3.745000E+02 -1.995913E+01 +/-  4.527874E-02
3.755000E+02 -1.962355E+01 +/-  4.452547E-02
3.765000E+02 -1.941909E+01 +/-  4.393924E-02
3.775000E+02 -1.914580E+01 +/-  4.326186E-02
3.785000E+02 -1.887625E+01 +/-  4.262833E-02
3.795000E+02 -1.862736E+01 +/-  4.199341E-02
3.805000E+02 -1.836115E+01 +/-  4.135497E-02
3.815000E+02 -1.815682E+01 +/-  4.080657E-02
3.825000E+02 -1.788315E+01 +/-  4.015716E-02
3.835000E+02 -1.765392E+01 +/-  3.958289E-02
3.845000E+02 -1.742475E+01 +/-  3.901820E-02
3.855000E+02 -1.717936E+01 +/-  3.843076E-02
3.865000E+02 -1.696309E+01 +/-  3.788683E-02
3.875000E+02 -1.673259E+01 +/-  3.732847E-02
3.885000E+02 -1.653123E+01 +/-  3.681521E-02
3.895000E+02 -1.627655E+01 +/-  3.623106E-02
3.905000E+02 -1.611932E+01 +/-  3.578392E-02
3.915000E+02 -1.585708E+01 +/-  3.521535E-02
3.925000E+02 -1.568715E+01 +/-  3.474526E-02
3.935000E+02 -1.545164E+01 +/-  3.421086E-02
3.945000E+02 -1.526298E+01 +/-  3.374228E-02
3.955000E+02 -1.509800E+01 +/-  3.330367E-02
3.965000E+02 -1.486659E+01 +/-  3.277939E-02
3.975000E+02 -1.466414E+01 +/-  3.229682E-02
3.985000E+02 -1.451449E+01 +/-  3.190855E-02
3.995000E+02 -1.429229E+01 +/-  3.140626E-02
4.005000E+02 -1.413829E+01 +/-  3.099453E-02
4.015000E+02 -1.395272E+01 +/-  3.055848E-02
4.025000E+02 -1.375090E+01 +/-  3.009631E-02
4.035000E+02 -1.359924E+01 +/-  2.971284E-02
4.045000E+02 -1.341983E+01 +/-  2.927959E-02
4.055000E+02 -1.326550E+01 +/-  2.890117E-02
4.065000E+02 -1.305972E+01 +/-  2.845322E-02
4.075000E+02 -1.290669E+01 +/-  2.807334E-02
4.085000E+02 -1.276231E+01 +/-  2.770339E-02
4.095000E+02 -1.260428E+01 +/-  2.732588E-02
4.105000E+02 -1.242388E+01 +/-  2.692633E-02
4.115000E+02 -1.228790E+01 +/-  2.656987E-02
4.125000E+02 -1.212476E+01 +/-  2.620122E-02
4.135000E+02 -1.197782E+01 +/-  2.584586E-02
4.145000E+02 -1.181385E+01 +/-  2.548313E-02
4.155000E+02 -1.167868E+01 +/-  2.513998E-02
4.165000E+02 -1.154780E+01 +/-  2.481094E-02
4.175000E+02 -1.137357E+01 +/-  2.445107E-02
4.185000E+02 -1.123472E+01 +/-  2.411779E-02
4.195000E+02 -1.113490E+01 +/-  2.383493E-02
4.205000E+02 -1.096457E+01 +/-  2.347894E-02
4.215000E+02 -1.084360E+01 +/-  2.316814E-02
4.225000E+02 -1.072980E+01 +/-  2.288867E-02
4.235000E+02 -1.055134E+01 +/-  2.252098E-02
4.245000E+02 -1.044675E+01 +/-  2.224951E-02
4.255000E+02 -1.031974E+01 +/-  2.195380E-02
4.265000E+02 -1.020853E+01 +/-  2.167778E-02
4.275000E+02 -1.006135E+01 +/-  2.136508E-02
4.285000E+02 -9.951680E+00 +/-  2.109446E-02
4.295000E+02 -9.828342E+00 +/-  2.081012E-02
4.305000E+02 -9.721563E+00 +/-  2.055202E-02
4.315000E+02 -9.583729E+00 +/-  2.025288E-02
4.325000E+02 -9.490805E+00 +/-  2.001911E-02
4.335000E+02 -9.355091E+00 +/-  1.972109E-02
4.345000E+02 -9.266310E+00 +/-  1.949392E-02
4.355000E+02 -9.125456E+00 +/-  1.920433E-02
4.365000E+02 -9.020125E+00 +/-  1.895727E-02
4.375000E+02 -8.943438E+00 +/-  1.874484E-02
4.385000E+02 -8.813826E+00 +/-  1.847565E-02
4.395000E+02 -8.724528E+00 +/-  1.825483E-02
4.405000E+02 -8.614508E+00 +/-  1.800630E-02
4.415000E+02 -8.509179E+00 +/-  1.777320E-02
4.425000E+02 -8.415737E+00 +/-  1.754979E-02
4.435000E+02 -8.304990E+00 +/-  1.730607E-02
4.445000E+02 -8.215731E+00 +/-  1.710075E-02
4.455000E+02 -8.129960E+00 +/-  1.688871E-02
4.465000E+02 -8.012085E+00 +/-  1.665062E-02
4.475000E+02 -7.929355E+00 +/-  1.644847E-02
4.485000E+02 -7.842361E+00 +/-  1.624319E-02
4.495000E+02 -7.738695E+00 +/-  1.602544E-02
4.505000E+02 -7.672316E+00 +/-  1.584609E-02
4.515000E+02 -7.556064E+00 +/-  1.561402E-02
4.525000E+02 -7.480495E+00 +/-  1.542710E-02
4.535000E+02 -7.393917E+00 +/-  1.523893E-02
4.545000E+02 -7.314774E+00 +/-  1.505162E-02
4.555000E+02 -7.223950E+00 +/-  1.485117E-02
4.565000E+02 -7.147518E+00 +/-  1.467356E-02
4.575000E+02 -7.060697E+00 +/-  1.448448E-02
4.585000E+02 -6.973245E+00 +/-  1.429532E-02
4.595000E+02 -6.898452E+00 +/-  1.412303E-02
4.605000E+02 -6.819364E+00 +/-  1.394689E-02
4.615000E+02 -6.749732E+00 +/-  1.378032E-02
4.625000E+02 -6.669868E+00 +/-  1.360850E-02
4.635000E+02 -6.587888E+00 +/-  1.343038E-02
4.645000E+02 -6.516413E+00 +/-  1.326767E-02
4.655000E+02 -6.444567E+00 +/-  1.310791E-02
4.665000E+02 -6.376021E+00 +/-  1.294808E-02
4.675000E+02 -6.303640E+00 +/-  1.279003E-02
4.685000E+02 -6.222604E+00 +/-  1.261835E-02
4.695000E+02 -6.160906E+00 +/-  1.247703E-02
4.705000E+02 -6.102450E+00 +/-  1.233473E-02
4.715000E+02 -6.013539E+00 +/-  1.215903E-02
4.725000E+02 -5.952350E+00 +/-  1.202097E-02
4.735000E+02 -5.888990E+00 +/-  1.187795E-02
4.745000E+02 -5.824990E+00 +/-  1.173176E-02
4.755000E+02 -5.758035E+00 +/-  1.158841E-02
4.765000E+02 -5.696044E+00 +/-  1.145051E-02
4.775000E+02 -5.628945E+00 +/-  1.130850E-02
4.785000E+02 -5.575901E+00 +/-  1.117949E-02
4.795000E+02 -5.510308E+00 +/-  1.104196E-02
4.805000E+02 -5.445308E+00 +/-  1.090220E-02
4.815000E+02 -5.388543E+00 +/-  1.077914E-02
4.825000E+02 -5.330124E+00 +/-  1.064779E-02
4.835000E+02 -5.271481E+00 +/-  1.052317E-02
4.845000E+02 -5.216744E+00 +/-  1.039683E-02
4.855000E+02 -5.157179E+00 +/-  1.027236E-02
4.865000E+02 -5.103645E+00 +/-  1.015152E-02
4.875000E+02 -5.039169E+00 +/-  1.002315E-02
4.885000E+02 -4.992240E+00 +/-  9.910827E-03
4.895000E+02 -4.938214E+00 +/-  9.792686E-03
4.905000E+02 -4.886427E+00 +/-  9.683613E-03
4.915000E+02 -4.827234E+00 +/-  9.559465E-03
4.925000E+02 -4.779752E+00 +/-  9.451520E-03
4.935000E+02 -4.728528E+00 +/-  9.342557E-03
4.945000E+02 -4.672441E+00 +/-  9.223618E-03
4.955000E+02 -4.629005E+00 +/-  9.126843E-03
4.965000E+02 -4.583847E+00 +/-  9.023574E-03
4.975000E+02 -4.528412E+00 +/-  8.911361E-03
4.985000E+02 -4.477874E+00 +/-  8.806260E-03
4.995000E+02 -4.431842E+00 +/-  8.703192E-03
