 d,D -> G,G
x-axis: "Mass{p3+p4}]"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.005000E+02 -1.579265E+01 +/-  6.699407E-02
2.015000E+02 -1.535203E+01 +/-  6.514618E-02
2.025000E+02 -1.509881E+01 +/-  6.385396E-02
2.035000E+02 -1.497973E+01 +/-  6.280717E-02
2.045000E+02 -1.456881E+01 +/-  6.117594E-02
2.055000E+02 -1.432832E+01 +/-  5.998021E-02
2.065000E+02 -1.403501E+01 +/-  5.860138E-02
2.075000E+02 -1.385636E+01 +/-  5.752592E-02
2.085000E+02 -1.356379E+01 +/-  5.621049E-02
2.095000E+02 -1.328731E+01 +/-  5.502327E-02
2.105000E+02 -1.306379E+01 +/-  5.380150E-02
2.115000E+02 -1.288185E+01 +/-  5.289367E-02
2.125000E+02 -1.256361E+01 +/-  5.156231E-02
2.135000E+02 -1.235435E+01 +/-  5.053477E-02
2.145000E+02 -1.215213E+01 +/-  4.953713E-02
2.155000E+02 -1.198090E+01 +/-  4.863634E-02
2.165000E+02 -1.167378E+01 +/-  4.741046E-02
2.175000E+02 -1.152684E+01 +/-  4.657802E-02
2.185000E+02 -1.133407E+01 +/-  4.566143E-02
2.195000E+02 -1.109110E+01 +/-  4.466731E-02
2.205000E+02 -1.089318E+01 +/-  4.370685E-02
2.215000E+02 -1.077995E+01 +/-  4.304173E-02
2.225000E+02 -1.051029E+01 +/-  4.199316E-02
2.235000E+02 -1.039964E+01 +/-  4.132007E-02
2.245000E+02 -1.017763E+01 +/-  4.038910E-02
2.255000E+02 -9.965228E+00 +/-  3.951174E-02
2.265000E+02 -9.853488E+00 +/-  3.887483E-02
2.275000E+02 -9.700904E+00 +/-  3.812975E-02
2.285000E+02 -9.496946E+00 +/-  3.733315E-02
2.295000E+02 -9.326356E+00 +/-  3.655841E-02
2.305000E+02 -9.180459E+00 +/-  3.589279E-02
2.315000E+02 -9.046089E+00 +/-  3.521448E-02
2.325000E+02 -8.843196E+00 +/-  3.447602E-02
2.335000E+02 -8.735965E+00 +/-  3.387539E-02
2.345000E+02 -8.556797E+00 +/-  3.315130E-02
2.355000E+02 -8.453309E+00 +/-  3.261837E-02
2.365000E+02 -8.291538E+00 +/-  3.194525E-02
2.375000E+02 -8.172083E+00 +/-  3.140754E-02
2.385000E+02 -8.028034E+00 +/-  3.076352E-02
