 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.315000E+02 1.341809E-01 +/-  3.781975E-04
4.325000E+02 1.319000E-01 +/-  3.724911E-04
4.335000E+02 1.320268E-01 +/-  3.751692E-04
4.345000E+02 1.303168E-01 +/-  3.701661E-04
4.355000E+02 1.282632E-01 +/-  3.652247E-04
4.365000E+02 1.284757E-01 +/-  3.659625E-04
4.375000E+02 1.262587E-01 +/-  3.607923E-04
4.385000E+02 1.248307E-01 +/-  3.574821E-04
4.395000E+02 1.245057E-01 +/-  3.583549E-04
4.405000E+02 1.226590E-01 +/-  3.547715E-04
4.415000E+02 1.217893E-01 +/-  3.513629E-04
4.425000E+02 1.202748E-01 +/-  3.481165E-04
4.435000E+02 1.198250E-01 +/-  3.468528E-04
4.445000E+02 1.185078E-01 +/-  3.438106E-04
4.455000E+02 1.170998E-01 +/-  3.403416E-04
4.465000E+02 1.162600E-01 +/-  3.411776E-04
4.475000E+02 1.148958E-01 +/-  3.375888E-04
4.485000E+02 1.139400E-01 +/-  3.341520E-04
4.495000E+02 1.128360E-01 +/-  3.317410E-04
4.505000E+02 1.118879E-01 +/-  3.298856E-04
4.515000E+02 1.112041E-01 +/-  3.286166E-04
4.525000E+02 1.093677E-01 +/-  3.234561E-04
4.535000E+02 1.087820E-01 +/-  3.238558E-04
4.545000E+02 1.077445E-01 +/-  3.223217E-04
4.555000E+02 1.068582E-01 +/-  3.192797E-04
4.565000E+02 1.060781E-01 +/-  3.159778E-04
4.575000E+02 1.048356E-01 +/-  3.146739E-04
4.585000E+02 1.039307E-01 +/-  3.130335E-04
4.595000E+02 1.029178E-01 +/-  3.099069E-04
4.605000E+02 1.022347E-01 +/-  3.077775E-04
4.615000E+02 1.009948E-01 +/-  3.073882E-04
4.625000E+02 1.002370E-01 +/-  3.052543E-04
4.635000E+02 9.904774E-02 +/-  3.020056E-04
4.645000E+02 9.834868E-02 +/-  2.990576E-04
4.655000E+02 9.743006E-02 +/-  2.989804E-04
4.665000E+02 9.700287E-02 +/-  2.975662E-04
4.675000E+02 9.568678E-02 +/-  2.937190E-04
4.685000E+02 9.496722E-02 +/-  2.916540E-04
4.695000E+02 9.383884E-02 +/-  2.903177E-04
4.705000E+02 9.332925E-02 +/-  2.898178E-04
4.715000E+02 9.284603E-02 +/-  2.878909E-04
4.725000E+02 9.113038E-02 +/-  2.834027E-04
4.735000E+02 9.064729E-02 +/-  2.829125E-04
4.745000E+02 8.986091E-02 +/-  2.817541E-04
4.755000E+02 8.919496E-02 +/-  2.792265E-04
