 u,U -> m,M
x-axis: "Mass{p3+p4}&"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 1.047371E-06 +/-  2.597978E-09
1.521500E+03 1.044576E-06 +/-  2.588886E-09
1.522500E+03 1.040285E-06 +/-  2.577322E-09
1.523500E+03 1.037199E-06 +/-  2.570146E-09
1.524500E+03 1.032841E-06 +/-  2.562759E-09
1.525500E+03 1.030167E-06 +/-  2.558062E-09
1.526500E+03 1.028700E-06 +/-  2.550060E-09
1.527500E+03 1.020085E-06 +/-  2.534110E-09
1.528500E+03 1.021673E-06 +/-  2.541003E-09
1.529500E+03 1.014811E-06 +/-  2.520937E-09
1.530500E+03 1.012028E-06 +/-  2.517025E-09
1.531500E+03 1.010418E-06 +/-  2.509595E-09
1.532500E+03 1.005109E-06 +/-  2.506938E-09
1.533500E+03 1.003593E-06 +/-  2.498691E-09
1.534500E+03 9.990199E-07 +/-  2.498011E-09
1.535500E+03 9.981101E-07 +/-  2.491854E-09
1.536500E+03 9.912600E-07 +/-  2.481280E-09
1.537500E+03 9.885452E-07 +/-  2.472902E-09
1.538500E+03 9.873374E-07 +/-  2.471017E-09
1.539500E+03 9.803981E-07 +/-  2.456715E-09
1.540500E+03 9.796347E-07 +/-  2.454556E-09
1.541500E+03 9.791754E-07 +/-  2.456662E-09
1.542500E+03 9.691864E-07 +/-  2.434561E-09
1.543500E+03 9.704931E-07 +/-  2.435601E-09
1.544500E+03 9.675727E-07 +/-  2.433362E-09
1.545500E+03 9.655614E-07 +/-  2.429597E-09
1.546500E+03 9.591566E-07 +/-  2.414146E-09
1.547500E+03 9.560784E-07 +/-  2.407342E-09
1.548500E+03 9.522250E-07 +/-  2.404404E-09
1.549500E+03 9.530252E-07 +/-  2.406848E-09
1.550500E+03 9.448374E-07 +/-  2.386799E-09
1.551500E+03 9.451062E-07 +/-  2.388380E-09
1.552500E+03 9.410287E-07 +/-  2.379966E-09
1.553500E+03 9.397160E-07 +/-  2.380190E-09
1.554500E+03 9.362310E-07 +/-  2.373437E-09
1.555500E+03 9.296086E-07 +/-  2.355854E-09
1.556500E+03 9.263674E-07 +/-  2.350113E-09
1.557500E+03 9.273133E-07 +/-  2.356833E-09
1.558500E+03 9.249172E-07 +/-  2.351916E-09
1.559500E+03 9.170037E-07 +/-  2.333386E-09
1.560500E+03 9.182530E-07 +/-  2.331449E-09
1.561500E+03 9.118134E-07 +/-  2.322982E-09
1.562500E+03 9.102713E-07 +/-  2.321149E-09
1.563500E+03 9.083173E-07 +/-  2.320857E-09
1.564500E+03 9.038346E-07 +/-  2.305863E-09
1.565500E+03 9.005776E-07 +/-  2.299846E-09
1.566500E+03 9.000927E-07 +/-  2.300780E-09
1.567500E+03 8.939993E-07 +/-  2.289083E-09
1.568500E+03 8.933049E-07 +/-  2.284458E-09
1.569500E+03 8.906899E-07 +/-  2.284399E-09
1.570500E+03 8.857421E-07 +/-  2.272213E-09
1.571500E+03 8.842107E-07 +/-  2.273194E-09
1.572500E+03 8.790753E-07 +/-  2.261612E-09
1.573500E+03 8.794655E-07 +/-  2.257869E-09
1.574500E+03 8.749852E-07 +/-  2.251847E-09
1.575500E+03 8.726386E-07 +/-  2.245953E-09
1.576500E+03 8.693567E-07 +/-  2.241527E-09
1.577500E+03 8.672834E-07 +/-  2.237660E-09
1.578500E+03 8.635746E-07 +/-  2.229534E-09
1.579500E+03 8.608290E-07 +/-  2.222374E-09
1.580500E+03 8.577417E-07 +/-  2.218757E-09
1.581500E+03 8.537981E-07 +/-  2.213205E-09
1.582500E+03 8.512600E-07 +/-  2.205470E-09
1.583500E+03 8.487793E-07 +/-  2.197281E-09
1.584500E+03 8.520637E-07 +/-  2.207321E-09
1.585500E+03 8.440556E-07 +/-  2.191783E-09
1.586500E+03 8.391103E-07 +/-  2.180497E-09
1.587500E+03 8.372132E-07 +/-  2.177106E-09
1.588500E+03 8.369250E-07 +/-  2.178170E-09
1.589500E+03 8.347242E-07 +/-  2.172589E-09
1.590500E+03 8.283330E-07 +/-  2.156407E-09
1.591500E+03 8.274243E-07 +/-  2.161606E-09
1.592500E+03 8.249573E-07 +/-  2.151807E-09
1.593500E+03 8.217688E-07 +/-  2.148365E-09
1.594500E+03 8.204505E-07 +/-  2.142272E-09
1.595500E+03 8.175423E-07 +/-  2.137839E-09
1.596500E+03 8.139325E-07 +/-  2.133254E-09
1.597500E+03 8.104948E-07 +/-  2.123727E-09
1.598500E+03 8.110264E-07 +/-  2.124553E-09
1.599500E+03 8.065209E-07 +/-  2.121306E-09
1.600500E+03 8.025784E-07 +/-  2.108028E-09
1.601500E+03 8.002575E-07 +/-  2.106072E-09
1.602500E+03 7.987081E-07 +/-  2.100285E-09
1.603500E+03 7.982228E-07 +/-  2.097846E-09
1.604500E+03 7.918671E-07 +/-  2.090463E-09
1.605500E+03 7.926606E-07 +/-  2.091553E-09
1.606500E+03 7.873829E-07 +/-  2.078128E-09
1.607500E+03 7.858859E-07 +/-  2.074300E-09
1.608500E+03 7.831072E-07 +/-  2.071036E-09
1.609500E+03 7.794113E-07 +/-  2.064607E-09
1.610500E+03 7.783660E-07 +/-  2.059633E-09
1.611500E+03 7.752727E-07 +/-  2.056083E-09
1.612500E+03 7.740606E-07 +/-  2.052808E-09
1.613500E+03 7.699169E-07 +/-  2.042336E-09
1.614500E+03 7.671884E-07 +/-  2.038422E-09
1.615500E+03 7.661698E-07 +/-  2.038988E-09
1.616500E+03 7.651685E-07 +/-  2.033670E-09
1.617500E+03 7.594085E-07 +/-  2.021196E-09
1.618500E+03 7.580938E-07 +/-  2.020764E-09
1.619500E+03 7.546060E-07 +/-  2.017003E-09
1.620500E+03 7.554806E-07 +/-  2.016072E-09
1.621500E+03 7.492626E-07 +/-  2.000576E-09
1.622500E+03 7.515700E-07 +/-  2.008078E-09
1.623500E+03 7.445794E-07 +/-  1.994307E-09
1.624500E+03 7.413618E-07 +/-  1.986749E-09
1.625500E+03 7.447063E-07 +/-  1.993930E-09
1.626500E+03 7.372768E-07 +/-  1.980177E-09
1.627500E+03 7.348072E-07 +/-  1.974159E-09
1.628500E+03 7.363326E-07 +/-  1.976465E-09
1.629500E+03 7.311746E-07 +/-  1.965121E-09
1.630500E+03 7.290796E-07 +/-  1.961828E-09
1.631500E+03 7.266666E-07 +/-  1.960309E-09
1.632500E+03 7.268071E-07 +/-  1.957099E-09
