 G,G -> u,U
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.327500E+03 -1.515624E-02 +/-  4.008598E-05
1.328500E+03 -1.507320E-02 +/-  3.987367E-05
1.329500E+03 -1.500170E-02 +/-  3.968496E-05
1.330500E+03 -1.492156E-02 +/-  3.962988E-05
1.331500E+03 -1.486894E-02 +/-  3.949861E-05
1.332500E+03 -1.473317E-02 +/-  3.932130E-05
1.333500E+03 -1.471787E-02 +/-  3.923082E-05
1.334500E+03 -1.461996E-02 +/-  3.900624E-05
1.335500E+03 -1.459429E-02 +/-  3.891572E-05
1.336500E+03 -1.451001E-02 +/-  3.878911E-05
1.337500E+03 -1.438451E-02 +/-  3.863583E-05
1.338500E+03 -1.438774E-02 +/-  3.865027E-05
1.339500E+03 -1.425917E-02 +/-  3.833058E-05
1.340500E+03 -1.428537E-02 +/-  3.824797E-05
1.341500E+03 -1.415253E-02 +/-  3.805069E-05
1.342500E+03 -1.405302E-02 +/-  3.797516E-05
1.343500E+03 -1.398705E-02 +/-  3.788434E-05
1.344500E+03 -1.395513E-02 +/-  3.777160E-05
1.345500E+03 -1.385650E-02 +/-  3.753854E-05
1.346500E+03 -1.382172E-02 +/-  3.737911E-05
1.347500E+03 -1.376710E-02 +/-  3.727530E-05
1.348500E+03 -1.368998E-02 +/-  3.727356E-05
1.349500E+03 -1.357532E-02 +/-  3.704498E-05
1.350500E+03 -1.356292E-02 +/-  3.696891E-05
1.351500E+03 -1.348590E-02 +/-  3.676437E-05
1.352500E+03 -1.338995E-02 +/-  3.656289E-05
1.353500E+03 -1.333231E-02 +/-  3.641821E-05
1.354500E+03 -1.331067E-02 +/-  3.647715E-05
1.355500E+03 -1.326017E-02 +/-  3.646732E-05
1.356500E+03 -1.314815E-02 +/-  3.616242E-05
1.357500E+03 -1.305657E-02 +/-  3.594761E-05
1.358500E+03 -1.307251E-02 +/-  3.588852E-05
1.359500E+03 -1.300014E-02 +/-  3.578452E-05
1.360500E+03 -1.285052E-02 +/-  3.555776E-05
1.361500E+03 -1.287607E-02 +/-  3.566230E-05
1.362500E+03 -1.277225E-02 +/-  3.543177E-05
1.363500E+03 -1.273745E-02 +/-  3.533632E-05
1.364500E+03 -1.264369E-02 +/-  3.508140E-05
1.365500E+03 -1.263146E-02 +/-  3.501437E-05
1.366500E+03 -1.251909E-02 +/-  3.487705E-05
1.367500E+03 -1.249153E-02 +/-  3.487228E-05
1.368500E+03 -1.242936E-02 +/-  3.479532E-05
1.369500E+03 -1.237119E-02 +/-  3.460244E-05
1.370500E+03 -1.235403E-02 +/-  3.447928E-05
1.371500E+03 -1.219560E-02 +/-  3.417379E-05
1.372500E+03 -1.221133E-02 +/-  3.419661E-05
1.373500E+03 -1.213447E-02 +/-  3.413827E-05
1.374500E+03 -1.206706E-02 +/-  3.404780E-05
1.375500E+03 -1.205293E-02 +/-  3.397497E-05
1.376500E+03 -1.195761E-02 +/-  3.374830E-05
1.377500E+03 -1.189062E-02 +/-  3.360668E-05
1.378500E+03 -1.184327E-02 +/-  3.341384E-05
1.379500E+03 -1.181805E-02 +/-  3.338893E-05
1.380500E+03 -1.174958E-02 +/-  3.341071E-05
1.381500E+03 -1.166376E-02 +/-  3.322351E-05
1.382500E+03 -1.164934E-02 +/-  3.317166E-05
1.383500E+03 -1.156740E-02 +/-  3.295359E-05
1.384500E+03 -1.147753E-02 +/-  3.274011E-05
1.385500E+03 -1.149439E-02 +/-  3.269086E-05
1.386500E+03 -1.141172E-02 +/-  3.260310E-05
1.387500E+03 -1.134581E-02 +/-  3.256725E-05
1.388500E+03 -1.134311E-02 +/-  3.253808E-05
1.389500E+03 -1.123579E-02 +/-  3.234835E-05
1.390500E+03 -1.118173E-02 +/-  3.216018E-05
1.391500E+03 -1.116029E-02 +/-  3.206450E-05
1.392500E+03 -1.106893E-02 +/-  3.183218E-05
1.393500E+03 -1.105864E-02 +/-  3.188648E-05
1.394500E+03 -1.098724E-02 +/-  3.182086E-05
