 u,U -> G,G
x-axis: "Mass{p3+p4}$"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.005000E+02 -2.172063E+01 +/-  7.052263E-02
2.015000E+02 -2.128045E+01 +/-  6.892857E-02
2.025000E+02 -2.082776E+01 +/-  6.734307E-02
2.035000E+02 -2.043375E+01 +/-  6.586045E-02
2.045000E+02 -2.025374E+01 +/-  6.481531E-02
2.055000E+02 -1.971555E+01 +/-  6.318500E-02
2.065000E+02 -1.936614E+01 +/-  6.181866E-02
2.075000E+02 -1.907651E+01 +/-  6.067247E-02
2.085000E+02 -1.874679E+01 +/-  5.940878E-02
2.095000E+02 -1.837941E+01 +/-  5.808896E-02
2.105000E+02 -1.802281E+01 +/-  5.686377E-02
2.115000E+02 -1.769239E+01 +/-  5.566489E-02
2.125000E+02 -1.748477E+01 +/-  5.472446E-02
2.135000E+02 -1.705221E+01 +/-  5.338433E-02
2.145000E+02 -1.683212E+01 +/-  5.242138E-02
2.155000E+02 -1.654225E+01 +/-  5.138767E-02
2.165000E+02 -1.617796E+01 +/-  5.018050E-02
2.175000E+02 -1.596046E+01 +/-  4.933098E-02
2.185000E+02 -1.570631E+01 +/-  4.836443E-02
2.195000E+02 -1.540079E+01 +/-  4.734898E-02
2.205000E+02 -1.514493E+01 +/-  4.638033E-02
2.215000E+02 -1.490214E+01 +/-  4.553088E-02
2.225000E+02 -1.458387E+01 +/-  4.451628E-02
2.235000E+02 -1.432658E+01 +/-  4.361773E-02
2.245000E+02 -1.415476E+01 +/-  4.289164E-02
2.255000E+02 -1.391851E+01 +/-  4.205413E-02
2.265000E+02 -1.364040E+01 +/-  4.118079E-02
2.275000E+02 -1.343467E+01 +/-  4.041159E-02
2.285000E+02 -1.320379E+01 +/-  3.962947E-02
2.295000E+02 -1.298731E+01 +/-  3.886291E-02
2.305000E+02 -1.276615E+01 +/-  3.809362E-02
2.315000E+02 -1.257265E+01 +/-  3.744239E-02
2.325000E+02 -1.234722E+01 +/-  3.668210E-02
2.335000E+02 -1.213591E+01 +/-  3.598420E-02
2.345000E+02 -1.197495E+01 +/-  3.537001E-02
2.355000E+02 -1.174015E+01 +/-  3.461606E-02
2.365000E+02 -1.157682E+01 +/-  3.402994E-02
2.375000E+02 -1.132746E+01 +/-  3.328207E-02
2.385000E+02 -1.120426E+01 +/-  3.279084E-02
2.395000E+02 -1.098638E+01 +/-  3.210725E-02
2.405000E+02 -1.082696E+01 +/-  3.153616E-02
2.415000E+02 -1.067365E+01 +/-  3.100055E-02
2.425000E+02 -1.050803E+01 +/-  3.044813E-02
2.435000E+02 -1.031870E+01 +/-  2.984292E-02
2.445000E+02 -1.016046E+01 +/-  2.932233E-02
2.455000E+02 -9.984165E+00 +/-  2.875562E-02
2.465000E+02 -9.846179E+00 +/-  2.826769E-02
2.475000E+02 -9.666313E+00 +/-  2.773940E-02
2.485000E+02 -9.544315E+00 +/-  2.725544E-02
2.495000E+02 -9.394195E+00 +/-  2.679399E-02
2.505000E+02 -9.237000E+00 +/-  2.630605E-02
2.515000E+02 -9.089233E+00 +/-  2.581957E-02
2.525000E+02 -8.966417E+00 +/-  2.539662E-02
2.535000E+02 -8.806739E+00 +/-  2.490774E-02
2.545000E+02 -8.684332E+00 +/-  2.448808E-02
2.555000E+02 -8.570379E+00 +/-  2.410721E-02
2.565000E+02 -8.390585E+00 +/-  2.359818E-02
2.575000E+02 -8.310548E+00 +/-  2.325819E-02
2.585000E+02 -8.161940E+00 +/-  2.283956E-02
2.595000E+02 -8.011509E+00 +/-  2.238723E-02
2.605000E+02 -7.941826E+00 +/-  2.209761E-02
2.615000E+02 -7.810691E+00 +/-  2.168633E-02
2.625000E+02 -7.684075E+00 +/-  2.130897E-02
2.635000E+02 -7.564787E+00 +/-  2.093909E-02
2.645000E+02 -7.464494E+00 +/-  2.060033E-02
2.655000E+02 -7.353816E+00 +/-  2.025648E-02
2.665000E+02 -7.235894E+00 +/-  1.989026E-02
2.675000E+02 -7.134283E+00 +/-  1.958372E-02
2.685000E+02 -7.020755E+00 +/-  1.923133E-02
2.695000E+02 -6.926707E+00 +/-  1.892882E-02
2.705000E+02 -6.843426E+00 +/-  1.863526E-02
2.715000E+02 -6.723476E+00 +/-  1.830192E-02
2.725000E+02 -6.626990E+00 +/-  1.800045E-02
2.735000E+02 -6.540214E+00 +/-  1.771326E-02
2.745000E+02 -6.422954E+00 +/-  1.740023E-02
2.755000E+02 -6.355476E+00 +/-  1.714482E-02
2.765000E+02 -6.248269E+00 +/-  1.684810E-02
2.775000E+02 -6.164491E+00 +/-  1.657943E-02
2.785000E+02 -6.081623E+00 +/-  1.631259E-02
2.795000E+02 -5.994465E+00 +/-  1.605939E-02
2.805000E+02 -5.915076E+00 +/-  1.579683E-02
2.815000E+02 -5.820816E+00 +/-  1.554121E-02
2.825000E+02 -5.738979E+00 +/-  1.528866E-02
2.835000E+02 -5.662983E+00 +/-  1.504547E-02
