 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
8.690000E+01 1.033785E+02 +/-  1.855750E+00
8.750000E+01 9.839454E+01 +/-  1.775284E+00
8.810000E+01 9.407834E+01 +/-  1.782135E+00
8.870000E+01 9.582636E+01 +/-  1.795126E+00
8.930000E+01 8.836160E+01 +/-  1.669043E+00
8.990000E+01 8.789561E+01 +/-  1.639093E+00
9.050000E+01 8.612010E+01 +/-  1.595466E+00
9.110000E+01 8.641724E+01 +/-  1.587465E+00
9.170000E+01 8.148131E+01 +/-  1.506173E+00
9.230000E+01 7.748218E+01 +/-  1.446839E+00
9.290000E+01 7.622368E+01 +/-  1.402078E+00
9.350000E+01 7.725549E+01 +/-  1.396530E+00
9.410000E+01 7.399755E+01 +/-  1.354158E+00
9.470000E+01 7.271313E+01 +/-  1.314404E+00
9.530000E+01 6.848575E+01 +/-  1.266727E+00
9.590000E+01 6.968247E+01 +/-  1.255740E+00
9.650000E+01 6.819734E+01 +/-  1.222133E+00
9.710000E+01 6.566110E+01 +/-  1.457008E+00
9.770000E+01 6.253816E+01 +/-  1.757686E+00
9.830000E+01 6.196684E+01 +/-  1.775229E+00
9.890000E+01 6.178883E+01 +/-  1.781207E+00
9.950000E+01 6.088178E+01 +/-  1.730113E+00
1.001000E+02 5.648033E+01 +/-  1.607670E+00
1.007000E+02 5.206463E+01 +/-  1.366231E+00
1.013000E+02 5.470055E+01 +/-  1.487746E+00
1.019000E+02 5.379131E+01 +/-  1.506474E+00
1.025000E+02 5.170319E+01 +/-  1.342274E+00
1.031000E+02 5.228378E+01 +/-  1.430774E+00
1.037000E+02 5.090554E+01 +/-  1.416671E+00
1.043000E+02 4.861426E+01 +/-  1.334712E+00
1.049000E+02 4.932325E+01 +/-  1.364040E+00
1.055000E+02 4.682577E+01 +/-  1.289923E+00
1.061000E+02 4.494365E+01 +/-  1.198911E+00
1.067000E+02 4.654489E+01 +/-  1.300386E+00
1.073000E+02 4.556457E+01 +/-  1.287498E+00
1.079000E+02 3.919177E+01 +/-  1.066519E+00
