 d,D -> G,G
x-axis: "Mass{p3+p4}]"  from 500.000000 to 1000.000000 N_bins= 300
Diff. cross section [pb/GeV]
6.808333E+02 -9.653579E-02 +/-  3.241898E-04
6.825000E+02 -9.534855E-02 +/-  3.199285E-04
6.841667E+02 -9.482549E-02 +/-  3.170657E-04
6.858333E+02 -9.355662E-02 +/-  3.129028E-04
6.875000E+02 -9.246882E-02 +/-  3.090978E-04
6.891667E+02 -9.161269E-02 +/-  3.055734E-04
6.908333E+02 -9.059673E-02 +/-  3.019741E-04
6.925000E+02 -8.957996E-02 +/-  2.983690E-04
6.941667E+02 -8.862501E-02 +/-  2.947269E-04
6.958333E+02 -8.758663E-02 +/-  2.913356E-04
6.975000E+02 -8.699932E-02 +/-  2.884327E-04
6.991667E+02 -8.563257E-02 +/-  2.843373E-04
7.008333E+02 -8.482945E-02 +/-  2.811951E-04
7.025000E+02 -8.451155E-02 +/-  2.788855E-04
7.041667E+02 -8.269057E-02 +/-  2.740797E-04
7.058333E+02 -8.250941E-02 +/-  2.721904E-04
7.075000E+02 -8.142175E-02 +/-  2.685652E-04
7.091667E+02 -8.077114E-02 +/-  2.658472E-04
7.108333E+02 -7.962883E-02 +/-  2.623570E-04
7.125000E+02 -7.894354E-02 +/-  2.595278E-04
7.141667E+02 -7.818088E-02 +/-  2.567842E-04
7.158333E+02 -7.732042E-02 +/-  2.535371E-04
7.175000E+02 -7.630178E-02 +/-  2.504199E-04
7.191667E+02 -7.571846E-02 +/-  2.478441E-04
7.208333E+02 -7.499631E-02 +/-  2.452857E-04
7.225000E+02 -7.396513E-02 +/-  2.419394E-04
7.241667E+02 -7.349909E-02 +/-  2.397818E-04
7.258333E+02 -7.266104E-02 +/-  2.369543E-04
7.275000E+02 -7.198819E-02 +/-  2.344644E-04
7.291667E+02 -7.134104E-02 +/-  2.319744E-04
7.308333E+02 -7.036102E-02 +/-  2.288768E-04
7.325000E+02 -6.977287E-02 +/-  2.265703E-04
7.341667E+02 -6.908400E-02 +/-  2.240675E-04
7.358333E+02 -6.830617E-02 +/-  2.214237E-04
7.375000E+02 -6.777261E-02 +/-  2.192613E-04
7.391667E+02 -6.683985E-02 +/-  2.163992E-04
7.408333E+02 -6.643913E-02 +/-  2.145557E-04
7.425000E+02 -6.558497E-02 +/-  2.118056E-04
7.441667E+02 -6.519621E-02 +/-  2.099238E-04
7.458333E+02 -6.423239E-02 +/-  2.071254E-04
7.475000E+02 -6.368895E-02 +/-  2.049778E-04
7.491667E+02 -6.300555E-02 +/-  2.026906E-04
7.508333E+02 -6.230093E-02 +/-  2.002802E-04
7.525000E+02 -6.197349E-02 +/-  1.986575E-04
7.541667E+02 -6.126431E-02 +/-  1.962811E-04
7.558333E+02 -6.063410E-02 +/-  1.942699E-04
7.575000E+02 -5.996823E-02 +/-  1.918361E-04
7.591667E+02 -5.942800E-02 +/-  1.899633E-04
7.608333E+02 -5.895601E-02 +/-  1.880855E-04
7.625000E+02 -5.816292E-02 +/-  1.857397E-04
7.641667E+02 -5.781640E-02 +/-  1.841167E-04
7.658333E+02 -5.723370E-02 +/-  1.821407E-04
7.675000E+02 -5.649389E-02 +/-  1.797721E-04
7.691667E+02 -5.598553E-02 +/-  1.779152E-04
7.708333E+02 -5.548681E-02 +/-  1.761696E-04
7.725000E+02 -5.525278E-02 +/-  1.749001E-04
7.741667E+02 -5.424399E-02 +/-  1.720829E-04
7.758333E+02 -5.378784E-02 +/-  1.704895E-04
7.775000E+02 -5.336418E-02 +/-  1.687293E-04
7.791667E+02 -5.300198E-02 +/-  1.673243E-04
7.808333E+02 -5.220378E-02 +/-  1.649795E-04
7.825000E+02 -5.194401E-02 +/-  1.637270E-04
7.841667E+02 -5.167358E-02 +/-  1.623771E-04
7.858333E+02 -5.072608E-02 +/-  1.598409E-04
7.875000E+02 -5.031163E-02 +/-  1.583898E-04
7.891667E+02 -5.003873E-02 +/-  1.571288E-04
7.908333E+02 -4.932860E-02 +/-  1.549168E-04
7.925000E+02 -4.910343E-02 +/-  1.538486E-04
7.941667E+02 -4.843445E-02 +/-  1.518169E-04
7.958333E+02 -4.804582E-02 +/-  1.503764E-04
7.975000E+02 -4.763153E-02 +/-  1.489459E-04
7.991667E+02 -4.720226E-02 +/-  1.474248E-04
8.008333E+02 -4.660036E-02 +/-  1.455727E-04
8.025000E+02 -4.635216E-02 +/-  1.444933E-04
8.041667E+02 -4.583539E-02 +/-  1.428440E-04
8.058333E+02 -4.547512E-02 +/-  1.414750E-04
8.075000E+02 -4.501643E-02 +/-  1.399897E-04
8.091667E+02 -4.462331E-02 +/-  1.385905E-04
