 s,S -> m,M
x-axis: "Mass{p3+p4}"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.631500E+03 6.112382E-09 +/-  1.654892E-11
1.632500E+03 6.039879E-09 +/-  1.640409E-11
1.633500E+03 6.066454E-09 +/-  1.645986E-11
1.634500E+03 6.007435E-09 +/-  1.633831E-11
1.635500E+03 6.015626E-09 +/-  1.637462E-11
1.636500E+03 5.952660E-09 +/-  1.624117E-11
1.637500E+03 5.956600E-09 +/-  1.623745E-11
1.638500E+03 5.923216E-09 +/-  1.615193E-11
1.639500E+03 5.908444E-09 +/-  1.615315E-11
1.640500E+03 5.880594E-09 +/-  1.609874E-11
1.641500E+03 5.853837E-09 +/-  1.602889E-11
1.642500E+03 5.815981E-09 +/-  1.595963E-11
1.643500E+03 5.817328E-09 +/-  1.595131E-11
1.644500E+03 5.793345E-09 +/-  1.591477E-11
1.645500E+03 5.766847E-09 +/-  1.585700E-11
1.646500E+03 5.737652E-09 +/-  1.581159E-11
1.647500E+03 5.708603E-09 +/-  1.573662E-11
1.648500E+03 5.688546E-09 +/-  1.568247E-11
1.649500E+03 5.668539E-09 +/-  1.567111E-11
1.650500E+03 5.670554E-09 +/-  1.564626E-11
1.651500E+03 5.618834E-09 +/-  1.556225E-11
1.652500E+03 5.607747E-09 +/-  1.554054E-11
1.653500E+03 5.584295E-09 +/-  1.549453E-11
1.654500E+03 5.561390E-09 +/-  1.543108E-11
1.655500E+03 5.548700E-09 +/-  1.540444E-11
1.656500E+03 5.513268E-09 +/-  1.535466E-11
1.657500E+03 5.474553E-09 +/-  1.527303E-11
1.658500E+03 5.498898E-09 +/-  1.532179E-11
1.659500E+03 5.445027E-09 +/-  1.519727E-11
1.660500E+03 5.437646E-09 +/-  1.518641E-11
1.661500E+03 5.396842E-09 +/-  1.512148E-11
1.662500E+03 5.402859E-09 +/-  1.508803E-11
1.663500E+03 5.353916E-09 +/-  1.503383E-11
1.664500E+03 5.351382E-09 +/-  1.501210E-11
1.665500E+03 5.327279E-09 +/-  1.496522E-11
1.666500E+03 5.312931E-09 +/-  1.493531E-11
1.667500E+03 5.262885E-09 +/-  1.483764E-11
1.668500E+03 5.269991E-09 +/-  1.483989E-11
1.669500E+03 5.255526E-09 +/-  1.481209E-11
1.670500E+03 5.218297E-09 +/-  1.473621E-11
1.671500E+03 5.203844E-09 +/-  1.470879E-11
1.672500E+03 5.175073E-09 +/-  1.464970E-11
1.673500E+03 5.170896E-09 +/-  1.464172E-11
1.674500E+03 5.128889E-09 +/-  1.455217E-11
1.675500E+03 5.130801E-09 +/-  1.454119E-11
1.676500E+03 5.104900E-09 +/-  1.449800E-11
1.677500E+03 5.076318E-09 +/-  1.446582E-11
1.678500E+03 5.052963E-09 +/-  1.442838E-11
1.679500E+03 5.040963E-09 +/-  1.435715E-11
1.680500E+03 5.030527E-09 +/-  1.435265E-11
1.681500E+03 4.993049E-09 +/-  1.425616E-11
1.682500E+03 4.999922E-09 +/-  1.427628E-11
1.683500E+03 4.952299E-09 +/-  1.419590E-11
1.684500E+03 4.960159E-09 +/-  1.420785E-11
1.685500E+03 4.907931E-09 +/-  1.410689E-11
1.686500E+03 4.905351E-09 +/-  1.409105E-11
1.687500E+03 4.878847E-09 +/-  1.404637E-11
1.688500E+03 4.866352E-09 +/-  1.399035E-11
1.689500E+03 4.843331E-09 +/-  1.396572E-11
1.690500E+03 4.823032E-09 +/-  1.392449E-11
1.691500E+03 4.817798E-09 +/-  1.389899E-11
1.692500E+03 4.798080E-09 +/-  1.387552E-11
1.693500E+03 4.773588E-09 +/-  1.381029E-11
1.694500E+03 4.752816E-09 +/-  1.377479E-11
1.695500E+03 4.723754E-09 +/-  1.371110E-11
1.696500E+03 4.720771E-09 +/-  1.370145E-11
1.697500E+03 4.712527E-09 +/-  1.368704E-11
1.698500E+03 4.668148E-09 +/-  1.362179E-11
1.699500E+03 4.663917E-09 +/-  1.359056E-11
1.700500E+03 4.655032E-09 +/-  1.354647E-11
1.701500E+03 4.618127E-09 +/-  1.349757E-11
1.702500E+03 4.621170E-09 +/-  1.347313E-11
1.703500E+03 4.580007E-09 +/-  1.340484E-11
1.704500E+03 4.591403E-09 +/-  1.343254E-11
1.705500E+03 4.562218E-09 +/-  1.337178E-11
1.706500E+03 4.530756E-09 +/-  1.331912E-11
1.707500E+03 4.528397E-09 +/-  1.328680E-11
1.708500E+03 4.490411E-09 +/-  1.322685E-11
1.709500E+03 4.485220E-09 +/-  1.320172E-11
1.710500E+03 4.462711E-09 +/-  1.314404E-11
1.711500E+03 4.470862E-09 +/-  1.317008E-11
1.712500E+03 4.421499E-09 +/-  1.310384E-11
1.713500E+03 4.424639E-09 +/-  1.309313E-11
1.714500E+03 4.399640E-09 +/-  1.302478E-11
1.715500E+03 4.377133E-09 +/-  1.298662E-11
1.716500E+03 4.384207E-09 +/-  1.298160E-11
1.717500E+03 4.341075E-09 +/-  1.288580E-11
1.718500E+03 4.343340E-09 +/-  1.288193E-11
1.719500E+03 4.317155E-09 +/-  1.287578E-11
1.720500E+03 4.275402E-09 +/-  1.280472E-11
1.721500E+03 4.310747E-09 +/-  1.282918E-11
1.722500E+03 4.253961E-09 +/-  1.271134E-11
1.723500E+03 4.249046E-09 +/-  1.271732E-11
1.724500E+03 4.233670E-09 +/-  1.266288E-11
1.725500E+03 4.218382E-09 +/-  1.260674E-11
1.726500E+03 4.216041E-09 +/-  1.263218E-11
1.727500E+03 4.179798E-09 +/-  1.259400E-11
1.728500E+03 4.174000E-09 +/-  1.255585E-11
1.729500E+03 4.146263E-09 +/-  1.248406E-11
1.730500E+03 4.116261E-09 +/-  1.243539E-11
1.731500E+03 4.136817E-09 +/-  1.245247E-11
1.732500E+03 4.112775E-09 +/-  1.238913E-11
1.733500E+03 4.095311E-09 +/-  1.233840E-11
1.734500E+03 4.074237E-09 +/-  1.233319E-11
1.735500E+03 4.048117E-09 +/-  1.231353E-11
1.736500E+03 4.041584E-09 +/-  1.227765E-11
1.737500E+03 4.027472E-09 +/-  1.222252E-11
1.738500E+03 4.027466E-09 +/-  1.221617E-11
1.739500E+03 3.984738E-09 +/-  1.214135E-11
1.740500E+03 3.987079E-09 +/-  1.212376E-11
1.741500E+03 3.957369E-09 +/-  1.207598E-11
1.742500E+03 3.968604E-09 +/-  1.208361E-11
1.743500E+03 3.935925E-09 +/-  1.204678E-11
1.744500E+03 3.920057E-09 +/-  1.201201E-11
1.745500E+03 3.894757E-09 +/-  1.195106E-11
1.746500E+03 3.902262E-09 +/-  1.195239E-11
1.747500E+03 3.869537E-09 +/-  1.189088E-11
1.748500E+03 3.867895E-09 +/-  1.188804E-11
1.749500E+03 3.858636E-09 +/-  1.184641E-11
1.750500E+03 3.831214E-09 +/-  1.176649E-11
1.751500E+03 3.818634E-09 +/-  1.178736E-11
1.752500E+03 3.796886E-09 +/-  1.174154E-11
1.753500E+03 3.791315E-09 +/-  1.172665E-11
1.754500E+03 3.785395E-09 +/-  1.168662E-11
1.755500E+03 3.760522E-09 +/-  1.165763E-11
1.756500E+03 3.753068E-09 +/-  1.163405E-11
1.757500E+03 3.733850E-09 +/-  1.158236E-11
1.758500E+03 3.715059E-09 +/-  1.153161E-11
1.759500E+03 3.713660E-09 +/-  1.150854E-11
1.760500E+03 3.668030E-09 +/-  1.145057E-11
1.761500E+03 3.668582E-09 +/-  1.147080E-11
1.762500E+03 3.669326E-09 +/-  1.144358E-11
1.763500E+03 3.658045E-09 +/-  1.143650E-11
