 u,U -> m,M
x-axis: "Mass{p3+p4}"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 3.876478E-06 +/-  9.332957E-09
9.215000E+02 3.867454E-06 +/-  9.307937E-09
9.225000E+02 3.838363E-06 +/-  9.230930E-09
9.235000E+02 3.832695E-06 +/-  9.221203E-09
9.245000E+02 3.803898E-06 +/-  9.170451E-09
9.255000E+02 3.784322E-06 +/-  9.094602E-09
9.265000E+02 3.767845E-06 +/-  9.072258E-09
9.275000E+02 3.749408E-06 +/-  9.052524E-09
9.285000E+02 3.723303E-06 +/-  8.991859E-09
9.295000E+02 3.715791E-06 +/-  8.964404E-09
9.305000E+02 3.695861E-06 +/-  8.934063E-09
9.315000E+02 3.671787E-06 +/-  8.887952E-09
9.325000E+02 3.646783E-06 +/-  8.862430E-09
9.335000E+02 3.648132E-06 +/-  8.827578E-09
9.345000E+02 3.613783E-06 +/-  8.784796E-09
9.355000E+02 3.602570E-06 +/-  8.739686E-09
9.365000E+02 3.582723E-06 +/-  8.688336E-09
9.375000E+02 3.563524E-06 +/-  8.684186E-09
9.385000E+02 3.553944E-06 +/-  8.660799E-09
9.395000E+02 3.528534E-06 +/-  8.604704E-09
9.405000E+02 3.516812E-06 +/-  8.599415E-09
9.415000E+02 3.493441E-06 +/-  8.538548E-09
9.425000E+02 3.467095E-06 +/-  8.492675E-09
9.435000E+02 3.472783E-06 +/-  8.495226E-09
9.445000E+02 3.445306E-06 +/-  8.426101E-09
9.455000E+02 3.423828E-06 +/-  8.419951E-09
9.465000E+02 3.418577E-06 +/-  8.393482E-09
9.475000E+02 3.382097E-06 +/-  8.310896E-09
9.485000E+02 3.379232E-06 +/-  8.320796E-09
9.495000E+02 3.363742E-06 +/-  8.297175E-09
9.505000E+02 3.346282E-06 +/-  8.248231E-09
9.515000E+02 3.332692E-06 +/-  8.220286E-09
9.525000E+02 3.306681E-06 +/-  8.199096E-09
9.535000E+02 3.299779E-06 +/-  8.170291E-09
9.545000E+02 3.278073E-06 +/-  8.114703E-09
9.555000E+02 3.260443E-06 +/-  8.096654E-09
9.565000E+02 3.248263E-06 +/-  8.062181E-09
9.575000E+02 3.230746E-06 +/-  8.035603E-09
9.585000E+02 3.215726E-06 +/-  7.991397E-09
9.595000E+02 3.205372E-06 +/-  7.981241E-09
9.605000E+02 3.180171E-06 +/-  7.923793E-09
9.615000E+02 3.176571E-06 +/-  7.923522E-09
9.625000E+02 3.151759E-06 +/-  7.877106E-09
9.635000E+02 3.140757E-06 +/-  7.861587E-09
9.645000E+02 3.115552E-06 +/-  7.805713E-09
9.655000E+02 3.116217E-06 +/-  7.801634E-09
9.665000E+02 3.101088E-06 +/-  7.776621E-09
9.675000E+02 3.073201E-06 +/-  7.730206E-09
9.685000E+02 3.067380E-06 +/-  7.717388E-09
9.695000E+02 3.051928E-06 +/-  7.677042E-09
9.705000E+02 3.031580E-06 +/-  7.631817E-09
9.715000E+02 3.022926E-06 +/-  7.630589E-09
9.725000E+02 3.005756E-06 +/-  7.588854E-09
9.735000E+02 2.990876E-06 +/-  7.570808E-09
9.745000E+02 2.983213E-06 +/-  7.532715E-09
9.755000E+02 2.955614E-06 +/-  7.486996E-09
9.765000E+02 2.957395E-06 +/-  7.501396E-09
9.775000E+02 2.926007E-06 +/-  7.418460E-09
9.785000E+02 2.913861E-06 +/-  7.409456E-09
9.795000E+02 2.912975E-06 +/-  7.397766E-09
9.805000E+02 2.899187E-06 +/-  7.387976E-09
9.815000E+02 2.876569E-06 +/-  7.340809E-09
9.825000E+02 2.861669E-06 +/-  7.311518E-09
9.835000E+02 2.845719E-06 +/-  7.274812E-09
9.845000E+02 2.843412E-06 +/-  7.272402E-09
9.855000E+02 2.824478E-06 +/-  7.227271E-09
9.865000E+02 2.818169E-06 +/-  7.223562E-09
9.875000E+02 2.793253E-06 +/-  7.172986E-09
9.885000E+02 2.787633E-06 +/-  7.158489E-09
9.895000E+02 2.774164E-06 +/-  7.136449E-09
9.905000E+02 2.757536E-06 +/-  7.107354E-09
9.915000E+02 2.748822E-06 +/-  7.077281E-09
9.925000E+02 2.729524E-06 +/-  7.042231E-09
9.935000E+02 2.713466E-06 +/-  7.004042E-09
9.945000E+02 2.710213E-06 +/-  7.014339E-09
9.955000E+02 2.692400E-06 +/-  6.964394E-09
9.965000E+02 2.681061E-06 +/-  6.948894E-09
9.975000E+02 2.664068E-06 +/-  6.919335E-09
9.985000E+02 2.661006E-06 +/-  6.899937E-09
9.995000E+02 2.637301E-06 +/-  6.859638E-09
1.000500E+03 2.628074E-06 +/-  6.843379E-09
1.001500E+03 2.628957E-06 +/-  6.845536E-09
1.002500E+03 2.612201E-06 +/-  6.808254E-09
1.003500E+03 2.590022E-06 +/-  6.781418E-09
1.004500E+03 2.587039E-06 +/-  6.755968E-09
1.005500E+03 2.567814E-06 +/-  6.721195E-09
1.006500E+03 2.553341E-06 +/-  6.695564E-09
1.007500E+03 2.549378E-06 +/-  6.687728E-09
1.008500E+03 2.528964E-06 +/-  6.649319E-09
1.009500E+03 2.531641E-06 +/-  6.657690E-09
1.010500E+03 2.509457E-06 +/-  6.598181E-09
1.011500E+03 2.503085E-06 +/-  6.591075E-09
1.012500E+03 2.481475E-06 +/-  6.561451E-09
1.013500E+03 2.478096E-06 +/-  6.543180E-09
1.014500E+03 2.467346E-06 +/-  6.519165E-09
1.015500E+03 2.451660E-06 +/-  6.487585E-09
1.016500E+03 2.445361E-06 +/-  6.473492E-09
1.017500E+03 2.427942E-06 +/-  6.448737E-09
1.018500E+03 2.425445E-06 +/-  6.444508E-09
1.019500E+03 2.415150E-06 +/-  6.422852E-09
1.020500E+03 2.389768E-06 +/-  6.366532E-09
1.021500E+03 2.385085E-06 +/-  6.337001E-09
1.022500E+03 2.378744E-06 +/-  6.348676E-09
1.023500E+03 2.358148E-06 +/-  6.311981E-09
1.024500E+03 2.352900E-06 +/-  6.303926E-09
1.025500E+03 2.345504E-06 +/-  6.272294E-09
1.026500E+03 2.333375E-06 +/-  6.247406E-09
1.027500E+03 2.320451E-06 +/-  6.211352E-09
1.028500E+03 2.306328E-06 +/-  6.209507E-09
1.029500E+03 2.299591E-06 +/-  6.197610E-09
1.030500E+03 2.300128E-06 +/-  6.184793E-09
1.031500E+03 2.276084E-06 +/-  6.133049E-09
1.032500E+03 2.267909E-06 +/-  6.113817E-09
1.033500E+03 2.258714E-06 +/-  6.101335E-09
1.034500E+03 2.249499E-06 +/-  6.091532E-09
1.035500E+03 2.237680E-06 +/-  6.070775E-09
1.036500E+03 2.232248E-06 +/-  6.044324E-09
1.037500E+03 2.212694E-06 +/-  6.002326E-09
1.038500E+03 2.214173E-06 +/-  5.999435E-09
1.039500E+03 2.186846E-06 +/-  5.961307E-09
1.040500E+03 2.192514E-06 +/-  5.974612E-09
1.041500E+03 2.170933E-06 +/-  5.934813E-09
1.042500E+03 2.182693E-06 +/-  5.938864E-09
1.043500E+03 2.146610E-06 +/-  5.872095E-09
1.044500E+03 2.156867E-06 +/-  5.876752E-09
1.045500E+03 2.132492E-06 +/-  5.854598E-09
1.046500E+03 2.128674E-06 +/-  5.848624E-09
1.047500E+03 2.121392E-06 +/-  5.827684E-09
1.048500E+03 2.110686E-06 +/-  5.799472E-09
1.049500E+03 2.102358E-06 +/-  5.776614E-09
1.050500E+03 2.089399E-06 +/-  5.745326E-09
1.051500E+03 2.083644E-06 +/-  5.750630E-09
