 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 2.522854E-07 +/-  5.935255E-10
9.215000E+02 2.505041E-07 +/-  5.903363E-10
9.225000E+02 2.490039E-07 +/-  5.858750E-10
9.235000E+02 2.476234E-07 +/-  5.820323E-10
9.245000E+02 2.459709E-07 +/-  5.794159E-10
9.255000E+02 2.434849E-07 +/-  5.722546E-10
9.265000E+02 2.422108E-07 +/-  5.721759E-10
9.275000E+02 2.415980E-07 +/-  5.714058E-10
9.285000E+02 2.393339E-07 +/-  5.659927E-10
9.295000E+02 2.379213E-07 +/-  5.632292E-10
9.305000E+02 2.365423E-07 +/-  5.597993E-10
9.315000E+02 2.341744E-07 +/-  5.541009E-10
9.325000E+02 2.336310E-07 +/-  5.535395E-10
9.335000E+02 2.316764E-07 +/-  5.496606E-10
9.345000E+02 2.300412E-07 +/-  5.481198E-10
9.355000E+02 2.289899E-07 +/-  5.471114E-10
9.365000E+02 2.273280E-07 +/-  5.420985E-10
9.375000E+02 2.260231E-07 +/-  5.408172E-10
9.385000E+02 2.239564E-07 +/-  5.362666E-10
9.395000E+02 2.228841E-07 +/-  5.315167E-10
9.405000E+02 2.214355E-07 +/-  5.297921E-10
9.415000E+02 2.204119E-07 +/-  5.292394E-10
9.425000E+02 2.191864E-07 +/-  5.283334E-10
9.435000E+02 2.163971E-07 +/-  5.208501E-10
9.445000E+02 2.165784E-07 +/-  5.225067E-10
9.455000E+02 2.141742E-07 +/-  5.171162E-10
9.465000E+02 2.133593E-07 +/-  5.155084E-10
9.475000E+02 2.117095E-07 +/-  5.116009E-10
9.485000E+02 2.096478E-07 +/-  5.078372E-10
9.495000E+02 2.095808E-07 +/-  5.091142E-10
9.505000E+02 2.076817E-07 +/-  5.042691E-10
9.515000E+02 2.064816E-07 +/-  5.017715E-10
9.525000E+02 2.049755E-07 +/-  4.997031E-10
9.535000E+02 2.043139E-07 +/-  4.981928E-10
9.545000E+02 2.019173E-07 +/-  4.936298E-10
9.555000E+02 2.011225E-07 +/-  4.917567E-10
9.565000E+02 1.998655E-07 +/-  4.886559E-10
9.575000E+02 1.988002E-07 +/-  4.875183E-10
9.585000E+02 1.979029E-07 +/-  4.871741E-10
9.595000E+02 1.956962E-07 +/-  4.794688E-10
9.605000E+02 1.943255E-07 +/-  4.767201E-10
9.615000E+02 1.940556E-07 +/-  4.795501E-10
9.625000E+02 1.923129E-07 +/-  4.751421E-10
9.635000E+02 1.916546E-07 +/-  4.734153E-10
9.645000E+02 1.900556E-07 +/-  4.711796E-10
9.655000E+02 1.887709E-07 +/-  4.681246E-10
9.665000E+02 1.874649E-07 +/-  4.648466E-10
9.675000E+02 1.865117E-07 +/-  4.636233E-10
9.685000E+02 1.852413E-07 +/-  4.609854E-10
9.695000E+02 1.843622E-07 +/-  4.590424E-10
9.705000E+02 1.826219E-07 +/-  4.557609E-10
9.715000E+02 1.815744E-07 +/-  4.528412E-10
9.725000E+02 1.811244E-07 +/-  4.526524E-10
9.735000E+02 1.792746E-07 +/-  4.486649E-10
9.745000E+02 1.788123E-07 +/-  4.480417E-10
9.755000E+02 1.768657E-07 +/-  4.456925E-10
9.765000E+02 1.755158E-07 +/-  4.426610E-10
9.775000E+02 1.757745E-07 +/-  4.432239E-10
9.785000E+02 1.733927E-07 +/-  4.369619E-10
9.795000E+02 1.730343E-07 +/-  4.379398E-10
9.805000E+02 1.726391E-07 +/-  4.375988E-10
9.815000E+02 1.700627E-07 +/-  4.308329E-10
9.825000E+02 1.698627E-07 +/-  4.299531E-10
9.835000E+02 1.689041E-07 +/-  4.287000E-10
9.845000E+02 1.673054E-07 +/-  4.261550E-10
9.855000E+02 1.667646E-07 +/-  4.252218E-10
9.865000E+02 1.652928E-07 +/-  4.211653E-10
9.875000E+02 1.648238E-07 +/-  4.203382E-10
9.885000E+02 1.630343E-07 +/-  4.179034E-10
9.895000E+02 1.624048E-07 +/-  4.171806E-10
9.905000E+02 1.614903E-07 +/-  4.139003E-10
9.915000E+02 1.605831E-07 +/-  4.118551E-10
9.925000E+02 1.593038E-07 +/-  4.105913E-10
9.935000E+02 1.581461E-07 +/-  4.078520E-10
9.945000E+02 1.578636E-07 +/-  4.082163E-10
9.955000E+02 1.559869E-07 +/-  4.033266E-10
9.965000E+02 1.560515E-07 +/-  4.035330E-10
9.975000E+02 1.542517E-07 +/-  4.004153E-10
9.985000E+02 1.539322E-07 +/-  4.001686E-10
9.995000E+02 1.524009E-07 +/-  3.960731E-10
1.000500E+03 1.520092E-07 +/-  3.949937E-10
1.001500E+03 1.509280E-07 +/-  3.929434E-10
1.002500E+03 1.501177E-07 +/-  3.928181E-10
1.003500E+03 1.488010E-07 +/-  3.897535E-10
1.004500E+03 1.481561E-07 +/-  3.869724E-10
1.005500E+03 1.469858E-07 +/-  3.850086E-10
1.006500E+03 1.462389E-07 +/-  3.842547E-10
1.007500E+03 1.452377E-07 +/-  3.821562E-10
1.008500E+03 1.449089E-07 +/-  3.813817E-10
1.009500E+03 1.436788E-07 +/-  3.783300E-10
1.010500E+03 1.421083E-07 +/-  3.752390E-10
1.011500E+03 1.423769E-07 +/-  3.770616E-10
1.012500E+03 1.409182E-07 +/-  3.738099E-10
1.013500E+03 1.398727E-07 +/-  3.709157E-10
1.014500E+03 1.394670E-07 +/-  3.701378E-10
1.015500E+03 1.385554E-07 +/-  3.691725E-10
1.016500E+03 1.373728E-07 +/-  3.666283E-10
1.017500E+03 1.367461E-07 +/-  3.654261E-10
1.018500E+03 1.360810E-07 +/-  3.636269E-10
1.019500E+03 1.353424E-07 +/-  3.621224E-10
1.020500E+03 1.343863E-07 +/-  3.597324E-10
1.021500E+03 1.331708E-07 +/-  3.585475E-10
1.022500E+03 1.325929E-07 +/-  3.574891E-10
1.023500E+03 1.316247E-07 +/-  3.545373E-10
1.024500E+03 1.313009E-07 +/-  3.536532E-10
1.025500E+03 1.301772E-07 +/-  3.515618E-10
1.026500E+03 1.295525E-07 +/-  3.508485E-10
1.027500E+03 1.294019E-07 +/-  3.508416E-10
1.028500E+03 1.274410E-07 +/-  3.461720E-10
1.029500E+03 1.275939E-07 +/-  3.459999E-10
1.030500E+03 1.260456E-07 +/-  3.424403E-10
1.031500E+03 1.255727E-07 +/-  3.429232E-10
1.032500E+03 1.247791E-07 +/-  3.418006E-10
1.033500E+03 1.243874E-07 +/-  3.399825E-10
1.034500E+03 1.232188E-07 +/-  3.374743E-10
1.035500E+03 1.225196E-07 +/-  3.357021E-10
1.036500E+03 1.220620E-07 +/-  3.346603E-10
1.037500E+03 1.215015E-07 +/-  3.341281E-10
1.038500E+03 1.204602E-07 +/-  3.329410E-10
1.039500E+03 1.198004E-07 +/-  3.306320E-10
1.040500E+03 1.187867E-07 +/-  3.281215E-10
1.041500E+03 1.189709E-07 +/-  3.281553E-10
1.042500E+03 1.172644E-07 +/-  3.252296E-10
1.043500E+03 1.173747E-07 +/-  3.259844E-10
1.044500E+03 1.162124E-07 +/-  3.238893E-10
1.045500E+03 1.153037E-07 +/-  3.215934E-10
1.046500E+03 1.145923E-07 +/-  3.196694E-10
1.047500E+03 1.141489E-07 +/-  3.182878E-10
1.048500E+03 1.137050E-07 +/-  3.177024E-10
1.049500E+03 1.130581E-07 +/-  3.167710E-10
1.050500E+03 1.118004E-07 +/-  3.152707E-10
1.051500E+03 1.116859E-07 +/-  3.141504E-10
1.052500E+03 1.107318E-07 +/-  3.114411E-10
1.053500E+03 1.101678E-07 +/-  3.100667E-10
1.054500E+03 1.098013E-07 +/-  3.093933E-10
1.055500E+03 1.085184E-07 +/-  3.076758E-10
1.056500E+03 1.083259E-07 +/-  3.079503E-10
1.057500E+03 1.075750E-07 +/-  3.054846E-10
1.058500E+03 1.069513E-07 +/-  3.041639E-10
1.059500E+03 1.063616E-07 +/-  3.018639E-10
1.060500E+03 1.057242E-07 +/-  3.008462E-10
1.061500E+03 1.052192E-07 +/-  3.001617E-10
1.062500E+03 1.041906E-07 +/-  2.990972E-10
