 d,D -> m,M
x-axis: "Mass{p3+p4}&"  from 20.000000 to 320.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.315000E+02 4.449664E-03 +/-  1.077967E-05
1.325000E+02 4.365900E-03 +/-  1.051453E-05
1.335000E+02 4.269847E-03 +/-  1.019328E-05
1.345000E+02 4.201797E-03 +/-  9.991212E-06
1.355000E+02 4.110928E-03 +/-  9.786599E-06
1.365000E+02 4.034775E-03 +/-  9.603156E-06
1.375000E+02 3.957558E-03 +/-  9.444747E-06
1.385000E+02 3.882622E-03 +/-  9.304160E-06
1.395000E+02 3.803364E-03 +/-  9.139704E-06
1.405000E+02 3.730417E-03 +/-  8.936233E-06
1.415000E+02 3.650959E-03 +/-  8.676965E-06
1.425000E+02 3.585493E-03 +/-  8.513913E-06
1.435000E+02 3.507835E-03 +/-  8.348869E-06
1.445000E+02 3.434183E-03 +/-  8.323367E-06
1.455000E+02 3.374138E-03 +/-  8.156544E-06
1.465000E+02 3.291502E-03 +/-  7.970085E-06
1.475000E+02 3.236558E-03 +/-  7.811403E-06
1.485000E+02 3.167175E-03 +/-  7.618819E-06
1.495000E+02 3.100907E-03 +/-  7.496802E-06
1.505000E+02 3.041331E-03 +/-  7.356708E-06
1.515000E+02 2.978233E-03 +/-  7.297485E-06
1.525000E+02 2.919114E-03 +/-  7.183364E-06
1.535000E+02 2.852747E-03 +/-  7.007770E-06
1.545000E+02 2.802965E-03 +/-  6.892994E-06
1.555000E+02 2.738411E-03 +/-  6.769557E-06
1.565000E+02 2.680816E-03 +/-  6.620593E-06
1.575000E+02 2.629171E-03 +/-  6.489460E-06
1.585000E+02 2.581988E-03 +/-  6.415179E-06
1.595000E+02 2.522176E-03 +/-  6.322491E-06
1.605000E+02 2.474834E-03 +/-  6.230574E-06
1.615000E+02 2.415685E-03 +/-  6.092225E-06
1.625000E+02 2.371340E-03 +/-  6.001134E-06
1.635000E+02 2.325836E-03 +/-  5.952066E-06
1.645000E+02 2.278296E-03 +/-  5.836293E-06
1.655000E+02 2.225691E-03 +/-  5.722051E-06
1.665000E+02 2.186829E-03 +/-  5.636118E-06
1.675000E+02 2.137052E-03 +/-  5.542287E-06
1.685000E+02 2.102830E-03 +/-  5.486376E-06
1.695000E+02 2.063141E-03 +/-  5.402647E-06
1.705000E+02 2.004525E-03 +/-  5.278927E-06
1.715000E+02 1.974368E-03 +/-  5.209910E-06
