 d,D -> m,M
x-axis: "Mass{p3+p4}$"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.315000E+02 9.291338E-05 +/-  2.594548E-07
4.325000E+02 9.098822E-05 +/-  2.546368E-07
4.335000E+02 9.058340E-05 +/-  2.532781E-07
4.345000E+02 8.992419E-05 +/-  2.533846E-07
4.355000E+02 8.874217E-05 +/-  2.514416E-07
4.365000E+02 8.805901E-05 +/-  2.492530E-07
4.375000E+02 8.690975E-05 +/-  2.474116E-07
4.385000E+02 8.614913E-05 +/-  2.448916E-07
4.395000E+02 8.535377E-05 +/-  2.423663E-07
4.405000E+02 8.438190E-05 +/-  2.402702E-07
4.415000E+02 8.371018E-05 +/-  2.413771E-07
4.425000E+02 8.263064E-05 +/-  2.386255E-07
4.435000E+02 8.196346E-05 +/-  2.361249E-07
4.445000E+02 8.089970E-05 +/-  2.349450E-07
4.455000E+02 8.037856E-05 +/-  2.326393E-07
4.465000E+02 7.940656E-05 +/-  2.301579E-07
4.475000E+02 7.858737E-05 +/-  2.278551E-07
4.485000E+02 7.796048E-05 +/-  2.294898E-07
4.495000E+02 7.720174E-05 +/-  2.272500E-07
4.505000E+02 7.656548E-05 +/-  2.248818E-07
4.515000E+02 7.571620E-05 +/-  2.235314E-07
4.525000E+02 7.487444E-05 +/-  2.215053E-07
4.535000E+02 7.421295E-05 +/-  2.192533E-07
4.545000E+02 7.352856E-05 +/-  2.169109E-07
4.555000E+02 7.263376E-05 +/-  2.171394E-07
4.565000E+02 7.220396E-05 +/-  2.168982E-07
4.575000E+02 7.131101E-05 +/-  2.142539E-07
4.585000E+02 7.033593E-05 +/-  2.114873E-07
4.595000E+02 6.992828E-05 +/-  2.109633E-07
4.605000E+02 6.928009E-05 +/-  2.092423E-07
4.615000E+02 6.896717E-05 +/-  2.077463E-07
4.625000E+02 6.794381E-05 +/-  2.055710E-07
4.635000E+02 6.734167E-05 +/-  2.047923E-07
4.645000E+02 6.684039E-05 +/-  2.053962E-07
4.655000E+02 6.590224E-05 +/-  2.025312E-07
4.665000E+02 6.555405E-05 +/-  2.011098E-07
4.675000E+02 6.473555E-05 +/-  1.987121E-07
4.685000E+02 6.416202E-05 +/-  1.985063E-07
4.695000E+02 6.376720E-05 +/-  1.969527E-07
4.705000E+02 6.303465E-05 +/-  1.953150E-07
4.715000E+02 6.252002E-05 +/-  1.936338E-07
4.725000E+02 6.167762E-05 +/-  1.928439E-07
4.735000E+02 6.107989E-05 +/-  1.926525E-07
4.745000E+02 6.041346E-05 +/-  1.905553E-07
4.755000E+02 6.027047E-05 +/-  1.892134E-07
4.765000E+02 5.955800E-05 +/-  1.870413E-07
4.775000E+02 5.901930E-05 +/-  1.872347E-07
4.785000E+02 5.845271E-05 +/-  1.859195E-07
4.795000E+02 5.801334E-05 +/-  1.843512E-07
4.805000E+02 5.730680E-05 +/-  1.819797E-07
4.815000E+02 5.684054E-05 +/-  1.813128E-07
4.825000E+02 5.632287E-05 +/-  1.806628E-07
4.835000E+02 5.587537E-05 +/-  1.803990E-07
4.845000E+02 5.520463E-05 +/-  1.782215E-07
4.855000E+02 5.467657E-05 +/-  1.767161E-07
4.865000E+02 5.425402E-05 +/-  1.754656E-07
4.875000E+02 5.404160E-05 +/-  1.757076E-07
4.885000E+02 5.362268E-05 +/-  1.744955E-07
4.895000E+02 5.283505E-05 +/-  1.721884E-07
4.905000E+02 5.234073E-05 +/-  1.705897E-07
4.915000E+02 5.192770E-05 +/-  1.703156E-07
4.925000E+02 5.135253E-05 +/-  1.684095E-07
4.935000E+02 5.067003E-05 +/-  1.679130E-07
4.945000E+02 5.029847E-05 +/-  1.678475E-07
4.955000E+02 5.035897E-05 +/-  1.670609E-07
4.965000E+02 4.947183E-05 +/-  1.645570E-07
4.975000E+02 4.914831E-05 +/-  1.632651E-07
4.985000E+02 4.894113E-05 +/-  1.638709E-07
4.995000E+02 4.803692E-05 +/-  1.617043E-07
5.005000E+02 4.802522E-05 +/-  1.609062E-07
5.015000E+02 4.728261E-05 +/-  1.597094E-07
5.025000E+02 4.721352E-05 +/-  1.597326E-07
5.035000E+02 4.653941E-05 +/-  1.578192E-07
5.045000E+02 4.605436E-05 +/-  1.561568E-07
5.055000E+02 4.571340E-05 +/-  1.562141E-07
5.065000E+02 4.540993E-05 +/-  1.558329E-07
5.075000E+02 4.512700E-05 +/-  1.545165E-07
5.085000E+02 4.459201E-05 +/-  1.528543E-07
5.095000E+02 4.432367E-05 +/-  1.515257E-07
5.105000E+02 4.376030E-05 +/-  1.515327E-07
5.115000E+02 4.339199E-05 +/-  1.510873E-07
5.125000E+02 4.305427E-05 +/-  1.502986E-07
5.135000E+02 4.260401E-05 +/-  1.495524E-07
5.145000E+02 4.242113E-05 +/-  1.484866E-07
5.155000E+02 4.194494E-05 +/-  1.468671E-07
5.165000E+02 4.150734E-05 +/-  1.452690E-07
5.175000E+02 4.133280E-05 +/-  1.441766E-07
5.185000E+02 4.098961E-05 +/-  1.436375E-07
5.195000E+02 4.034261E-05 +/-  1.434946E-07
5.205000E+02 4.016667E-05 +/-  1.428655E-07
5.215000E+02 3.977401E-05 +/-  1.414324E-07
5.225000E+02 3.960870E-05 +/-  1.404067E-07
5.235000E+02 3.919958E-05 +/-  1.400972E-07
5.245000E+02 3.906386E-05 +/-  1.406301E-07
5.255000E+02 3.859153E-05 +/-  1.398794E-07
5.265000E+02 3.804400E-05 +/-  1.381106E-07
5.275000E+02 3.766687E-05 +/-  1.367028E-07
5.285000E+02 3.783529E-05 +/-  1.365099E-07
5.295000E+02 3.707010E-05 +/-  1.345726E-07
5.305000E+02 3.681768E-05 +/-  1.335007E-07
5.315000E+02 3.665947E-05 +/-  1.326595E-07
5.325000E+02 3.637426E-05 +/-  1.313663E-07
5.335000E+02 3.612421E-05 +/-  1.313978E-07
5.345000E+02 3.564894E-05 +/-  1.314079E-07
5.355000E+02 3.531126E-05 +/-  1.302633E-07
5.365000E+02 3.512016E-05 +/-  1.291947E-07
5.375000E+02 3.476234E-05 +/-  1.286540E-07
5.385000E+02 3.461570E-05 +/-  1.308411E-07
5.395000E+02 3.409736E-05 +/-  1.297949E-07
5.405000E+02 3.406874E-05 +/-  1.291029E-07
5.415000E+02 3.370337E-05 +/-  1.277624E-07
5.425000E+02 3.332158E-05 +/-  1.262926E-07
5.435000E+02 3.317611E-05 +/-  1.254979E-07
5.445000E+02 3.297818E-05 +/-  1.243746E-07
5.455000E+02 3.257703E-05 +/-  1.230521E-07
5.465000E+02 3.225790E-05 +/-  1.219564E-07
5.475000E+02 3.193036E-05 +/-  1.207672E-07
5.485000E+02 3.187311E-05 +/-  1.203708E-07
5.495000E+02 3.171461E-05 +/-  1.193964E-07
5.505000E+02 3.129777E-05 +/-  1.187825E-07
5.515000E+02 3.081047E-05 +/-  1.198303E-07
5.525000E+02 3.083018E-05 +/-  1.199220E-07
5.535000E+02 3.045236E-05 +/-  1.186723E-07
5.545000E+02 3.040173E-05 +/-  1.179993E-07
5.555000E+02 3.008529E-05 +/-  1.188504E-07
5.565000E+02 2.991988E-05 +/-  1.180664E-07
5.575000E+02 2.951251E-05 +/-  1.168306E-07
