 u,U -> u,U
x-axis: "Mass{p3+p4}a"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.984000E+02 3.555651E+00 +/-  1.560126E-01
2.000000E+02 3.519539E+00 +/-  1.540177E-01
2.016000E+02 3.573055E+00 +/-  1.559654E-01
2.032000E+02 3.023843E+00 +/-  1.292583E-01
2.048000E+02 3.169129E+00 +/-  1.371713E-01
2.064000E+02 3.103505E+00 +/-  1.318632E-01
2.080000E+02 2.918985E+00 +/-  1.223517E-01
2.096000E+02 2.819599E+00 +/-  1.177226E-01
2.112000E+02 2.678084E+00 +/-  1.100528E-01
2.128000E+02 2.573276E+00 +/-  1.095060E-01
2.144000E+02 2.515656E+00 +/-  1.022081E-01
2.160000E+02 2.554294E+00 +/-  1.043448E-01
2.176000E+02 2.486665E+00 +/-  1.020455E-01
2.192000E+02 2.361447E+00 +/-  9.863269E-02
2.208000E+02 2.226442E+00 +/-  8.970538E-02
2.224000E+02 2.225738E+00 +/-  9.251325E-02
2.240000E+02 2.016196E+00 +/-  7.960288E-02
2.256000E+02 2.077475E+00 +/-  8.426538E-02
2.272000E+02 2.081212E+00 +/-  8.602259E-02
2.288000E+02 1.902963E+00 +/-  7.661641E-02
2.304000E+02 1.971450E+00 +/-  7.917976E-02
2.320000E+02 1.920067E+00 +/-  7.620660E-02
2.336000E+02 1.810589E+00 +/-  6.897934E-02
2.352000E+02 1.872505E+00 +/-  7.587216E-02
2.368000E+02 1.707749E+00 +/-  6.800630E-02
2.384000E+02 1.651686E+00 +/-  6.466776E-02
2.400000E+02 1.610386E+00 +/-  6.417112E-02
2.416000E+02 1.701923E+00 +/-  6.691978E-02
2.432000E+02 1.417814E+00 +/-  5.622176E-02
2.448000E+02 1.500395E+00 +/-  5.842517E-02
2.464000E+02 1.483613E+00 +/-  5.770472E-02
2.480000E+02 1.395529E+00 +/-  5.473413E-02
2.496000E+02 1.412762E+00 +/-  5.531075E-02
2.512000E+02 1.334746E+00 +/-  5.352515E-02
2.528000E+02 1.313563E+00 +/-  5.269490E-02
2.544000E+02 1.297483E+00 +/-  5.156800E-02
2.560000E+02 1.226228E+00 +/-  4.946617E-02
2.576000E+02 1.161664E+00 +/-  4.573651E-02
2.592000E+02 1.152171E+00 +/-  4.589891E-02
2.608000E+02 1.173355E+00 +/-  4.461243E-02
2.624000E+02 1.117967E+00 +/-  4.563283E-02
2.640000E+02 1.048462E+00 +/-  4.100741E-02
2.656000E+02 1.053519E+00 +/-  4.170458E-02
2.672000E+02 1.001138E+00 +/-  3.925687E-02
2.688000E+02 1.014048E+00 +/-  3.893096E-02
2.704000E+02 9.896616E-01 +/-  3.913714E-02
2.720000E+02 9.977789E-01 +/-  3.878527E-02
2.736000E+02 9.301706E-01 +/-  3.599154E-02
2.752000E+02 9.449120E-01 +/-  3.612054E-02
2.768000E+02 8.652405E-01 +/-  3.315072E-02
2.784000E+02 8.817678E-01 +/-  3.462197E-02
2.800000E+02 8.220150E-01 +/-  3.145903E-02
2.816000E+02 8.241075E-01 +/-  3.255580E-02
2.832000E+02 8.277670E-01 +/-  3.202444E-02
2.848000E+02 7.705486E-01 +/-  2.946690E-02
2.864000E+02 8.047700E-01 +/-  3.032497E-02
2.880000E+02 7.430850E-01 +/-  2.710349E-02
2.896000E+02 7.668017E-01 +/-  2.873438E-02
2.912000E+02 7.273274E-01 +/-  2.779968E-02
2.928000E+02 6.951905E-01 +/-  2.582598E-02
2.944000E+02 6.598760E-01 +/-  2.408126E-02
2.960000E+02 6.700460E-01 +/-  2.487490E-02
2.976000E+02 6.869535E-01 +/-  2.560574E-02
2.992000E+02 6.133356E-01 +/-  2.320200E-02
3.008000E+02 6.512847E-01 +/-  2.443209E-02
