 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 4.893577E-03 +/-  1.176578E-05
9.215000E+02 4.884327E-03 +/-  1.175222E-05
9.225000E+02 4.845333E-03 +/-  1.164472E-05
9.235000E+02 4.838959E-03 +/-  1.163183E-05
9.245000E+02 4.804038E-03 +/-  1.156457E-05
9.255000E+02 4.777772E-03 +/-  1.148177E-05
9.265000E+02 4.760058E-03 +/-  1.145163E-05
9.275000E+02 4.736803E-03 +/-  1.142238E-05
9.285000E+02 4.704516E-03 +/-  1.135302E-05
9.295000E+02 4.693835E-03 +/-  1.130904E-05
9.305000E+02 4.663708E-03 +/-  1.127280E-05
9.315000E+02 4.639767E-03 +/-  1.121562E-05
9.325000E+02 4.607404E-03 +/-  1.118638E-05
9.335000E+02 4.605444E-03 +/-  1.113752E-05
9.345000E+02 4.565740E-03 +/-  1.108867E-05
9.355000E+02 4.554057E-03 +/-  1.103550E-05
9.365000E+02 4.521837E-03 +/-  1.096546E-05
9.375000E+02 4.506435E-03 +/-  1.096319E-05
9.385000E+02 4.488496E-03 +/-  1.092911E-05
9.395000E+02 4.465762E-03 +/-  1.087041E-05
9.405000E+02 4.439029E-03 +/-  1.085235E-05
9.415000E+02 4.413690E-03 +/-  1.078089E-05
9.425000E+02 4.383301E-03 +/-  1.072172E-05
9.435000E+02 4.386845E-03 +/-  1.072524E-05
9.445000E+02 4.355318E-03 +/-  1.064703E-05
9.455000E+02 4.328026E-03 +/-  1.062429E-05
9.465000E+02 4.317192E-03 +/-  1.059806E-05
9.475000E+02 4.277171E-03 +/-  1.049936E-05
9.485000E+02 4.275364E-03 +/-  1.051056E-05
9.495000E+02 4.248863E-03 +/-  1.047589E-05
9.505000E+02 4.228028E-03 +/-  1.041815E-05
9.515000E+02 4.213995E-03 +/-  1.037681E-05
9.525000E+02 4.173994E-03 +/-  1.034137E-05
9.535000E+02 4.179177E-03 +/-  1.032864E-05
9.545000E+02 4.143207E-03 +/-  1.025928E-05
9.555000E+02 4.122582E-03 +/-  1.022421E-05
9.565000E+02 4.109268E-03 +/-  1.017859E-05
9.575000E+02 4.085325E-03 +/-  1.015460E-05
9.585000E+02 4.059138E-03 +/-  1.009125E-05
9.595000E+02 4.054069E-03 +/-  1.008289E-05
9.605000E+02 4.022255E-03 +/-  1.000894E-05
9.615000E+02 4.020836E-03 +/-  1.001327E-05
9.625000E+02 3.987294E-03 +/-  9.958239E-06
9.635000E+02 3.974422E-03 +/-  9.929787E-06
9.645000E+02 3.940683E-03 +/-  9.867560E-06
9.655000E+02 3.938317E-03 +/-  9.852220E-06
9.665000E+02 3.921874E-03 +/-  9.826865E-06
9.675000E+02 3.889634E-03 +/-  9.765200E-06
9.685000E+02 3.882971E-03 +/-  9.761078E-06
9.695000E+02 3.854316E-03 +/-  9.693001E-06
9.705000E+02 3.840315E-03 +/-  9.653221E-06
9.715000E+02 3.818349E-03 +/-  9.631955E-06
9.725000E+02 3.801147E-03 +/-  9.589590E-06
9.735000E+02 3.791936E-03 +/-  9.580896E-06
9.745000E+02 3.765288E-03 +/-  9.511540E-06
9.755000E+02 3.746217E-03 +/-  9.466944E-06
9.765000E+02 3.733669E-03 +/-  9.471606E-06
9.775000E+02 3.708420E-03 +/-  9.388198E-06
9.785000E+02 3.692197E-03 +/-  9.369271E-06
9.795000E+02 3.677438E-03 +/-  9.339570E-06
9.805000E+02 3.673092E-03 +/-  9.339215E-06
9.815000E+02 3.641500E-03 +/-  9.284774E-06
9.825000E+02 3.624153E-03 +/-  9.243716E-06
9.835000E+02 3.603635E-03 +/-  9.203749E-06
9.845000E+02 3.601251E-03 +/-  9.192224E-06
9.855000E+02 3.567563E-03 +/-  9.135616E-06
9.865000E+02 3.563306E-03 +/-  9.130444E-06
9.875000E+02 3.536404E-03 +/-  9.069522E-06
9.885000E+02 3.537386E-03 +/-  9.063499E-06
9.895000E+02 3.504373E-03 +/-  9.012753E-06
9.905000E+02 3.492357E-03 +/-  8.989071E-06
9.915000E+02 3.477179E-03 +/-  8.945243E-06
9.925000E+02 3.452104E-03 +/-  8.907639E-06
9.935000E+02 3.439267E-03 +/-  8.863888E-06
9.945000E+02 3.435039E-03 +/-  8.870117E-06
9.955000E+02 3.406982E-03 +/-  8.814725E-06
9.965000E+02 3.394911E-03 +/-  8.779415E-06
9.975000E+02 3.373817E-03 +/-  8.756050E-06
9.985000E+02 3.374105E-03 +/-  8.725409E-06
9.995000E+02 3.337724E-03 +/-  8.678387E-06
1.000500E+03 3.331861E-03 +/-  8.661736E-06
1.001500E+03 3.328745E-03 +/-  8.655512E-06
1.002500E+03 3.301406E-03 +/-  8.603208E-06
1.003500E+03 3.285046E-03 +/-  8.582378E-06
1.004500E+03 3.276281E-03 +/-  8.547809E-06
1.005500E+03 3.249761E-03 +/-  8.500995E-06
1.006500E+03 3.239119E-03 +/-  8.476225E-06
1.007500E+03 3.226251E-03 +/-  8.456010E-06
1.008500E+03 3.201805E-03 +/-  8.410633E-06
1.009500E+03 3.205924E-03 +/-  8.425976E-06
1.010500E+03 3.180051E-03 +/-  8.353344E-06
1.011500E+03 3.168828E-03 +/-  8.332530E-06
1.012500E+03 3.149831E-03 +/-  8.305517E-06
1.013500E+03 3.136036E-03 +/-  8.276768E-06
1.014500E+03 3.128641E-03 +/-  8.254706E-06
1.015500E+03 3.098138E-03 +/-  8.201625E-06
1.016500E+03 3.104413E-03 +/-  8.196106E-06
1.017500E+03 3.079639E-03 +/-  8.162414E-06
1.018500E+03 3.071214E-03 +/-  8.154733E-06
1.019500E+03 3.054231E-03 +/-  8.122436E-06
1.020500E+03 3.035781E-03 +/-  8.068544E-06
1.021500E+03 3.017846E-03 +/-  8.018514E-06
1.022500E+03 3.014621E-03 +/-  8.030535E-06
1.023500E+03 2.996323E-03 +/-  7.994894E-06
1.024500E+03 2.975525E-03 +/-  7.975290E-06
1.025500E+03 2.978393E-03 +/-  7.948057E-06
1.026500E+03 2.956300E-03 +/-  7.908226E-06
