 c,C -> m,M
x-axis: "Mass{p3+p4}$"  from 620.000000 to 920.000000 N_bins= 300
Diff. cross section [pb/GeV]
6.205000E+02 8.231853E-07 +/-  1.903097E-09
6.215000E+02 8.174477E-07 +/-  1.891588E-09
6.225000E+02 8.086460E-07 +/-  1.873511E-09
6.235000E+02 7.998675E-07 +/-  1.847593E-09
6.245000E+02 7.958706E-07 +/-  1.837399E-09
6.255000E+02 7.867126E-07 +/-  1.820507E-09
6.265000E+02 7.804106E-07 +/-  1.806871E-09
6.275000E+02 7.714167E-07 +/-  1.792618E-09
6.285000E+02 7.675831E-07 +/-  1.783969E-09
6.295000E+02 7.594761E-07 +/-  1.768329E-09
6.305000E+02 7.540704E-07 +/-  1.754251E-09
6.315000E+02 7.459065E-07 +/-  1.739692E-09
6.325000E+02 7.379023E-07 +/-  1.717985E-09
6.335000E+02 7.344357E-07 +/-  1.710548E-09
6.345000E+02 7.263941E-07 +/-  1.697350E-09
6.355000E+02 7.195465E-07 +/-  1.693114E-09
6.365000E+02 7.129426E-07 +/-  1.674624E-09
6.375000E+02 7.059258E-07 +/-  1.665032E-09
6.385000E+02 7.011906E-07 +/-  1.648607E-09
6.395000E+02 6.954033E-07 +/-  1.640451E-09
6.405000E+02 6.900904E-07 +/-  1.626997E-09
6.415000E+02 6.820649E-07 +/-  1.610510E-09
6.425000E+02 6.767095E-07 +/-  1.606456E-09
6.435000E+02 6.706140E-07 +/-  1.595781E-09
6.445000E+02 6.644578E-07 +/-  1.576546E-09
6.455000E+02 6.603543E-07 +/-  1.575221E-09
6.465000E+02 6.527650E-07 +/-  1.554091E-09
6.475000E+02 6.484983E-07 +/-  1.544931E-09
6.485000E+02 6.400113E-07 +/-  1.531369E-09
6.495000E+02 6.368782E-07 +/-  1.527982E-09
6.505000E+02 6.315255E-07 +/-  1.516789E-09
6.515000E+02 6.263380E-07 +/-  1.505230E-09
6.525000E+02 6.175505E-07 +/-  1.481754E-09
6.535000E+02 6.167085E-07 +/-  1.486781E-09
6.545000E+02 6.101705E-07 +/-  1.473147E-09
6.555000E+02 6.033192E-07 +/-  1.454249E-09
6.565000E+02 5.997772E-07 +/-  1.456225E-09
6.575000E+02 5.935353E-07 +/-  1.446288E-09
6.585000E+02 5.883253E-07 +/-  1.431017E-09
6.595000E+02 5.833173E-07 +/-  1.418695E-09
6.605000E+02 5.797022E-07 +/-  1.413543E-09
6.615000E+02 5.730116E-07 +/-  1.399675E-09
6.625000E+02 5.685616E-07 +/-  1.384048E-09
6.635000E+02 5.637228E-07 +/-  1.382980E-09
6.645000E+02 5.603665E-07 +/-  1.380268E-09
6.655000E+02 5.532212E-07 +/-  1.361545E-09
6.665000E+02 5.510682E-07 +/-  1.358559E-09
6.675000E+02 5.439952E-07 +/-  1.343272E-09
