 c,C -> m,M
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.220500E+03 1.402947E-08 +/-  3.389452E-11
1.221500E+03 1.389292E-08 +/-  3.361029E-11
1.222500E+03 1.385398E-08 +/-  3.339524E-11
1.223500E+03 1.377126E-08 +/-  3.336171E-11
1.224500E+03 1.372958E-08 +/-  3.313140E-11
1.225500E+03 1.360579E-08 +/-  3.301152E-11
1.226500E+03 1.357047E-08 +/-  3.279222E-11
1.227500E+03 1.350420E-08 +/-  3.274208E-11
1.228500E+03 1.343869E-08 +/-  3.255541E-11
1.229500E+03 1.332537E-08 +/-  3.238132E-11
1.230500E+03 1.331240E-08 +/-  3.242745E-11
1.231500E+03 1.316659E-08 +/-  3.202263E-11
1.232500E+03 1.315694E-08 +/-  3.200758E-11
1.233500E+03 1.305097E-08 +/-  3.181746E-11
1.234500E+03 1.299118E-08 +/-  3.168014E-11
1.235500E+03 1.293035E-08 +/-  3.156917E-11
1.236500E+03 1.288265E-08 +/-  3.151672E-11
1.237500E+03 1.278900E-08 +/-  3.130350E-11
1.238500E+03 1.272287E-08 +/-  3.119670E-11
1.239500E+03 1.268416E-08 +/-  3.111168E-11
1.240500E+03 1.253066E-08 +/-  3.084645E-11
1.241500E+03 1.255436E-08 +/-  3.091369E-11
1.242500E+03 1.245667E-08 +/-  3.066528E-11
1.243500E+03 1.239963E-08 +/-  3.056537E-11
1.244500E+03 1.234479E-08 +/-  3.046816E-11
1.245500E+03 1.224570E-08 +/-  3.018618E-11
1.246500E+03 1.219637E-08 +/-  3.013754E-11
1.247500E+03 1.215875E-08 +/-  3.014729E-11
1.248500E+03 1.204680E-08 +/-  2.988603E-11
1.249500E+03 1.200377E-08 +/-  2.975561E-11
1.250500E+03 1.194465E-08 +/-  2.971544E-11
1.251500E+03 1.186971E-08 +/-  2.958641E-11
1.252500E+03 1.183555E-08 +/-  2.949600E-11
1.253500E+03 1.174317E-08 +/-  2.925038E-11
1.254500E+03 1.173383E-08 +/-  2.934700E-11
1.255500E+03 1.159709E-08 +/-  2.889075E-11
1.256500E+03 1.159442E-08 +/-  2.903419E-11
1.257500E+03 1.150160E-08 +/-  2.879944E-11
1.258500E+03 1.147157E-08 +/-  2.870942E-11
1.259500E+03 1.138878E-08 +/-  2.858553E-11
1.260500E+03 1.133780E-08 +/-  2.853205E-11
1.261500E+03 1.128762E-08 +/-  2.840037E-11
1.262500E+03 1.120190E-08 +/-  2.827398E-11
1.263500E+03 1.116123E-08 +/-  2.810416E-11
1.264500E+03 1.107984E-08 +/-  2.804509E-11
1.265500E+03 1.110531E-08 +/-  2.812055E-11
1.266500E+03 1.094370E-08 +/-  2.768891E-11
1.267500E+03 1.094594E-08 +/-  2.774768E-11
1.268500E+03 1.083446E-08 +/-  2.745414E-11
1.269500E+03 1.082081E-08 +/-  2.748520E-11
1.270500E+03 1.077380E-08 +/-  2.738852E-11
1.271500E+03 1.068908E-08 +/-  2.716843E-11
1.272500E+03 1.062206E-08 +/-  2.712615E-11
1.273500E+03 1.059707E-08 +/-  2.699761E-11
1.274500E+03 1.054901E-08 +/-  2.698053E-11
1.275500E+03 1.047999E-08 +/-  2.678145E-11
1.276500E+03 1.044716E-08 +/-  2.674227E-11
1.277500E+03 1.037281E-08 +/-  2.662273E-11
1.278500E+03 1.029806E-08 +/-  2.643740E-11
1.279500E+03 1.026780E-08 +/-  2.641504E-11
1.280500E+03 1.024320E-08 +/-  2.635290E-11
