 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 -6.191489E-03 +/-  1.469325E-05
1.521500E+03 -6.165003E-03 +/-  1.462268E-05
1.522500E+03 -6.123917E-03 +/-  1.454193E-05
1.523500E+03 -6.118427E-03 +/-  1.450928E-05
1.524500E+03 -6.104068E-03 +/-  1.448919E-05
1.525500E+03 -6.033562E-03 +/-  1.433084E-05
1.526500E+03 -6.055828E-03 +/-  1.438279E-05
1.527500E+03 -5.990982E-03 +/-  1.424109E-05
1.528500E+03 -5.968595E-03 +/-  1.421419E-05
1.529500E+03 -5.956785E-03 +/-  1.418531E-05
1.530500E+03 -5.916881E-03 +/-  1.410588E-05
1.531500E+03 -5.905330E-03 +/-  1.411040E-05
1.532500E+03 -5.875451E-03 +/-  1.404275E-05
1.533500E+03 -5.845186E-03 +/-  1.400294E-05
1.534500E+03 -5.823576E-03 +/-  1.396185E-05
1.535500E+03 -5.791498E-03 +/-  1.386902E-05
1.536500E+03 -5.773701E-03 +/-  1.384642E-05
1.537500E+03 -5.743371E-03 +/-  1.379754E-05
1.538500E+03 -5.723866E-03 +/-  1.378365E-05
1.539500E+03 -5.706219E-03 +/-  1.371760E-05
1.540500E+03 -5.660901E-03 +/-  1.363172E-05
1.541500E+03 -5.648262E-03 +/-  1.363358E-05
1.542500E+03 -5.617965E-03 +/-  1.357707E-05
1.543500E+03 -5.611312E-03 +/-  1.353967E-05
1.544500E+03 -5.569373E-03 +/-  1.346209E-05
1.545500E+03 -5.529582E-03 +/-  1.342010E-05
1.546500E+03 -5.536040E-03 +/-  1.344176E-05
1.547500E+03 -5.489282E-03 +/-  1.332384E-05
1.548500E+03 -5.477295E-03 +/-  1.329543E-05
1.549500E+03 -5.467779E-03 +/-  1.329274E-05
1.550500E+03 -5.423769E-03 +/-  1.322270E-05
1.551500E+03 -5.415753E-03 +/-  1.318505E-05
1.552500E+03 -5.366326E-03 +/-  1.307245E-05
1.553500E+03 -5.356127E-03 +/-  1.307765E-05
1.554500E+03 -5.331203E-03 +/-  1.304500E-05
1.555500E+03 -5.318423E-03 +/-  1.302561E-05
1.556500E+03 -5.294494E-03 +/-  1.294378E-05
1.557500E+03 -5.258888E-03 +/-  1.289805E-05
1.558500E+03 -5.249792E-03 +/-  1.291331E-05
1.559500E+03 -5.223678E-03 +/-  1.285132E-05
1.560500E+03 -5.183118E-03 +/-  1.274717E-05
1.561500E+03 -5.179729E-03 +/-  1.276995E-05
1.562500E+03 -5.163787E-03 +/-  1.272857E-05
1.563500E+03 -5.115168E-03 +/-  1.264849E-05
1.564500E+03 -5.103048E-03 +/-  1.260323E-05
1.565500E+03 -5.098651E-03 +/-  1.260106E-05
1.566500E+03 -5.055451E-03 +/-  1.252539E-05
1.567500E+03 -5.055216E-03 +/-  1.252616E-05
1.568500E+03 -5.010376E-03 +/-  1.243231E-05
1.569500E+03 -5.017701E-03 +/-  1.244792E-05
1.570500E+03 -4.971970E-03 +/-  1.235495E-05
1.571500E+03 -4.954441E-03 +/-  1.233096E-05
1.572500E+03 -4.936509E-03 +/-  1.231491E-05
1.573500E+03 -4.918644E-03 +/-  1.228341E-05
1.574500E+03 -4.881408E-03 +/-  1.220854E-05
1.575500E+03 -4.877831E-03 +/-  1.218443E-05
1.576500E+03 -4.851149E-03 +/-  1.214163E-05
1.577500E+03 -4.831960E-03 +/-  1.211678E-05
1.578500E+03 -4.807100E-03 +/-  1.206273E-05
1.579500E+03 -4.799122E-03 +/-  1.204494E-05
1.580500E+03 -4.749327E-03 +/-  1.196547E-05
1.581500E+03 -4.764766E-03 +/-  1.196873E-05
1.582500E+03 -4.711275E-03 +/-  1.187569E-05
1.583500E+03 -4.710574E-03 +/-  1.187629E-05
1.584500E+03 -4.688662E-03 +/-  1.184595E-05
1.585500E+03 -4.671676E-03 +/-  1.179355E-05
1.586500E+03 -4.638163E-03 +/-  1.172728E-05
1.587500E+03 -4.622929E-03 +/-  1.172671E-05
1.588500E+03 -4.623125E-03 +/-  1.170801E-05
1.589500E+03 -4.578967E-03 +/-  1.163252E-05
1.590500E+03 -4.566656E-03 +/-  1.158390E-05
1.591500E+03 -4.557156E-03 +/-  1.158704E-05
1.592500E+03 -4.510674E-03 +/-  1.152140E-05
1.593500E+03 -4.532829E-03 +/-  1.153044E-05
1.594500E+03 -4.475429E-03 +/-  1.144316E-05
