 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 620.000000 to 920.000000 N_bins= 300
Diff. cross section [pb/GeV]
6.205000E+02 2.851940E-02 +/-  6.690525E-05
6.215000E+02 2.829272E-02 +/-  6.640974E-05
6.225000E+02 2.803617E-02 +/-  6.561792E-05
6.235000E+02 2.795305E-02 +/-  6.542334E-05
6.245000E+02 2.774800E-02 +/-  6.517696E-05
6.255000E+02 2.756788E-02 +/-  6.454085E-05
6.265000E+02 2.732301E-02 +/-  6.413704E-05
6.275000E+02 2.715697E-02 +/-  6.392296E-05
6.285000E+02 2.696283E-02 +/-  6.354426E-05
6.295000E+02 2.678107E-02 +/-  6.300136E-05
6.305000E+02 2.658368E-02 +/-  6.263805E-05
6.315000E+02 2.649137E-02 +/-  6.242056E-05
6.325000E+02 2.614532E-02 +/-  6.169666E-05
6.335000E+02 2.605403E-02 +/-  6.146314E-05
6.345000E+02 2.585655E-02 +/-  6.128053E-05
6.355000E+02 2.578054E-02 +/-  6.134923E-05
6.365000E+02 2.547268E-02 +/-  6.037528E-05
6.375000E+02 2.529925E-02 +/-  6.014132E-05
6.385000E+02 2.517254E-02 +/-  5.979989E-05
6.395000E+02 2.501128E-02 +/-  5.929538E-05
6.405000E+02 2.483134E-02 +/-  5.925303E-05
6.415000E+02 2.468123E-02 +/-  5.909130E-05
6.425000E+02 2.449916E-02 +/-  5.874260E-05
6.435000E+02 2.428693E-02 +/-  5.812611E-05
6.445000E+02 2.424247E-02 +/-  5.822370E-05
6.455000E+02 2.394675E-02 +/-  5.735833E-05
6.465000E+02 2.381248E-02 +/-  5.713227E-05
6.475000E+02 2.366473E-02 +/-  5.685235E-05
6.485000E+02 2.349383E-02 +/-  5.655521E-05
6.495000E+02 2.341151E-02 +/-  5.656963E-05
6.505000E+02 2.321596E-02 +/-  5.622462E-05
6.515000E+02 2.300806E-02 +/-  5.576355E-05
6.525000E+02 2.294559E-02 +/-  5.561858E-05
6.535000E+02 2.274852E-02 +/-  5.516491E-05
6.545000E+02 2.258338E-02 +/-  5.478997E-05
6.555000E+02 2.235598E-02 +/-  5.429280E-05
6.565000E+02 2.233458E-02 +/-  5.433215E-05
6.575000E+02 2.214757E-02 +/-  5.399233E-05
6.585000E+02 2.199829E-02 +/-  5.372114E-05
6.595000E+02 2.183870E-02 +/-  5.341123E-05
6.605000E+02 2.172213E-02 +/-  5.325454E-05
6.615000E+02 2.155094E-02 +/-  5.287590E-05
6.625000E+02 2.139583E-02 +/-  5.245984E-05
6.635000E+02 2.129645E-02 +/-  5.230072E-05
6.645000E+02 2.112852E-02 +/-  5.201706E-05
6.655000E+02 2.101198E-02 +/-  5.175101E-05
6.665000E+02 2.082458E-02 +/-  5.134900E-05
6.675000E+02 2.079126E-02 +/-  5.127261E-05
6.685000E+02 2.059306E-02 +/-  5.088344E-05
6.695000E+02 2.047114E-02 +/-  5.061426E-05
6.705000E+02 2.031068E-02 +/-  5.042721E-05
6.715000E+02 2.017707E-02 +/-  5.023424E-05
6.725000E+02 2.004258E-02 +/-  4.992416E-05
6.735000E+02 1.991639E-02 +/-  4.966477E-05
6.745000E+02 1.980774E-02 +/-  4.935039E-05
6.755000E+02 1.963881E-02 +/-  4.914418E-05
6.765000E+02 1.952532E-02 +/-  4.896060E-05
6.775000E+02 1.942744E-02 +/-  4.858114E-05
6.785000E+02 1.929370E-02 +/-  4.826173E-05
6.795000E+02 1.920666E-02 +/-  4.825331E-05
6.805000E+02 1.901424E-02 +/-  4.788473E-05
6.815000E+02 1.891985E-02 +/-  4.758677E-05
6.825000E+02 1.874595E-02 +/-  4.712138E-05
6.835000E+02 1.871093E-02 +/-  4.723243E-05
6.845000E+02 1.858902E-02 +/-  4.720061E-05
6.855000E+02 1.840127E-02 +/-  4.664993E-05
6.865000E+02 1.829912E-02 +/-  4.638867E-05
6.875000E+02 1.823663E-02 +/-  4.628979E-05
6.885000E+02 1.808754E-02 +/-  4.607757E-05
6.895000E+02 1.798448E-02 +/-  4.597005E-05
6.905000E+02 1.780739E-02 +/-  4.536792E-05
6.915000E+02 1.775029E-02 +/-  4.528826E-05
6.925000E+02 1.767482E-02 +/-  4.518996E-05
6.935000E+02 1.751140E-02 +/-  4.490265E-05
6.945000E+02 1.738078E-02 +/-  4.458618E-05
6.955000E+02 1.725981E-02 +/-  4.427776E-05
6.965000E+02 1.721703E-02 +/-  4.432897E-05
6.975000E+02 1.707013E-02 +/-  4.398011E-05
6.985000E+02 1.697400E-02 +/-  4.377815E-05
6.995000E+02 1.688328E-02 +/-  4.357186E-05
7.005000E+02 1.673661E-02 +/-  4.325136E-05
7.015000E+02 1.664871E-02 +/-  4.317430E-05
7.025000E+02 1.656364E-02 +/-  4.299243E-05
7.035000E+02 1.649352E-02 +/-  4.278984E-05
7.045000E+02 1.633192E-02 +/-  4.252833E-05
7.055000E+02 1.619471E-02 +/-  4.227837E-05
7.065000E+02 1.615807E-02 +/-  4.221508E-05
7.075000E+02 1.605587E-02 +/-  4.197985E-05
7.085000E+02 1.597651E-02 +/-  4.177395E-05
7.095000E+02 1.577388E-02 +/-  4.134368E-05
7.105000E+02 1.576422E-02 +/-  4.140334E-05
7.115000E+02 1.563522E-02 +/-  4.122883E-05
7.125000E+02 1.554538E-02 +/-  4.094961E-05
7.135000E+02 1.543167E-02 +/-  4.062912E-05
7.145000E+02 1.537201E-02 +/-  4.048388E-05
7.155000E+02 1.526116E-02 +/-  4.042286E-05
7.165000E+02 1.515654E-02 +/-  4.022861E-05
7.175000E+02 1.503720E-02 +/-  3.996221E-05
7.185000E+02 1.504571E-02 +/-  3.983701E-05
