 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.331500E+03 2.431234E-08 +/-  6.619807E-11
1.332500E+03 2.416837E-08 +/-  6.590481E-11
1.333500E+03 2.406960E-08 +/-  6.549961E-11
1.334500E+03 2.396452E-08 +/-  6.530258E-11
1.335500E+03 2.377824E-08 +/-  6.519212E-11
1.336500E+03 2.373745E-08 +/-  6.507222E-11
1.337500E+03 2.348042E-08 +/-  6.449889E-11
1.338500E+03 2.348345E-08 +/-  6.443784E-11
1.339500E+03 2.336525E-08 +/-  6.400720E-11
1.340500E+03 2.324734E-08 +/-  6.398747E-11
1.341500E+03 2.308937E-08 +/-  6.390200E-11
1.342500E+03 2.302391E-08 +/-  6.349409E-11
1.343500E+03 2.280517E-08 +/-  6.316379E-11
1.344500E+03 2.275830E-08 +/-  6.285089E-11
1.345500E+03 2.270679E-08 +/-  6.275319E-11
1.346500E+03 2.252863E-08 +/-  6.247966E-11
1.347500E+03 2.241411E-08 +/-  6.243025E-11
1.348500E+03 2.233727E-08 +/-  6.229960E-11
1.349500E+03 2.221051E-08 +/-  6.184062E-11
1.350500E+03 2.209799E-08 +/-  6.156882E-11
1.351500E+03 2.196796E-08 +/-  6.118571E-11
1.352500E+03 2.197367E-08 +/-  6.133966E-11
1.353500E+03 2.168910E-08 +/-  6.090872E-11
1.354500E+03 2.163989E-08 +/-  6.078087E-11
1.355500E+03 2.157936E-08 +/-  6.063939E-11
1.356500E+03 2.146613E-08 +/-  6.020393E-11
1.357500E+03 2.139307E-08 +/-  5.998368E-11
1.358500E+03 2.119357E-08 +/-  5.979678E-11
1.359500E+03 2.114785E-08 +/-  5.963421E-11
1.360500E+03 2.100930E-08 +/-  5.955233E-11
1.361500E+03 2.094959E-08 +/-  5.929093E-11
1.362500E+03 2.074726E-08 +/-  5.887751E-11
1.363500E+03 2.071771E-08 +/-  5.861341E-11
1.364500E+03 2.064775E-08 +/-  5.852944E-11
1.365500E+03 2.049699E-08 +/-  5.832492E-11
1.366500E+03 2.044439E-08 +/-  5.829491E-11
1.367500E+03 2.026460E-08 +/-  5.800924E-11
1.368500E+03 2.027260E-08 +/-  5.780522E-11
1.369500E+03 2.011901E-08 +/-  5.736059E-11
1.370500E+03 2.000481E-08 +/-  5.719930E-11
1.371500E+03 1.992188E-08 +/-  5.706764E-11
1.372500E+03 1.984849E-08 +/-  5.702428E-11
1.373500E+03 1.969864E-08 +/-  5.686140E-11
1.374500E+03 1.963394E-08 +/-  5.653885E-11
1.375500E+03 1.952596E-08 +/-  5.626697E-11
1.376500E+03 1.944065E-08 +/-  5.597174E-11
1.377500E+03 1.932420E-08 +/-  5.573041E-11
1.378500E+03 1.924772E-08 +/-  5.571537E-11
1.379500E+03 1.916663E-08 +/-  5.565548E-11
1.380500E+03 1.901309E-08 +/-  5.533342E-11
1.381500E+03 1.906992E-08 +/-  5.538112E-11
1.382500E+03 1.884904E-08 +/-  5.477104E-11
1.383500E+03 1.880566E-08 +/-  5.461185E-11
1.384500E+03 1.864157E-08 +/-  5.429511E-11
1.385500E+03 1.863670E-08 +/-  5.450421E-11
1.386500E+03 1.855343E-08 +/-  5.424100E-11
1.387500E+03 1.828359E-08 +/-  5.388888E-11
