 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 3.951292E-06 +/-  9.498848E-09
9.215000E+02 3.934848E-06 +/-  9.472606E-09
9.225000E+02 3.900688E-06 +/-  9.364829E-09
9.235000E+02 3.904794E-06 +/-  9.394870E-09
9.245000E+02 3.874250E-06 +/-  9.333619E-09
9.255000E+02 3.847219E-06 +/-  9.246906E-09
9.265000E+02 3.841521E-06 +/-  9.234721E-09
9.275000E+02 3.816370E-06 +/-  9.202116E-09
9.285000E+02 3.786604E-06 +/-  9.132368E-09
9.295000E+02 3.784937E-06 +/-  9.128407E-09
9.305000E+02 3.751818E-06 +/-  9.045850E-09
9.315000E+02 3.744540E-06 +/-  9.075984E-09
9.325000E+02 3.726584E-06 +/-  9.015748E-09
9.335000E+02 3.700723E-06 +/-  8.958015E-09
9.345000E+02 3.700854E-06 +/-  8.980499E-09
9.355000E+02 3.654813E-06 +/-  8.865638E-09
9.365000E+02 3.654084E-06 +/-  8.873059E-09
9.375000E+02 3.624507E-06 +/-  8.814099E-09
9.385000E+02 3.619024E-06 +/-  8.808323E-09
9.395000E+02 3.594433E-06 +/-  8.756534E-09
9.405000E+02 3.581434E-06 +/-  8.732720E-09
9.415000E+02 3.568898E-06 +/-  8.725199E-09
9.425000E+02 3.539738E-06 +/-  8.677081E-09
9.435000E+02 3.523094E-06 +/-  8.620993E-09
9.445000E+02 3.511106E-06 +/-  8.581408E-09
9.455000E+02 3.498924E-06 +/-  8.592394E-09
9.465000E+02 3.460592E-06 +/-  8.489609E-09
9.475000E+02 3.469278E-06 +/-  8.501470E-09
9.485000E+02 3.439393E-06 +/-  8.469574E-09
9.495000E+02 3.425358E-06 +/-  8.435371E-09
9.505000E+02 3.411946E-06 +/-  8.405793E-09
9.515000E+02 3.394925E-06 +/-  8.362569E-09
9.525000E+02 3.375692E-06 +/-  8.357692E-09
9.535000E+02 3.361018E-06 +/-  8.320868E-09
9.545000E+02 3.343289E-06 +/-  8.265591E-09
9.555000E+02 3.322652E-06 +/-  8.240073E-09
9.565000E+02 3.310398E-06 +/-  8.205234E-09
9.575000E+02 3.290195E-06 +/-  8.176859E-09
9.585000E+02 3.284282E-06 +/-  8.166827E-09
9.595000E+02 3.260525E-06 +/-  8.093030E-09
9.605000E+02 3.253264E-06 +/-  8.100704E-09
9.615000E+02 3.228663E-06 +/-  8.049714E-09
9.625000E+02 3.206662E-06 +/-  7.997037E-09
9.635000E+02 3.211873E-06 +/-  8.026082E-09
9.645000E+02 3.193700E-06 +/-  7.985231E-09
9.655000E+02 3.163249E-06 +/-  7.924300E-09
9.665000E+02 3.153463E-06 +/-  7.910884E-09
9.675000E+02 3.136052E-06 +/-  7.869815E-09
9.685000E+02 3.121855E-06 +/-  7.846803E-09
9.695000E+02 3.113280E-06 +/-  7.829639E-09
9.705000E+02 3.097348E-06 +/-  7.793323E-09
9.715000E+02 3.075517E-06 +/-  7.757542E-09
9.725000E+02 3.068098E-06 +/-  7.736379E-09
9.735000E+02 3.050748E-06 +/-  7.697468E-09
9.745000E+02 3.036809E-06 +/-  7.667739E-09
9.755000E+02 3.027058E-06 +/-  7.654905E-09
9.765000E+02 2.999806E-06 +/-  7.610022E-09
9.775000E+02 3.001978E-06 +/-  7.606379E-09
9.785000E+02 2.976675E-06 +/-  7.556183E-09
9.795000E+02 2.959810E-06 +/-  7.509768E-09
9.805000E+02 2.954363E-06 +/-  7.526402E-09
9.815000E+02 2.936795E-06 +/-  7.484244E-09
9.825000E+02 2.921981E-06 +/-  7.461262E-09
9.835000E+02 2.911374E-06 +/-  7.429239E-09
9.845000E+02 2.896793E-06 +/-  7.395019E-09
9.855000E+02 2.877417E-06 +/-  7.364922E-09
9.865000E+02 2.868976E-06 +/-  7.356087E-09
9.875000E+02 2.855851E-06 +/-  7.319224E-09
9.885000E+02 2.845221E-06 +/-  7.291306E-09
9.895000E+02 2.828570E-06 +/-  7.265856E-09
9.905000E+02 2.809824E-06 +/-  7.234926E-09
9.915000E+02 2.816663E-06 +/-  7.236929E-09
9.925000E+02 2.783244E-06 +/-  7.177189E-09
9.935000E+02 2.780153E-06 +/-  7.171592E-09
9.945000E+02 2.760273E-06 +/-  7.126998E-09
9.955000E+02 2.750711E-06 +/-  7.105907E-09
9.965000E+02 2.735034E-06 +/-  7.084822E-09
9.975000E+02 2.730305E-06 +/-  7.067474E-09
9.985000E+02 2.700841E-06 +/-  7.009259E-09
9.995000E+02 2.701082E-06 +/-  7.008811E-09
1.000500E+03 2.684762E-06 +/-  6.975174E-09
1.001500E+03 2.679993E-06 +/-  6.972615E-09
1.002500E+03 2.659609E-06 +/-  6.933075E-09
1.003500E+03 2.653646E-06 +/-  6.923659E-09
1.004500E+03 2.628569E-06 +/-  6.875204E-09
1.005500E+03 2.625803E-06 +/-  6.858472E-09
1.006500E+03 2.612175E-06 +/-  6.828224E-09
1.007500E+03 2.600037E-06 +/-  6.823872E-09
1.008500E+03 2.591166E-06 +/-  6.806026E-09
1.009500E+03 2.573907E-06 +/-  6.766203E-09
1.010500E+03 2.570606E-06 +/-  6.743215E-09
1.011500E+03 2.549630E-06 +/-  6.712932E-09
1.012500E+03 2.546668E-06 +/-  6.701074E-09
1.013500E+03 2.526198E-06 +/-  6.678106E-09
1.014500E+03 2.515532E-06 +/-  6.649651E-09
1.015500E+03 2.504250E-06 +/-  6.617679E-09
1.016500E+03 2.499471E-06 +/-  6.602319E-09
1.017500E+03 2.482235E-06 +/-  6.576206E-09
1.018500E+03 2.475161E-06 +/-  6.576258E-09
1.019500E+03 2.445855E-06 +/-  6.513920E-09
1.020500E+03 2.458930E-06 +/-  6.528997E-09
1.021500E+03 2.432789E-06 +/-  6.469445E-09
1.022500E+03 2.434325E-06 +/-  6.475734E-09
1.023500E+03 2.418957E-06 +/-  6.455598E-09
1.024500E+03 2.402035E-06 +/-  6.426572E-09
1.025500E+03 2.390859E-06 +/-  6.396934E-09
1.026500E+03 2.386494E-06 +/-  6.375950E-09
1.027500E+03 2.368653E-06 +/-  6.340213E-09
1.028500E+03 2.360678E-06 +/-  6.343620E-09
1.029500E+03 2.354553E-06 +/-  6.323957E-09
1.030500E+03 2.329922E-06 +/-  6.280358E-09
1.031500E+03 2.341151E-06 +/-  6.285100E-09
1.032500E+03 2.310719E-06 +/-  6.229557E-09
1.033500E+03 2.313383E-06 +/-  6.227321E-09
1.034500E+03 2.294807E-06 +/-  6.208095E-09
1.035500E+03 2.288684E-06 +/-  6.200137E-09
1.036500E+03 2.272022E-06 +/-  6.159975E-09
1.037500E+03 2.272932E-06 +/-  6.150770E-09
1.038500E+03 2.253472E-06 +/-  6.100027E-09
1.039500E+03 2.255453E-06 +/-  6.120951E-09
1.040500E+03 2.235613E-06 +/-  6.088418E-09
1.041500E+03 2.218620E-06 +/-  6.069137E-09
1.042500E+03 2.228568E-06 +/-  6.050365E-09
1.043500E+03 2.198477E-06 +/-  6.002349E-09
1.044500E+03 2.199651E-06 +/-  5.990700E-09
1.045500E+03 2.182171E-06 +/-  5.979455E-09
1.046500E+03 2.174803E-06 +/-  5.963473E-09
1.047500E+03 2.171281E-06 +/-  5.956641E-09
1.048500E+03 2.150069E-06 +/-  5.917208E-09
1.049500E+03 2.150149E-06 +/-  5.894752E-09
