 u,U -> m,M
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 4.167219E-04 +/-  9.537964E-07
3.215000E+02 4.116997E-04 +/-  9.439464E-07
3.225000E+02 4.065847E-04 +/-  9.320972E-07
3.235000E+02 4.004372E-04 +/-  9.157876E-07
3.245000E+02 3.955185E-04 +/-  9.048558E-07
3.255000E+02 3.901572E-04 +/-  8.953303E-07
3.265000E+02 3.848725E-04 +/-  8.792323E-07
3.275000E+02 3.789108E-04 +/-  8.673404E-07
3.285000E+02 3.749275E-04 +/-  8.596852E-07
3.295000E+02 3.701987E-04 +/-  8.526831E-07
3.305000E+02 3.642123E-04 +/-  8.375679E-07
3.315000E+02 3.600135E-04 +/-  8.298551E-07
3.325000E+02 3.554018E-04 +/-  8.192855E-07
3.335000E+02 3.498613E-04 +/-  8.006706E-07
3.345000E+02 3.465009E-04 +/-  8.017552E-07
3.355000E+02 3.420298E-04 +/-  7.897386E-07
3.365000E+02 3.361122E-04 +/-  7.764729E-07
3.375000E+02 3.340730E-04 +/-  7.742611E-07
3.385000E+02 3.283581E-04 +/-  7.644117E-07
3.395000E+02 3.239354E-04 +/-  7.569859E-07
3.405000E+02 3.203384E-04 +/-  7.496169E-07
3.415000E+02 3.157961E-04 +/-  7.351249E-07
3.425000E+02 3.126411E-04 +/-  7.297713E-07
3.435000E+02 3.076055E-04 +/-  7.164173E-07
3.445000E+02 3.052037E-04 +/-  7.183530E-07
3.455000E+02 2.994785E-04 +/-  7.003199E-07
3.465000E+02 2.972515E-04 +/-  7.026802E-07
3.475000E+02 2.926163E-04 +/-  6.938593E-07
3.485000E+02 2.899666E-04 +/-  6.875469E-07
3.495000E+02 2.858266E-04 +/-  6.748301E-07
3.505000E+02 2.816350E-04 +/-  6.662905E-07
3.515000E+02 2.789432E-04 +/-  6.606010E-07
3.525000E+02 2.755766E-04 +/-  6.529749E-07
3.535000E+02 2.715508E-04 +/-  6.459419E-07
3.545000E+02 2.688076E-04 +/-  6.469244E-07
3.555000E+02 2.651955E-04 +/-  6.385307E-07
3.565000E+02 2.622344E-04 +/-  6.293114E-07
3.575000E+02 2.587546E-04 +/-  6.217097E-07
3.585000E+02 2.555950E-04 +/-  6.118322E-07
3.595000E+02 2.530546E-04 +/-  6.087809E-07
3.605000E+02 2.497776E-04 +/-  6.060367E-07
3.615000E+02 2.463013E-04 +/-  5.952976E-07
3.625000E+02 2.439731E-04 +/-  5.937294E-07
3.635000E+02 2.403738E-04 +/-  5.857414E-07
3.645000E+02 2.377366E-04 +/-  5.787126E-07
3.655000E+02 2.355119E-04 +/-  5.745855E-07
3.665000E+02 2.326325E-04 +/-  5.708177E-07
3.675000E+02 2.289251E-04 +/-  5.585327E-07
3.685000E+02 2.270822E-04 +/-  5.580858E-07
3.695000E+02 2.240367E-04 +/-  5.528183E-07
3.705000E+02 2.212892E-04 +/-  5.476784E-07
3.715000E+02 2.195262E-04 +/-  5.429955E-07
3.725000E+02 2.161022E-04 +/-  5.318768E-07
3.735000E+02 2.142204E-04 +/-  5.321637E-07
3.745000E+02 2.112587E-04 +/-  5.232395E-07
3.755000E+02 2.088238E-04 +/-  5.186872E-07
3.765000E+02 2.064866E-04 +/-  5.159200E-07
3.775000E+02 2.040416E-04 +/-  5.126939E-07
3.785000E+02 2.016200E-04 +/-  5.079090E-07
3.795000E+02 1.994493E-04 +/-  5.021596E-07
3.805000E+02 1.973990E-04 +/-  4.974118E-07
3.815000E+02 1.949983E-04 +/-  4.926702E-07
3.825000E+02 1.928854E-04 +/-  4.882335E-07
3.835000E+02 1.903521E-04 +/-  4.822763E-07
3.845000E+02 1.885655E-04 +/-  4.776430E-07
3.855000E+02 1.866828E-04 +/-  4.765116E-07
3.865000E+02 1.842356E-04 +/-  4.702451E-07
3.875000E+02 1.822733E-04 +/-  4.671588E-07
3.885000E+02 1.802306E-04 +/-  4.625328E-07
3.895000E+02 1.779196E-04 +/-  4.566898E-07
3.905000E+02 1.761670E-04 +/-  4.540633E-07
3.915000E+02 1.743538E-04 +/-  4.519510E-07
3.925000E+02 1.719615E-04 +/-  4.450643E-07
3.935000E+02 1.704201E-04 +/-  4.426884E-07
3.945000E+02 1.689215E-04 +/-  4.388146E-07
3.955000E+02 1.661804E-04 +/-  4.336043E-07
3.965000E+02 1.655832E-04 +/-  4.314769E-07
3.975000E+02 1.626659E-04 +/-  4.258125E-07
3.985000E+02 1.611762E-04 +/-  4.229224E-07
3.995000E+02 1.595606E-04 +/-  4.197610E-07
4.005000E+02 1.575548E-04 +/-  4.145672E-07
4.015000E+02 1.563744E-04 +/-  4.120182E-07
4.025000E+02 1.543706E-04 +/-  4.098575E-07
4.035000E+02 1.529621E-04 +/-  4.057030E-07
4.045000E+02 1.513321E-04 +/-  4.016384E-07
4.055000E+02 1.489932E-04 +/-  3.979985E-07
4.065000E+02 1.477395E-04 +/-  3.946539E-07
4.075000E+02 1.463391E-04 +/-  3.934394E-07
4.085000E+02 1.447365E-04 +/-  3.898011E-07
4.095000E+02 1.432204E-04 +/-  3.864179E-07
4.105000E+02 1.415749E-04 +/-  3.813970E-07
4.115000E+02 1.403621E-04 +/-  3.788887E-07
4.125000E+02 1.388401E-04 +/-  3.779038E-07
4.135000E+02 1.373051E-04 +/-  3.743903E-07
4.145000E+02 1.360492E-04 +/-  3.705933E-07
4.155000E+02 1.344196E-04 +/-  3.669484E-07
4.165000E+02 1.326239E-04 +/-  3.620710E-07
4.175000E+02 1.316648E-04 +/-  3.621487E-07
4.185000E+02 1.303534E-04 +/-  3.598233E-07
4.195000E+02 1.289158E-04 +/-  3.550296E-07
4.205000E+02 1.280879E-04 +/-  3.541988E-07
4.215000E+02 1.256032E-04 +/-  3.483326E-07
4.225000E+02 1.251564E-04 +/-  3.456714E-07
4.235000E+02 1.235368E-04 +/-  3.460305E-07
4.245000E+02 1.226897E-04 +/-  3.432573E-07
4.255000E+02 1.211446E-04 +/-  3.390583E-07
4.265000E+02 1.200829E-04 +/-  3.370698E-07
4.275000E+02 1.184420E-04 +/-  3.327214E-07
4.285000E+02 1.173958E-04 +/-  3.294024E-07
4.295000E+02 1.165349E-04 +/-  3.311355E-07
4.305000E+02 1.152124E-04 +/-  3.271915E-07
4.315000E+02 1.138356E-04 +/-  3.238765E-07
4.325000E+02 1.129302E-04 +/-  3.214471E-07
4.335000E+02 1.118008E-04 +/-  3.188119E-07
4.345000E+02 1.103512E-04 +/-  3.144508E-07
4.355000E+02 1.096421E-04 +/-  3.149642E-07
4.365000E+02 1.083733E-04 +/-  3.136683E-07
4.375000E+02 1.073106E-04 +/-  3.098230E-07
4.385000E+02 1.062249E-04 +/-  3.071505E-07
4.395000E+02 1.052443E-04 +/-  3.053845E-07
4.405000E+02 1.043252E-04 +/-  3.018350E-07
4.415000E+02 1.031634E-04 +/-  2.986786E-07
4.425000E+02 1.021067E-04 +/-  2.998855E-07
4.435000E+02 1.011480E-04 +/-  2.973077E-07
4.445000E+02 9.988815E-05 +/-  2.935850E-07
4.455000E+02 9.908394E-05 +/-  2.917453E-07
4.465000E+02 9.846583E-05 +/-  2.904848E-07
4.475000E+02 9.744884E-05 +/-  2.868391E-07
4.485000E+02 9.585670E-05 +/-  2.833306E-07
4.495000E+02 9.545506E-05 +/-  2.846198E-07
4.505000E+02 9.439550E-05 +/-  2.828109E-07
4.515000E+02 9.395901E-05 +/-  2.807209E-07
4.525000E+02 9.252449E-05 +/-  2.766336E-07
4.535000E+02 9.183912E-05 +/-  2.760922E-07
4.545000E+02 9.066417E-05 +/-  2.728076E-07
4.555000E+02 9.017482E-05 +/-  2.708340E-07
4.565000E+02 8.927141E-05 +/-  2.688547E-07
4.575000E+02 8.833827E-05 +/-  2.696893E-07
4.585000E+02 8.736284E-05 +/-  2.666752E-07
4.595000E+02 8.652308E-05 +/-  2.639954E-07
4.605000E+02 8.539186E-05 +/-  2.608838E-07
4.615000E+02 8.546014E-05 +/-  2.616133E-07
4.625000E+02 8.402480E-05 +/-  2.579659E-07
4.635000E+02 8.380850E-05 +/-  2.571121E-07
4.645000E+02 8.254811E-05 +/-  2.540314E-07
4.655000E+02 8.159062E-05 +/-  2.537594E-07
4.665000E+02 8.157679E-05 +/-  2.538583E-07
4.675000E+02 8.023172E-05 +/-  2.499856E-07
4.685000E+02 7.933779E-05 +/-  2.471930E-07
4.695000E+02 7.893136E-05 +/-  2.466136E-07
4.705000E+02 7.823494E-05 +/-  2.456322E-07
4.715000E+02 7.764612E-05 +/-  2.440036E-07
4.725000E+02 7.671044E-05 +/-  2.406897E-07
4.735000E+02 7.596111E-05 +/-  2.396159E-07
4.745000E+02 7.505812E-05 +/-  2.385921E-07
4.755000E+02 7.440213E-05 +/-  2.375350E-07
4.765000E+02 7.387978E-05 +/-  2.354145E-07
4.775000E+02 7.341725E-05 +/-  2.334099E-07
4.785000E+02 7.249145E-05 +/-  2.318793E-07
4.795000E+02 7.226976E-05 +/-  2.324328E-07
4.805000E+02 7.113081E-05 +/-  2.290531E-07
4.815000E+02 7.078887E-05 +/-  2.273472E-07
4.825000E+02 6.950226E-05 +/-  2.246668E-07
4.835000E+02 6.970018E-05 +/-  2.247397E-07
4.845000E+02 6.869439E-05 +/-  2.234524E-07
4.855000E+02 6.814088E-05 +/-  2.223708E-07
4.865000E+02 6.711371E-05 +/-  2.202745E-07
4.875000E+02 6.679676E-05 +/-  2.185202E-07
4.885000E+02 6.663728E-05 +/-  2.177140E-07
4.895000E+02 6.590769E-05 +/-  2.170290E-07
4.905000E+02 6.518968E-05 +/-  2.147753E-07
4.915000E+02 6.463768E-05 +/-  2.126068E-07
4.925000E+02 6.405276E-05 +/-  2.120617E-07
4.935000E+02 6.337349E-05 +/-  2.100587E-07
4.945000E+02 6.263707E-05 +/-  2.082462E-07
4.955000E+02 6.221412E-05 +/-  2.088974E-07
4.965000E+02 6.168165E-05 +/-  2.072796E-07
4.975000E+02 6.125211E-05 +/-  2.055906E-07
4.985000E+02 6.076137E-05 +/-  2.036221E-07
4.995000E+02 6.010699E-05 +/-  2.023256E-07
5.005000E+02 5.975606E-05 +/-  2.023710E-07
5.015000E+02 5.892237E-05 +/-  1.997981E-07
5.025000E+02 5.868138E-05 +/-  1.996597E-07
5.035000E+02 5.826569E-05 +/-  1.993530E-07
5.045000E+02 5.730528E-05 +/-  1.965400E-07
5.055000E+02 5.712483E-05 +/-  1.952277E-07
5.065000E+02 5.660450E-05 +/-  1.932968E-07
5.075000E+02 5.607466E-05 +/-  1.939155E-07
5.085000E+02 5.546681E-05 +/-  1.921425E-07
5.095000E+02 5.521106E-05 +/-  1.908055E-07
5.105000E+02 5.490632E-05 +/-  1.892321E-07
5.115000E+02 5.424893E-05 +/-  1.882832E-07
5.125000E+02 5.348965E-05 +/-  1.879018E-07
5.135000E+02 5.345782E-05 +/-  1.874689E-07
5.145000E+02 5.281259E-05 +/-  1.864656E-07
5.155000E+02 5.236991E-05 +/-  1.848165E-07
5.165000E+02 5.179691E-05 +/-  1.827766E-07
5.175000E+02 5.156757E-05 +/-  1.814780E-07
5.185000E+02 5.101873E-05 +/-  1.795321E-07
5.195000E+02 5.078101E-05 +/-  1.781196E-07
5.205000E+02 5.012761E-05 +/-  1.784763E-07
5.215000E+02 4.968595E-05 +/-  1.779149E-07
5.225000E+02 4.924101E-05 +/-  1.761785E-07
5.235000E+02 4.886975E-05 +/-  1.747695E-07
5.245000E+02 4.889601E-05 +/-  1.739631E-07
5.255000E+02 4.818010E-05 +/-  1.748317E-07
5.265000E+02 4.775103E-05 +/-  1.742005E-07
5.275000E+02 4.757269E-05 +/-  1.731847E-07
5.285000E+02 4.661733E-05 +/-  1.702003E-07
5.295000E+02 4.670620E-05 +/-  1.701307E-07
5.305000E+02 4.609898E-05 +/-  1.682256E-07
5.315000E+02 4.573514E-05 +/-  1.666514E-07
5.325000E+02 4.537649E-05 +/-  1.651722E-07
5.335000E+02 4.516677E-05 +/-  1.640952E-07
5.345000E+02 4.484737E-05 +/-  1.626239E-07
5.355000E+02 4.411273E-05 +/-  1.630694E-07
5.365000E+02 4.381722E-05 +/-  1.623622E-07
5.375000E+02 4.379254E-05 +/-  1.616056E-07
5.385000E+02 4.328100E-05 +/-  1.610225E-07
5.395000E+02 4.283696E-05 +/-  1.617020E-07
5.405000E+02 4.251209E-05 +/-  1.620783E-07
5.415000E+02 4.204072E-05 +/-  1.603244E-07
5.425000E+02 4.196656E-05 +/-  1.594941E-07
