 u,U -> e,E
x-axis: "Mass{p3+p4}]"  from 20.000000 to 400.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.612333E+02 1.688124E+00 +/-  6.820751E-02
1.625000E+02 1.641416E+00 +/-  6.426483E-02
1.637667E+02 1.451065E+00 +/-  5.800759E-02
1.650333E+02 1.313711E+00 +/-  5.238112E-02
1.663000E+02 1.327788E+00 +/-  5.206387E-02
1.675667E+02 1.154009E+00 +/-  4.469841E-02
1.688333E+02 1.208754E+00 +/-  4.734049E-02
1.701000E+02 1.183059E+00 +/-  4.700008E-02
1.713667E+02 1.048503E+00 +/-  4.108343E-02
1.726333E+02 1.035184E+00 +/-  3.848813E-02
1.739000E+02 1.076655E+00 +/-  4.109143E-02
1.751667E+02 9.622835E-01 +/-  3.700731E-02
1.764333E+02 9.266514E-01 +/-  3.575883E-02
1.777000E+02 9.222024E-01 +/-  3.539785E-02
1.789667E+02 8.295869E-01 +/-  3.097460E-02
1.802333E+02 8.506122E-01 +/-  3.260751E-02
1.815000E+02 8.346862E-01 +/-  3.113731E-02
1.827667E+02 7.500004E-01 +/-  3.021358E-02
1.840333E+02 7.448619E-01 +/-  3.013786E-02
1.853000E+02 7.182810E-01 +/-  2.804109E-02
1.865667E+02 7.024581E-01 +/-  2.734216E-02
1.878333E+02 6.548773E-01 +/-  2.563871E-02
1.891000E+02 5.968352E-01 +/-  2.316324E-02
1.903667E+02 6.582015E-01 +/-  2.542493E-02
1.916333E+02 5.675310E-01 +/-  2.212486E-02
1.929000E+02 6.171109E-01 +/-  2.348630E-02
1.941667E+02 5.441470E-01 +/-  2.064557E-02
1.954333E+02 5.593221E-01 +/-  2.131822E-02
1.967000E+02 5.134556E-01 +/-  1.970815E-02
1.979667E+02 5.213971E-01 +/-  1.948488E-02
1.992333E+02 4.912254E-01 +/-  1.842300E-02
2.005000E+02 4.607710E-01 +/-  1.718365E-02
2.017667E+02 4.373519E-01 +/-  1.685655E-02
2.030333E+02 4.386701E-01 +/-  1.656590E-02
2.043000E+02 4.605725E-01 +/-  1.721688E-02
