 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.085000E+02 -5.390761E+01 +/-  1.354024E-01
3.095000E+02 -5.301799E+01 +/-  1.329843E-01
3.105000E+02 -5.222134E+01 +/-  1.307315E-01
3.115000E+02 -5.140731E+01 +/-  1.284250E-01
3.125000E+02 -5.058438E+01 +/-  1.262404E-01
3.135000E+02 -4.977919E+01 +/-  1.239319E-01
3.145000E+02 -4.904151E+01 +/-  1.218809E-01
3.155000E+02 -4.824395E+01 +/-  1.197091E-01
3.165000E+02 -4.747058E+01 +/-  1.176443E-01
3.175000E+02 -4.679092E+01 +/-  1.156942E-01
3.185000E+02 -4.595375E+01 +/-  1.135389E-01
3.195000E+02 -4.531516E+01 +/-  1.117273E-01
3.205000E+02 -4.467607E+01 +/-  1.099172E-01
3.215000E+02 -4.385347E+01 +/-  1.077890E-01
3.225000E+02 -4.319262E+01 +/-  1.060095E-01
3.235000E+02 -4.253463E+01 +/-  1.042436E-01
3.245000E+02 -4.202170E+01 +/-  1.026531E-01
3.255000E+02 -4.128947E+01 +/-  1.008034E-01
3.265000E+02 -4.067350E+01 +/-  9.911993E-02
3.275000E+02 -3.998323E+01 +/-  9.737164E-02
3.285000E+02 -3.947553E+01 +/-  9.584544E-02
3.295000E+02 -3.881045E+01 +/-  9.417995E-02
3.305000E+02 -3.831636E+01 +/-  9.274904E-02
3.315000E+02 -3.766092E+01 +/-  9.108631E-02
3.325000E+02 -3.708742E+01 +/-  8.956290E-02
3.335000E+02 -3.657768E+01 +/-  8.815132E-02
3.345000E+02 -3.601219E+01 +/-  8.666506E-02
3.355000E+02 -3.554684E+01 +/-  8.536905E-02
3.365000E+02 -3.494501E+01 +/-  8.385106E-02
3.375000E+02 -3.442177E+01 +/-  8.246612E-02
3.385000E+02 -3.397869E+01 +/-  8.121728E-02
3.395000E+02 -3.334706E+01 +/-  7.971485E-02
3.405000E+02 -3.295639E+01 +/-  7.855507E-02
3.415000E+02 -3.247995E+01 +/-  7.729933E-02
3.425000E+02 -3.196744E+01 +/-  7.601562E-02
3.435000E+02 -3.154765E+01 +/-  7.484010E-02
3.445000E+02 -3.105484E+01 +/-  7.361548E-02
3.455000E+02 -3.058276E+01 +/-  7.237073E-02
3.465000E+02 -3.019709E+01 +/-  7.131560E-02
3.475000E+02 -2.971753E+01 +/-  7.012333E-02
3.485000E+02 -2.935661E+01 +/-  6.909969E-02
3.495000E+02 -2.887752E+01 +/-  6.793483E-02
3.505000E+02 -2.841164E+01 +/-  6.678455E-02
3.515000E+02 -2.807156E+01 +/-  6.581273E-02
3.525000E+02 -2.763780E+01 +/-  6.473841E-02
3.535000E+02 -2.726733E+01 +/-  6.378180E-02
3.545000E+02 -2.695917E+01 +/-  6.283482E-02
3.555000E+02 -2.643964E+01 +/-  6.171743E-02
3.565000E+02 -2.612547E+01 +/-  6.082695E-02
3.575000E+02 -2.574046E+01 +/-  5.985064E-02
3.585000E+02 -2.540872E+01 +/-  5.896511E-02
3.595000E+02 -2.504437E+01 +/-  5.804703E-02
3.605000E+02 -2.471663E+01 +/-  5.718586E-02
3.615000E+02 -2.428288E+01 +/-  5.617539E-02
3.625000E+02 -2.403298E+01 +/-  5.544684E-02
3.635000E+02 -2.367629E+01 +/-  5.456740E-02
3.645000E+02 -2.331808E+01 +/-  5.368573E-02
3.655000E+02 -2.304571E+01 +/-  5.293191E-02
3.665000E+02 -2.269847E+01 +/-  5.209785E-02
3.675000E+02 -2.232167E+01 +/-  5.121749E-02
3.685000E+02 -2.210389E+01 +/-  5.058076E-02
3.695000E+02 -2.177376E+01 +/-  4.975946E-02
3.705000E+02 -2.152534E+01 +/-  4.907914E-02
3.715000E+02 -2.115876E+01 +/-  4.826054E-02
3.725000E+02 -2.086533E+01 +/-  4.750741E-02
3.735000E+02 -2.063953E+01 +/-  4.689279E-02
3.745000E+02 -2.034227E+01 +/-  4.617461E-02
3.755000E+02 -2.005583E+01 +/-  4.544658E-02
3.765000E+02 -1.976791E+01 +/-  4.476843E-02
3.775000E+02 -1.954552E+01 +/-  4.415754E-02
3.785000E+02 -1.925055E+01 +/-  4.346022E-02
3.795000E+02 -1.901864E+01 +/-  4.286407E-02
3.805000E+02 -1.874827E+01 +/-  4.220817E-02
3.815000E+02 -1.849865E+01 +/-  4.158195E-02
3.825000E+02 -1.823907E+01 +/-  4.096832E-02
3.835000E+02 -1.800656E+01 +/-  4.038708E-02
3.845000E+02 -1.774425E+01 +/-  3.976029E-02
3.855000E+02 -1.754835E+01 +/-  3.922158E-02
3.865000E+02 -1.729330E+01 +/-  3.862409E-02
3.875000E+02 -1.708314E+01 +/-  3.811012E-02
3.885000E+02 -1.686027E+01 +/-  3.753861E-02
3.895000E+02 -1.661713E+01 +/-  3.698703E-02
3.905000E+02 -1.641600E+01 +/-  3.646643E-02
3.915000E+02 -1.622719E+01 +/-  3.596519E-02
3.925000E+02 -1.596678E+01 +/-  3.540446E-02
3.935000E+02 -1.575719E+01 +/-  3.489388E-02
3.945000E+02 -1.557527E+01 +/-  3.443142E-02
3.955000E+02 -1.536456E+01 +/-  3.391473E-02
3.965000E+02 -1.516589E+01 +/-  3.343878E-02
3.975000E+02 -1.499916E+01 +/-  3.299975E-02
3.985000E+02 -1.478085E+01 +/-  3.251163E-02
3.995000E+02 -1.461888E+01 +/-  3.207987E-02
4.005000E+02 -1.437040E+01 +/-  3.155244E-02
4.015000E+02 -1.423361E+01 +/-  3.117298E-02
4.025000E+02 -1.403116E+01 +/-  3.071029E-02
4.035000E+02 -1.386818E+01 +/-  3.029792E-02
4.045000E+02 -1.369688E+01 +/-  2.986716E-02
4.055000E+02 -1.351573E+01 +/-  2.947240E-02
4.065000E+02 -1.332823E+01 +/-  2.902640E-02
4.075000E+02 -1.318208E+01 +/-  2.865765E-02
4.085000E+02 -1.300411E+01 +/-  2.823825E-02
4.095000E+02 -1.282317E+01 +/-  2.783035E-02
4.105000E+02 -1.270574E+01 +/-  2.750152E-02
4.115000E+02 -1.252080E+01 +/-  2.709188E-02
4.125000E+02 -1.236983E+01 +/-  2.672935E-02
4.135000E+02 -1.221146E+01 +/-  2.635465E-02
4.145000E+02 -1.206067E+01 +/-  2.600517E-02
4.155000E+02 -1.192468E+01 +/-  2.565868E-02
4.165000E+02 -1.174092E+01 +/-  2.526775E-02
4.175000E+02 -1.163987E+01 +/-  2.497901E-02
4.185000E+02 -1.147325E+01 +/-  2.460877E-02
4.195000E+02 -1.133766E+01 +/-  2.429136E-02
4.205000E+02 -1.119013E+01 +/-  2.394802E-02
4.215000E+02 -1.105935E+01 +/-  2.363914E-02
4.225000E+02 -1.092228E+01 +/-  2.331618E-02
4.235000E+02 -1.078962E+01 +/-  2.300491E-02
4.245000E+02 -1.065673E+01 +/-  2.269179E-02
4.255000E+02 -1.051450E+01 +/-  2.238479E-02
4.265000E+02 -1.040582E+01 +/-  2.210521E-02
4.275000E+02 -1.026821E+01 +/-  2.179443E-02
4.285000E+02 -1.015630E+01 +/-  2.152256E-02
4.295000E+02 -1.002487E+01 +/-  2.122526E-02
4.305000E+02 -9.908110E+00 +/-  2.095302E-02
4.315000E+02 -9.789243E+00 +/-  2.067426E-02
4.325000E+02 -9.654153E+00 +/-  2.037973E-02
4.335000E+02 -9.563316E+00 +/-  2.014618E-02
4.345000E+02 -9.435128E+00 +/-  1.986515E-02
4.355000E+02 -9.324695E+00 +/-  1.960710E-02
4.365000E+02 -9.212986E+00 +/-  1.934939E-02
4.375000E+02 -9.095913E+00 +/-  1.909155E-02
4.385000E+02 -9.001932E+00 +/-  1.885853E-02
4.395000E+02 -8.896985E+00 +/-  1.861266E-02
4.405000E+02 -8.776626E+00 +/-  1.835557E-02
4.415000E+02 -8.683378E+00 +/-  1.813629E-02
4.425000E+02 -8.588707E+00 +/-  1.790079E-02
4.435000E+02 -8.466482E+00 +/-  1.765159E-02
4.445000E+02 -8.393435E+00 +/-  1.745730E-02
4.455000E+02 -8.278419E+00 +/-  1.721212E-02
4.465000E+02 -8.180351E+00 +/-  1.698706E-02
4.475000E+02 -8.104788E+00 +/-  1.679734E-02
4.485000E+02 -7.984857E+00 +/-  1.655209E-02
4.495000E+02 -7.887352E+00 +/-  1.633482E-02
4.505000E+02 -7.820238E+00 +/-  1.615421E-02
4.515000E+02 -7.714850E+00 +/-  1.593833E-02
4.525000E+02 -7.626842E+00 +/-  1.573461E-02
4.535000E+02 -7.546211E+00 +/-  1.554437E-02
4.545000E+02 -7.453021E+00 +/-  1.534161E-02
4.555000E+02 -7.378274E+00 +/-  1.515923E-02
4.565000E+02 -7.284686E+00 +/-  1.496249E-02
4.575000E+02 -7.208886E+00 +/-  1.478377E-02
4.585000E+02 -7.110734E+00 +/-  1.457617E-02
4.595000E+02 -7.035147E+00 +/-  1.440460E-02
4.605000E+02 -6.963422E+00 +/-  1.423069E-02
4.615000E+02 -6.877338E+00 +/-  1.405019E-02
4.625000E+02 -6.792736E+00 +/-  1.386415E-02
4.635000E+02 -6.725963E+00 +/-  1.370858E-02
4.645000E+02 -6.653948E+00 +/-  1.353928E-02
4.655000E+02 -6.566346E+00 +/-  1.336369E-02
4.665000E+02 -6.502073E+00 +/-  1.320519E-02
4.675000E+02 -6.423903E+00 +/-  1.303839E-02
4.685000E+02 -6.362770E+00 +/-  1.289052E-02
4.695000E+02 -6.274942E+00 +/-  1.271435E-02
4.705000E+02 -6.214719E+00 +/-  1.257141E-02
4.715000E+02 -6.144417E+00 +/-  1.241230E-02
4.725000E+02 -6.070730E+00 +/-  1.225936E-02
4.735000E+02 -6.009094E+00 +/-  1.211559E-02
4.745000E+02 -5.941156E+00 +/-  1.196746E-02
4.755000E+02 -5.869997E+00 +/-  1.181657E-02
4.765000E+02 -5.809693E+00 +/-  1.167792E-02
4.775000E+02 -5.735082E+00 +/-  1.152764E-02
4.785000E+02 -5.691191E+00 +/-  1.140706E-02
4.795000E+02 -5.623804E+00 +/-  1.126534E-02
4.805000E+02 -5.552211E+00 +/-  1.112079E-02
4.815000E+02 -5.499779E+00 +/-  1.099669E-02
4.825000E+02 -5.436223E+00 +/-  1.086132E-02
4.835000E+02 -5.379500E+00 +/-  1.073435E-02
4.845000E+02 -5.311304E+00 +/-  1.059359E-02
4.855000E+02 -5.263026E+00 +/-  1.048061E-02
4.865000E+02 -5.206163E+00 +/-  1.035709E-02
4.875000E+02 -5.146266E+00 +/-  1.022863E-02
4.885000E+02 -5.091726E+00 +/-  1.010951E-02
4.895000E+02 -5.039030E+00 +/-  9.992132E-03
4.905000E+02 -4.981575E+00 +/-  9.870405E-03
4.915000E+02 -4.926315E+00 +/-  9.754840E-03
4.925000E+02 -4.874416E+00 +/-  9.637640E-03
4.935000E+02 -4.830026E+00 +/-  9.537660E-03
4.945000E+02 -4.764163E+00 +/-  9.408709E-03
4.955000E+02 -4.719606E+00 +/-  9.305188E-03
4.965000E+02 -4.669050E+00 +/-  9.197218E-03
4.975000E+02 -4.625691E+00 +/-  9.095442E-03
4.985000E+02 -4.559167E+00 +/-  8.971939E-03
4.995000E+02 -4.523653E+00 +/-  8.882521E-03
