 s,S -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.331500E+03 2.182388E-08 +/-  5.883211E-11
1.332500E+03 2.172909E-08 +/-  5.866192E-11
1.333500E+03 2.171554E-08 +/-  5.880750E-11
1.334500E+03 2.153327E-08 +/-  5.845728E-11
1.335500E+03 2.144635E-08 +/-  5.819665E-11
1.336500E+03 2.130087E-08 +/-  5.795043E-11
1.337500E+03 2.127045E-08 +/-  5.778783E-11
1.338500E+03 2.116582E-08 +/-  5.755679E-11
1.339500E+03 2.105851E-08 +/-  5.743146E-11
1.340500E+03 2.098246E-08 +/-  5.738362E-11
1.341500E+03 2.086769E-08 +/-  5.712167E-11
1.342500E+03 2.074473E-08 +/-  5.678395E-11
1.343500E+03 2.065195E-08 +/-  5.651275E-11
1.344500E+03 2.060662E-08 +/-  5.646112E-11
1.345500E+03 2.047209E-08 +/-  5.629908E-11
1.346500E+03 2.038937E-08 +/-  5.618314E-11
1.347500E+03 2.030235E-08 +/-  5.597529E-11
1.348500E+03 2.019795E-08 +/-  5.565118E-11
1.349500E+03 2.005486E-08 +/-  5.529376E-11
1.350500E+03 2.008262E-08 +/-  5.538565E-11
1.351500E+03 2.001041E-08 +/-  5.531808E-11
1.352500E+03 1.976919E-08 +/-  5.506486E-11
1.353500E+03 1.977431E-08 +/-  5.481535E-11
1.354500E+03 1.971032E-08 +/-  5.461056E-11
1.355500E+03 1.958823E-08 +/-  5.434824E-11
1.356500E+03 1.944776E-08 +/-  5.414846E-11
1.357500E+03 1.938533E-08 +/-  5.409667E-11
1.358500E+03 1.936203E-08 +/-  5.406838E-11
1.359500E+03 1.923819E-08 +/-  5.375894E-11
1.360500E+03 1.914870E-08 +/-  5.358886E-11
1.361500E+03 1.904591E-08 +/-  5.322096E-11
1.362500E+03 1.898298E-08 +/-  5.314495E-11
1.363500E+03 1.890940E-08 +/-  5.308726E-11
1.364500E+03 1.880026E-08 +/-  5.295897E-11
1.365500E+03 1.869405E-08 +/-  5.265994E-11
1.366500E+03 1.861534E-08 +/-  5.249864E-11
1.367500E+03 1.858991E-08 +/-  5.230321E-11
1.368500E+03 1.843554E-08 +/-  5.200846E-11
1.369500E+03 1.836696E-08 +/-  5.195733E-11
1.370500E+03 1.831672E-08 +/-  5.190680E-11
1.371500E+03 1.820132E-08 +/-  5.177316E-11
1.372500E+03 1.814897E-08 +/-  5.147855E-11
1.373500E+03 1.805768E-08 +/-  5.121934E-11
1.374500E+03 1.798746E-08 +/-  5.105458E-11
1.375500E+03 1.793395E-08 +/-  5.102852E-11
1.376500E+03 1.785767E-08 +/-  5.093125E-11
1.377500E+03 1.766733E-08 +/-  5.062250E-11
1.378500E+03 1.769024E-08 +/-  5.057856E-11
1.379500E+03 1.764577E-08 +/-  5.043153E-11
1.380500E+03 1.747201E-08 +/-  5.003893E-11
1.381500E+03 1.748823E-08 +/-  4.994543E-11
1.382500E+03 1.733815E-08 +/-  4.980483E-11
1.383500E+03 1.720969E-08 +/-  4.970759E-11
1.384500E+03 1.721104E-08 +/-  4.961544E-11
