 u,U -> m,M
x-axis: "Mass{p3+p4}]"  from 500.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.057500E+03 6.207867E-06 +/-  2.356931E-08
1.062500E+03 6.070167E-06 +/-  2.297282E-08
1.067500E+03 5.930104E-06 +/-  2.242511E-08
1.072500E+03 5.826850E-06 +/-  2.194105E-08
1.077500E+03 5.697926E-06 +/-  2.188477E-08
1.082500E+03 5.576898E-06 +/-  2.182554E-08
1.087500E+03 5.425870E-06 +/-  2.126040E-08
1.092500E+03 5.334634E-06 +/-  2.081085E-08
1.097500E+03 5.219951E-06 +/-  2.043676E-08
1.102500E+03 5.074660E-06 +/-  1.989402E-08
1.107500E+03 5.017674E-06 +/-  2.041604E-08
1.112500E+03 4.888643E-06 +/-  2.089215E-08
1.117500E+03 4.800185E-06 +/-  2.043217E-08
1.122500E+03 4.690709E-06 +/-  1.994594E-08
1.127500E+03 4.604087E-06 +/-  1.952074E-08
1.132500E+03 4.481760E-06 +/-  1.898605E-08
1.137500E+03 4.382754E-06 +/-  1.855533E-08
1.142500E+03 4.300595E-06 +/-  1.820008E-08
1.147500E+03 4.229182E-06 +/-  1.790304E-08
1.152500E+03 4.122142E-06 +/-  1.743546E-08
1.157500E+03 4.056680E-06 +/-  1.709407E-08
1.162500E+03 3.974550E-06 +/-  1.669826E-08
1.167500E+03 3.889827E-06 +/-  1.632032E-08
1.172500E+03 3.777316E-06 +/-  1.656924E-08
1.177500E+03 3.738939E-06 +/-  1.671104E-08
1.182500E+03 3.641548E-06 +/-  1.627657E-08
1.187500E+03 3.579941E-06 +/-  1.626136E-08
1.192500E+03 3.513850E-06 +/-  1.606899E-08
1.197500E+03 3.444931E-06 +/-  1.579478E-08
1.202500E+03 3.368053E-06 +/-  1.540383E-08
1.207500E+03 3.289836E-06 +/-  1.503814E-08
1.212500E+03 3.224827E-06 +/-  1.471212E-08
1.217500E+03 3.175097E-06 +/-  1.443428E-08
1.222500E+03 3.091299E-06 +/-  1.405926E-08
1.227500E+03 3.043549E-06 +/-  1.380697E-08
1.232500E+03 2.990945E-06 +/-  1.352291E-08
1.237500E+03 2.922488E-06 +/-  1.466416E-08
1.242500E+03 2.890967E-06 +/-  1.471939E-08
1.247500E+03 2.812803E-06 +/-  1.431533E-08
1.252500E+03 2.774433E-06 +/-  1.412750E-08
1.257500E+03 2.697269E-06 +/-  1.376297E-08
1.262500E+03 2.671559E-06 +/-  1.356384E-08
1.267500E+03 2.611235E-06 +/-  1.322823E-08
1.272500E+03 2.541990E-06 +/-  1.290119E-08
1.277500E+03 2.519869E-06 +/-  1.272123E-08
1.282500E+03 2.436415E-06 +/-  1.231230E-08
1.287500E+03 2.414274E-06 +/-  1.244514E-08
1.292500E+03 2.378070E-06 +/-  1.227205E-08
1.297500E+03 2.315349E-06 +/-  1.192581E-08
1.302500E+03 2.280506E-06 +/-  1.174536E-08
1.307500E+03 2.219128E-06 +/-  1.145924E-08
1.312500E+03 2.180148E-06 +/-  1.147988E-08
1.317500E+03 2.153472E-06 +/-  1.207680E-08
1.322500E+03 2.114462E-06 +/-  1.178158E-08
1.327500E+03 2.060160E-06 +/-  1.149549E-08
1.332500E+03 2.039162E-06 +/-  1.136779E-08
1.337500E+03 1.999492E-06 +/-  1.113805E-08
1.342500E+03 1.968482E-06 +/-  1.091068E-08
1.347500E+03 1.927662E-06 +/-  1.068501E-08
1.352500E+03 1.906280E-06 +/-  1.052684E-08
1.357500E+03 1.860582E-06 +/-  1.028297E-08
1.362500E+03 1.829896E-06 +/-  1.010983E-08
1.367500E+03 1.777413E-06 +/-  9.852711E-09
1.372500E+03 1.757080E-06 +/-  9.670047E-09
1.377500E+03 1.739133E-06 +/-  9.562316E-09
1.382500E+03 1.697831E-06 +/-  9.306022E-09
1.387500E+03 1.658613E-06 +/-  9.105393E-09
1.392500E+03 1.623447E-06 +/-  8.919256E-09
1.397500E+03 1.605802E-06 +/-  8.790761E-09
1.402500E+03 1.591310E-06 +/-  8.657699E-09
1.407500E+03 1.545715E-06 +/-  8.566883E-09
1.412500E+03 1.531611E-06 +/-  8.579973E-09
1.417500E+03 1.501503E-06 +/-  8.431130E-09
1.422500E+03 1.470613E-06 +/-  8.275409E-09
1.427500E+03 1.450350E-06 +/-  8.114496E-09
1.432500E+03 1.421917E-06 +/-  7.958781E-09
1.437500E+03 1.386042E-06 +/-  7.761768E-09
1.442500E+03 1.378666E-06 +/-  7.677453E-09
1.447500E+03 1.347598E-06 +/-  7.508859E-09
1.452500E+03 1.317217E-06 +/-  7.331623E-09
1.457500E+03 1.296599E-06 +/-  7.196165E-09
1.462500E+03 1.270592E-06 +/-  7.064586E-09
1.467500E+03 1.248947E-06 +/-  7.194874E-09
1.472500E+03 1.235120E-06 +/-  8.538602E-09
1.477500E+03 1.207979E-06 +/-  8.357091E-09
1.482500E+03 1.199020E-06 +/-  8.308095E-09
1.487500E+03 1.171431E-06 +/-  8.102046E-09
1.492500E+03 1.160801E-06 +/-  8.091511E-09
1.497500E+03 1.133537E-06 +/-  7.781652E-09
1.502500E+03 1.119840E-06 +/-  7.707139E-09
1.507500E+03 1.090005E-06 +/-  7.568441E-09
1.512500E+03 1.080307E-06 +/-  7.421527E-09
1.517500E+03 1.065616E-06 +/-  7.237828E-09
1.522500E+03 1.043570E-06 +/-  7.142273E-09
1.527500E+03 1.022589E-06 +/-  6.990622E-09
1.532500E+03 1.011729E-06 +/-  6.910156E-09
1.537500E+03 9.783368E-07 +/-  6.681065E-09
1.542500E+03 9.672804E-07 +/-  6.560523E-09
1.547500E+03 9.577793E-07 +/-  7.400447E-09
1.552500E+03 9.381358E-07 +/-  7.238159E-09
1.557500E+03 9.137189E-07 +/-  7.043570E-09
1.562500E+03 9.074277E-07 +/-  7.098744E-09
1.567500E+03 8.983269E-07 +/-  7.051279E-09
1.572500E+03 8.815605E-07 +/-  6.912075E-09
1.577500E+03 8.704986E-07 +/-  6.827987E-09
1.582500E+03 8.527157E-07 +/-  6.670890E-09
1.587500E+03 8.417734E-07 +/-  6.554956E-09
1.592500E+03 8.215880E-07 +/-  6.376392E-09
1.597500E+03 8.044602E-07 +/-  6.245532E-09
1.602500E+03 8.052058E-07 +/-  6.269436E-09
